time_s,SWITCH_v_pu,CAP_v_pu,output_fixed_1_pu
0.00263,0.485011644609,0.485011644626,0.485011644626
0.00264,0.450074853668,0.450074853685,0.450074853685
0.00265,0.413452592198,0.413452592216,0.413452592216
0.00266,0.375296288252,0.375296288271,0.375296288271
0.00267,0.335763012637,0.335763012657,0.335763012657
0.00268,0.29501483445,0.29501483447,0.29501483447
0.00269,0.253218158703,0.253218158725,0.253218158725
0.0027,0.210543048747,0.210543048769,0.210543048769
0.00271,0.167162536225,0.167162536247,0.167162536247
0.00272,0.123251921367,0.123251921389,0.123251921389
0.00273,0.0789880664402,0.0789880664624,0.0789880664624
0.00274,0.0345486851941,0.0345486852163,0.0345486852163
0.00275,-0.00988836885167,-0.00988836882948,-0.00988836882948
0.00276,-0.0541458124293,-0.0541458124073,-0.0541458124073
0.00277,-0.0980476380323,-0.0980476380104,-0.0980476380104
0.00278,-0.141419812109,-0.141419812087,-0.141419812087
0.00279,-0.184090963177,-0.184090963156,-0.184090963156
0.0028,-0.225893057151,-0.225893057131,-0.225893057131
0.00281,-0.266662057221,-0.266662057201,-0.266662057201
0.00282,-0.3062385657,-0.30623856568,-0.30623856568
0.00283,-0.344468445344,-0.344468445326,-0.344468445326
0.00284,-0.381203417723,-0.381203417705,-0.381203417705
0.00285,-0.416301636322,-0.416301636305,-0.416301636305
0.00286,-0.449628232188,-0.449628232172,-0.449628232172
0.00287,-0.481055830002,-0.481055829987,-0.481055829987
0.00288,-0.510465032638,-0.510465032623,-0.510465032623
0.00289,-0.537744872353,-0.53774487234,-0.53774487234
0.0029,-0.562793226934,-0.562793226922,-0.562793226922
0.00291,-0.58551719923,-0.585517199219,-0.585517199219
0.00292,-0.60583345869,-0.605833458681,-0.605833458681
0.00293,-0.623668543654,-0.623668543646,-0.623668543646
0.00294,-0.638959123314,-0.638959123307,-0.638959123307
0.00295,-0.651652218429,-0.651652218424,-0.651652218424
0.00296,-0.661705380054,-0.661705380049,-0.661705380049
0.00297,-0.669086825676,-0.669086825673,-0.669086825673
0.00298,-0.67377553238,-0.673775532379,-0.673775532379
0.00299,-0.675761286787,-0.675761286787,-0.675761286787
0.003,-0.675044691703,-0.675044691704,-0.675044691704
0.00301,-0.671637129605,-0.671637129608,-0.671637129608
0.00302,-0.665560683224,-0.665560683228,-0.665560683228
0.00303,-0.656848013693,-0.656848013698,-0.656848013698
0.00304,-0.645542196875,-0.645542196881,-0.645542196881
0.00305,-0.631696518651,-0.631696518659,-0.631696518659
0.00306,-0.615374230124,-0.615374230133,-0.615374230133
0.00307,-0.596648263835,-0.596648263845,-0.596648263845
0.00308,-0.575600912246,-0.575600912257,-0.575600912257
0.00309,-0.552323469897,-0.552323469909,-0.552323469909
0.0031,-0.526915840772,-0.526915840785,-0.526915840785
0.00311,-0.499486112561,-0.499486112576,-0.499486112576
0.00312,-0.470150099608,-0.470150099623,-0.470150099623
0.00313,-0.439030856473,-0.439030856489,-0.439030856489
0.00314,-0.406258164148,-0.406258164165,-0.406258164165
0.00315,-0.371967991055,-0.371967991072,-0.371967991072
0.00316,-0.336301931051,-0.336301931069,-0.336301931069
0.00317,-0.299406620773,-0.299406620792,-0.299406620792
0.00318,-0.261433138695,-0.261433138714,-0.261433138714
0.00319,-0.222536388357,-0.222536388376,-0.222536388376
0.0032,-0.182874468283,-0.182874468303,-0.182874468303
0.00321,-0.142608031141,-0.142608031161,-0.142608031161
0.00322,-0.101899634725,-0.101899634745,-0.101899634745
0.00323,-0.0609130873926,-0.0609130874131,-0.0609130874131
0.00324,-0.0198127905733,-0.0198127905939,-0.0198127905939
0.00325,0.0212369190153,0.0212369189948,0.0212369189948
0.00326,0.0620724248176,0.0620724247973,0.0620724247973
0.00327,0.10253148095,0.10253148093,0.10253148093
0.00328,0.142453855191,0.142453855171,0.142453855171
0.00329,0.181681961906,0.181681961887,0.181681961887
0.0033,0.220061482424,0.220061482405,0.220061482405
0.00331,0.257441970416,0.257441970397,0.257441970397
