time_s,phase_a_grid_voltage_v,phase_a_grid_current_a,phase_b_grid_current_a,phase_c_grid_current_a,neutral_current_a,dc_link_voltage_v,active_power_w,reactive_power_var,positive_sequence_voltage_v,negative_sequence_voltage_v,zero_sequence_voltage_v,controller_frequency_hz,phase_a_duty,operating_mode,request_disposition
0.00124,319.200376561,10.6679802197,-7.97434563195,-4.00205188073,2.2598059616,799.869350293,4765.66688696,2952.16257929,343.388046756,335.528179014,18.7866159768,50.1062746171,0.808094987277,0,0
0.00126,317.983622338,9.40970998306,-7.20853245598,-2.63591624836,1.82323264319,799.861513022,3969.74888948,2869.18406972,342.868728987,334.376136407,18.742069479,50.105484787,0.818118404202,0,0
0.00128,316.719105656,7.57062527916,-6.09984037439,-1.12180195263,-2.46676453207,799.859767338,2941.79649561,2628.98559343,342.868728987,334.376136407,18.742069479,50.105484787,0.818118404202,0,0
0.0013,315.424665183,5.36994097285,-4.73116272675,0.519421430564,-2.73307338681,799.854098516,1764.07364776,2276.52745126,342.868728987,334.376136407,18.742069479,50.105484787,0.818118404202,0,0
0.00132,314.105314605,2.86626975457,-3.17003565813,2.29319924711,-2.18643327809,799.836542339,459.422264271,1839.46527588,342.332235508,333.181488976,18.6992534936,50.1050228284,0.841406034262,0,0
0.00134,312.762810835,0.077628754207,-1.47380416056,4.15837729476,2.63483641698,799.83157422,-951.746910441,1328.10933273,342.332235508,333.181488976,18.6992534936,50.1050228284,0.841406034262,0,0
0.00136,311.402745493,-2.9296167093,0.32361412491,5.89637634353,3.33357388141,799.822754631,-2391.21495074,715.960872579,341.777993602,331.942603027,18.6576236133,50.1049763333,0.871388945254,0,0
0.00138,310.039934832,-5.97315004734,2.1501339539,7.36013715482,-1.03582264763,799.820443599,-3761.54530957,19.5712218418,341.777993602,331.942603027,18.6576236133,50.1049763333,0.871388945254,0,0
0.0014,308.695855201,-8.7868631671,3.89136409108,8.53846199833,-1.55513494644,799.816181241,-4973.50692641,-691.219480582,341.777993602,331.942603027,18.6576236133,50.1049763333,0.871388945254,0,0
0.00142,307.377228529,-11.2894267358,5.46413470256,9.4697160708,-0.13696383748,799.793783824,-6010.43070335,-1368.9278112,341.210897779,330.66314949,18.6145053562,50.1053218566,0.899666480267,0,0
0.00144,306.085116143,-13.4702356645,6.82053291329,10.1273446003,4.544130261,799.785246398,-6863.1068163,-1999.0002755,341.210897779,330.66314949,18.6145053562,50.1053218566,0.899666480267,0,0
