time_s,load_voltage_v,series_current_a,nonlinear_device_power_w,stored_energy_j,energy_defect_j
0.0006,310.880559151,3.1088356366,0.00934058888451,0.12599132,4.58971633428e-05
0.000605,310.152599971,3.10155583423,0.00925340785446,0.127139581664,4.59041195804e-05
0.00061,309.424103295,3.09427065774,0.00916677484178,0.128296994304,4.59110860898e-05
0.000615,308.695185349,3.0869812694,0.00908070200051,0.129463508205,4.59180606542e-05
0.00062,307.965956464,3.07968877258,0.00899520040425,0.130639072139,4.59250411657e-05
0.000625,307.236521365,3.07239421453,0.00891028010812,0.131823633472,4.59320256213e-05
0.00063,306.506979445,3.06509858922,0.00882595020747,0.133017138265,4.59390121182e-05
0.000635,305.777425025,3.0578028399,0.00874221889349,0.134219531363,4.59459988501e-05
0.00064,305.047947605,3.05050786157,0.00865909350593,0.135430756491,4.59529841028e-05
0.000645,304.318632094,3.04321450335,0.00857658058296,0.136650756336,4.59599662506e-05
0.00065,303.589559042,3.03592357076,0.00849468590845,0.137879472624,4.59669437524e-05
0.000655,302.860804845,3.02863582777,0.00841341455667,0.1391168462,4.59739151479e-05
0.00066,302.132441954,3.02135199892,0.00833277093466,0.1403628171,4.59808790544e-05
0.000665,301.404539067,3.01407277119,0.00825275882225,0.141617324612,4.59878341631e-05
0.00067,300.67716131,3.00679879587,0.00817338140992,0.142880307351,4.59947792358e-05
0.000675,299.950370415,2.99953069028,0.00809464133474,0.144151703308,4.60017131018e-05
0.00068,299.224224884,2.99226903945,0.00801654071416,0.145431449915,4.6008634655e-05
0.000685,298.498780148,2.9850143977,0.00793908117812,0.146719484096,4.60155428504e-05
0.00069,297.774088717,2.97776729015,0.0078622638993,0.148015742321,4.60224367019e-05
0.000695,297.050200323,2.97052821412,0.0077860896218,0.149320160648,4.60293152793e-05
0.0007,296.327162057,2.96329764053,0.00771055868817,0.150632674777,4.60361777057e-05
0.000705,295.605018496,2.95607601515,0.00763567106497,0.151953220085,4.60430231549e-05
0.00071,294.88381183,2.94886375989,0.00756142636694,0.153281731673,4.60498508491e-05
0.000715,294.163581975,2.94166127391,0.00748782387978,0.154618144401,4.60566600567e-05
0.00072,293.444366686,2.93446893478,0.00741486258175,0.155962392923,4.60634500897e-05
0.000725,292.726201664,2.92728709949,0.00734254116396,0.157314411726,4.60702203021e-05
0.00073,292.009120655,2.92011610552,0.00727085804956,0.158674135157,4.60769700877e-05
0.000735,291.293155548,2.91295627175,0.00719981141191,0.160041497457,4.60836988779e-05
0.00074,290.578336464,2.9058078994,0.00712939919168,0.161416432788,4.60904061402e-05
0.000745,289.864691843,2.89867127286,0.00705961911293,0.162798875259,4.60970913762e-05
0.00075,289.152248528,2.89154666058,0.00699046869841,0.164188758954,4.610375412e-05
0.000755,288.441031843,2.88443431577,0.00692194528387,0.165586017955,4.61103939369e-05
0.00076,287.731065665,2.87733447723,0.00685404603163,0.166990586362,4.61170104213e-05
0.000765,287.0223725,2.87024737,0.00678676794333,0.168402398317,4.61236031954e-05
0.00077,286.314973546,2.86317320606,0.00672010787199,0.169821388025,4.61301719084e-05
0.000775,285.60888876,2.85611218498,0.00665406253334,0.17124748977,4.61367162342e-05
0.00078,284.904136916,2.84906449451,0.00658862851654,0.172680637932,4.61432358707e-05
0.000785,284.200735668,2.84203031116,0.00652380229419,0.174120767006,4.61497305388e-05
0.00079,283.4987016,2.8350098008,0.00645958023192,0.175567811619,4.61561999807e-05
0.000795,282.798050283,2.82800311911,0.00639595859724,0.177021706541,4.61626439591e-05
0.0008,306.489535564,2.81492414599,0.00882394117424,0.178308056419,4.48491587483e-05
0.000805,304.60499918,2.79607825433,0.00860890879496,0.179436221768,4.48957732566e-05
0.00081,302.782809201,2.77785585036,0.00840475108851,0.180584051714,4.4939354459e-05
0.000815,301.019998347,2.76022725981,0.00821072291021,0.181750557383,4.49801415925e-05
0.00082,299.313743886,2.743164254,0.00802613826375,0.18293481363,4.50183535433e-05
0.000825,297.661360588,2.72663997936,0.00785036501129,0.184135954432,4.50541906604e-05
0.00083,296.060294017,2.71062889036,0.00768282010856,0.185353168635,4.50878364032e-05
0.000835,294.508114153,2.6951066857,0.00752296530797,0.186585696036,4.51194588378e-05
0.00084,293.002509322,2.68005024762,0.0073703032797,0.187832823768,4.51492119972e-05
0.000845,291.541280427,2.6654375842,0.00722437410632,0.189093882954,4.51772371168e-05
0.00085,290.122335455,2.65124777443,0.0070847521116,0.19036824563,4.52036637577e-05
0.000855,288.743684257,2.63746091597,0.00695104298864,0.191655321887,4.52286108281e-05
0.00086,287.403433576,2.62405807549,0.00682288119639,0.192954557237,4.52521875115e-05
0.000865,286.099782324,2.61102124139,0.006699927597,0.194265430178,4.52744941118e-05
0.00087,284.831017088,2.59833327885,0.00658186730965,0.195587449931,4.52956228215e-05
0.000875,283.59550785,2.58597788707,0.00646840775888,0.196920154358,4.53156584205e-05
0.00088,282.391703924,2.57393955858,0.00635927689822,0.198263108018,4.53346789129e-05
0.000885,281.218130083,2.56220354058,0.0062542215917,0.199615900381,4.53527561058e-05
0.00089,280.073382883,2.55075579809,0.00615300613773,0.200978144158,4.53699561372e-05
0.000895,278.956127157,2.53958297897,0.00605541092164,0.202349473764,4.53863399567e-05
0.0009,277.865092788,2.52867238057,0.00596123119274,0.203729543881,4.54019644524e-05
0.000905,276.799071137,2.51801191814,0.00587027590408,0.205118028131,4.54168814369e-05
0.00091,275.756912649,2.50759009466,0.00578236673428,0.206514617841,4.54311380424e-05
0.000915,274.73752356,2.49739597212,0.00569733710686,0.207919020894,4.54447784756e-05
0.00092,273.739863286,2.48741914433,0.00561503133334,0.209330960664,4.54578435888e-05
0.000925,272.762941825,2.47764971092,0.00553530381815,0.210750175018,4.54703711562e-05
0.00093,271.80581729,2.46807825273,0.00545801832827,0.2121764154,4.54823961257e-05
0.000935,270.867593566,2.45869580829,0.00538304732158,0.213609445964,4.54939508491e-05
0.00094,269.947418073,2.44949385154,0.00531027132889,0.215049042778,4.55050652923e-05
0.000945,269.044479647,2.44046427058,0.00523957838477,0.216494993075,4.55157672276e-05
0.00095,268.158006519,2.43159934745,0.00517086350292,0.217947094558,4.5526082409e-05
0.000955,267.287264391,2.42289173897,0.00510402819226,0.219405154753,4.55360347331e-05
0.00096,266.431554614,2.41433445841,0.00503898001018,0.2208689904,4.55456463857e-05
0.000965,265.590212446,2.40592085814,0.00497563214977,0.222338426895,4.55549379767e-05
0.00097,264.762605397,2.39764461308,0.00491390305832,0.223813297754,4.55639286628e-05
0.000975,263.94813166,2.38949970498,0.00485371608418,0.225293444129,4.55726362601e-05
0.00098,263.146218614,2.38148040744,0.00479499914992,0.226778714343,4.55810773483e-05
0.000985,262.356321399,2.3735812717,0.00473768444946,0.228268963462,4.55892673645e-05
0.00099,261.577921562,2.36579711309,0.00468170816729,0.229764052892,4.55972206905e-05
