time_s,B26  A_v_pu,EQUL A_v_pu,B26  B_v_pu,EQUL B_v_pu,B26  C_v_pu,EQUL C_v_pu,FAULTA_v_pu,LINE A_v_pu,EQUR A_v_pu,LINE B_v_pu,EQUR B_v_pu,LINE C_v_pu,EQUR C_v_pu,B500 A_v_pu,B500 B_v_pu,B500 C_v_pu,SEND A_v_pu,REC  A_v_pu,SEND B_v_pu,REC  B_v_pu,SEND C_v_pu,REC  C_v_pu,X_saturated_transformer_internal_top_v_pu,Y_saturated_transformer_internal_top_v_pu,Z_saturated_transformer_internal_top_v_pu,output_fixed_1_pu,output_fixed_2_pu,output_fixed_3_pu,output_fixed_4_pu,output_fixed_5_pu,output_fixed_6_pu,output_fixed_7_pu,output_fixed_8_pu,output_fixed_9_pu,switch_current_switch_fixed_4_pu
0.0012654,16421.0528569,16757.0555889,-3515.33369722,-877.834976952,-12905.7191597,-15879.220612,4.67901361069,277785.571171,205260.793819,93022.7739074,174608.190072,-370808.345078,-379868.983891,250783.835858,65998.1109106,-316781.946768,250783.835858,4.67901361069,65998.1109106,-33693.6335578,-316781.946768,-263197.279937,241385.789055,87726.7787555,-329112.567811,250783.835858,65998.1109106,-316781.946768,250783.835858,65998.1109106,-316781.946768,4.67901361069,-33693.6335578,-263197.279937,467.901361069
0.0012987,16633.6274858,16647.008846,-3434.19302851,-641.226173017,-13199.4344573,-16005.782673,5.19414951101,278763.031599,201225.906704,97728.5447038,178835.306751,-376491.576303,-380061.213454,255210.551819,70469.7175682,-325680.269388,255210.551819,5.19414951101,70469.7175682,-36640.2908936,-325680.269388,-292936.821177,244772.822154,92142.9259269,-336915.748081,255210.551819,70469.7175682,-325680.269388,255210.551819,70469.7175682,-325680.269388,5.19414951101,-36640.2908936,-292936.821177,519.414951101
0.001332,16793.3980225,16534.3386023,-3300.11814774,-404.516314445,-13493.2798748,-16129.8222878,5.68578524398,279297.39885,197159.307204,102480.684354,183034.239713,-381778.083204,-380193.546917,259212.371496,75983.9563575,-335196.327854,259212.371496,5.68578524398,75983.9563575,-38992.5612853,-335196.327854,-321779.626076,246527.355448,97393.0327858,-343920.388234,259212.371496,75983.9563575,-335196.327854,259212.371496,75983.9563575,-335196.327854,5.68578524398,-38992.5612853,-321779.626076,568.578524398
0.0013653,17003.9647156,16419.062614,-3172.43392356,-167.742705748,-13831.530792,-16251.3199083,6.15448590882,279411.442601,193061.6362,107273.198823,187204.327223,-386684.641424,-380265.963423,262775.05477,82259.0209647,-345034.075734,262775.05477,6.15448590882,82259.0209647,-40769.681902,-345034.075734,-349742.313913,249180.870089,103243.465734,-352424.335824,262775.05477,82259.0209647,-345034.075734,262775.05477,82259.0209647,-345034.075734,6.15448590882,-40769.681902,-349742.313913,615.448590882
0.0013986,17145.3768113,16301.1990483,-3008.51077659,69.0573385151,-14136.8660347,-16370.2563868,6.60089515171,279124.175695,188933.539468,112100.375728,191344.912093,-391224.551424,-380278.451561,265844.679261,88607.1047448,-354451.784006,265844.679261,6.60089515171,88607.1047448,-41993.7211702,-354451.784006,-376843.656647,250206.813734,109155.370811,-359362.184546,265844.679261,88607.1047448,-354451.784006,265844.679261,88607.1047448,-354451.784006,6.60089515171,-41993.7211702,-376843.656647,660.089515171
0.0014319,17321.8104403,16180.76648,-2861.20550595,305.846499625,-14460.6049343,-16486.6129796,7.02555381973,278458.393459,184775.667578,116956.734118,195455.341784,-395415.127577,-380231.009362,268439.227717,95020.8163739,-363460.044091,268439.227717,7.02555381973,95020.8163739,-42681.7034555,-363460.044091,-403100.947525,252045.105555,115105.074762,-367150.180316,268439.227717,95020.8163739,-363460.044091,268439.227717,95020.8163739,-363460.044091,7.02555381973,-42681.7034555,-403100.947525,702.555381973
0.0014652,17432.7328598,16057.7838887,-2679.87066186,542.58746057,-14752.8621979,-16600.3713492,7.42908079791,277433.292255,180588.675795,121837.079342,199534.968508,-399270.371596,-380123.644303,270583.443894,101493.879412,-372077.323306,270583.443894,7.42908079791,101493.879412,-42851.313367,-372077.323306,-428535.771183,252346.336923,121104.63663,-373450.973553,270583.443894,101493.879412,-372077.323306,270583.443894,101493.879412,-372077.323306,7.42908079791,-42851.313367,-428535.771183,742.908079791
0.0014985,17577.5961732,15932.2706559,-2514.96003847,779.24291194,-15062.6361347,-16711.5135679,7.81198796286,276049.878244,176373.223972,126736.454612,203583.149333,-402786.332856,-379956.373305,272295.408384,108019.461366,-380314.86975,272295.408384,7.81198796286,108019.461366,-42518.7236442,-380314.86975,-453164.434277,253439.676908,127131.653891,-380571.330799,272295.408384,108019.461366,-380314.86975,272295.408384,108019.461366,-380314.86975,7.81198796286,-42518.7236442,-453164.434277,781.198796286
0.0015318,17658.7783636,15804.2465622,-2317.30208663,1015.7755578,-15341.476277,-16820.02212,8.17453089971,274271.285724,172129.976446,131649.874507,207599.246282,-405921.16023,-379729.222728,273304.105766,114346.435586,-388385.676123,273304.105766,8.17453089971,114346.435586,-41710.2789117,-388385.676123,-477016.883198,252922.265849,133075.932215,-386363.033561,273304.105766,114346.435586,-388385.676123,273304.105766,114346.435586,-388385.676123,8.17453089971,-41710.2789117,-477016.883198,817.453089971
0.0015651,17768.4640514,15673.7317835,-2133.70969533,1252.14812156,-15634.7543561,-16925.8799051,8.51630336108,272086.803887,167859.601936,136571.778554,211582.626434,-408658.582441,-379442.22837,272309.404379,119228.477215,-397459.618558,272309.404379,8.51630336108,119228.477215,-40499.5019075,-397459.618558,-500199.132216,252337.213059,138298.737106,-393580.110456,272309.404379,119228.477215,-397459.618558,272309.404379,119228.477215,-397459.618558,8.51630336108,-40499.5019075,-500199.132216,851.630336108
0.0015984,17815.3608519,15540.7468884,-1918.22576807,1488.32335187,-15897.1350838,-17029.0702403,8.84723315277,269523.198557,163562.773436,141496.415733,215532.662025,-411019.61429,-379095.435461,269231.966862,122547.586988,-407672.190333,269231.966862,8.84723315277,122547.586988,-39021.6422576,-407672.190333,-523240.534772,249489.326751,142747.69337,-400161.734566,269231.966862,122547.586988,-407672.190333,269231.966862,122547.586988,-407672.190333,8.84723315277,-39021.6422576,-523240.534772,884.723315277
0.0016317,17890.5206242,15405.3128349,-1717.06972318,1724.26402848,-16173.450901,-17129.5768634,9.20680368597,266612.199424,159240.168108,146418.405965,219448.730546,-413030.605389,-378688.898654,265518.539454,125712.756282,-417629.87187,265518.539454,9.20680368597,125712.756282,-37664.3663522,-417629.87187,-548044.833317,247220.670034,147110.685487,-407510.165655,265518.539454,125712.756282,-417629.87187,265518.539454,125712.756282,-417629.87187,9.20680368597,-37664.3663522,-548044.833317,920.680368597
0.001665,17906.89156,15267.4509668,-1486.40795464,1959.93296809,-16420.4836053,-17227.3839348,9.63427886006,263390.437663,154892.467178,151332.850937,223330.21484,-414723.288599,-378222.682018,261697.885503,129214.648257,-426861.273653,261697.885503,9.63427886006,129214.648257,-36835.5639678,-426861.273653,-576616.213693,243747.824739,151648.120283,-413350.477223,261697.885503,129214.648257,-426861.273653,261697.885503,129214.648257,-426861.273653,9.63427886006,-36835.5639678,-576616.213693,963.427886006
0.0016983,17951.0392012,15127.1830104,-1270.17237265,2195.29303024,-16680.8668285,-17322.4760407,10.0838640789,259887.028857,150520.355825,156235.282992,227176.5032,-416122.311849,-377696.859025,257766.483402,133023.9859,-435401.620476,257766.483402,10.0838640789,133023.9859,-35965.0284703,-435401.620476,-606619.302256,241086.734444,156328.398599,-419701.900858,257766.483402,133023.9859,-435401.620476,257766.483402,133023.9859,-435401.620476,10.0838640789,-35965.0284703,-606619.302256,1008.38640789
0.0017316,17939.5240719,14984.5310716,-1026.34056024,2430.30712314,-16913.1835117,-17414.8381948,10.4990200697,256099.211553,146124.523077,161133.930832,230986.989468,-417233.142384,-377111.512545,253723.855407,137115.144352,-443284.853983,253723.855407,10.4990200697,137115.144352,-34385.1545241,-443284.853983,-635134.174598,237277.890352,161151.403325,-424633.98801,253723.855407,137115.144352,-443284.853983,253723.855407,137115.144352,-443284.853983,10.4990200697,-34385.1545241,-635134.174598,1049.90200697
0.0017649,17955.6682619,14839.5176317,-796.458890759,2664.93820953,-17159.2093711,-17504.4558412,10.8809224282,252067.190234,141705.661698,166188.666363,234761.073126,-418255.856597,-376466.734824,249575.18796,141490.922713,-450578.181923,249575.18796,10.8809224282,141490.922713,-32127.3109687,-450578.181923,-662204.211182,234251.248211,166110.752901,-430100.749224,249575.18796,141490.922713,-450578.181923,249575.18796,141490.922713,-450578.181923,10.8809224282,-32127.3109687,-662204.211182,1088.09224282
0.0017982,17927.0588399,14692.1655442,-535.288511068,2899.1493125,-17391.7703289,-17591.3148567,11.2308350033,247883.982032,137264.468083,172093.858151,238498.159394,-419977.840183,-375762.627478,245362.316809,146471.592656,-457695.707677,245362.316809,11.2308350033,146471.592656,-29221.6024442,-457695.707677,-687879.482347,230169.983428,171478.953766,-434563.067752,245362.316809,146471.592656,-457695.707677,245362.316809,146471.592656,-457695.707677,11.2308350033,-29221.6024442,-687879.482347,1123.08350033
0.0018315,17957.9109003,14542.4980311,-264.099231554,3132.90352133,-17693.8116687,-17675.4015525,11.5498715124,243657.232298,132801.642147,179691.103113,242197.659323,-423348.335412,-374999.30147,241215.355163,153261.706689,-466023.670097,241215.355163,11.5498715124,153261.706689,-25691.1409517,-466023.670097,-712207.694991,226974.918967,178205.723141,-440938.048007,241215.355163,153261.706689,-466023.670097,241215.355163,153261.706689,-466023.670097,11.5498715124,-25691.1409517,-712207.694991,1154.98715124
0.0018648,17985.9609745,14390.5386796,65.5930763599,3366.16399732,-18051.5540508,-17756.7026769,11.8392165836,239317.990697,128317.887212,188218.712345,245858.989886,-427536.703043,-374176.877098,237203.567893,162490.977219,-476306.060791,237203.567893,11.8392165836,162490.977219,-21562.2486727,-476306.060791,-735237.67909,222937.660508,186823.281217,-448051.272183,237203.567893,162490.977219,-476306.060791,237203.567893,162490.977219,-476306.060791,11.8392165836,-21562.2486727,-735237.67909,1183.92165836
0.0018981,18037.3027832,14236.3114377,379.483321371,3598.89397955,-18416.7861046,-17835.2054172,12.0998716443,234767.156724,123813.909901,196595.901777,249481.574073,-431363.058501,-373295.483973,233073.787915,171759.342944,-485934.576257,233073.787915,12.0998716443,171759.342944,-16874.7824626,-485934.576257,-756993.267833,219610.338861,195420.304317,-455566.742404,233073.787915,171759.342944,-485934.576257,233073.787915,171759.342944,-485934.576257,12.0998716443,-16874.7824626,-756993.267833,1209.98716443
