time_s,type_1_current_rms_A,type_2_current_rms_A,type_3_current_rms_A,type_4_current_rms_A,type_5_current_rms_A,type_6_current_rms_A,type_7_current_rms_A,type_8_current_rms_A,type_9_current_rms_A,type_10_current_rms_A,type_11_current_rms_A,type_12_current_rms_A
0.00284,0.00862568017604,0.00704283837191,0.00852816838932,0.00778511700172,0.00696322033146,0,0,0,0,0,0,0
0.00285,0.00864793708235,0.00706101105982,0.00854919555487,0.00780431208987,0.00698038894023,0,0,0,0,0,0,0
0.00286,0.00867014207915,0.00707914136379,0.00857016053398,0.00782345040983,0.00699750677399,0,0,0,0,0,0,0
0.00287,0.00869229522742,0.0070972293336,0.00859106335435,0.00784253198689,0.00701457385536,0,0,0,0,0,0,0
0.00288,0.00871439658807,0.00711527501901,0.00861190404392,0.00786155684654,0.00703159020714,0,0,0,0,0,0,0
0.00289,0.00873644622197,0.0071332784697,0.00863268263085,0.0078805250145,0.00704855585232,0,0,0,0,0,0,0
0.0029,0.00875844418994,0.00715123973533,0.00865339914351,0.00789943651666,0.00706547081408,0,0,0,0,0,0,0
0.00291,0.0087803905527,0.00716915886549,0.00867405361051,0.00791829137914,0.00708233511577,0,0,0,0,0,0,0
0.00292,0.00880228537096,0.00718703590974,0.00869464606069,0.00793708962827,0.00709914878093,0,0,0,0,0,0,0
0.00293,0.00882412870533,0.00720487091756,0.00871517652309,0.00795583129056,0.00711591183328,0,0,0,0,0,0,0
0.00294,0.00884592061634,0.0072226639384,0.00873564502699,0.00797451639274,0.00713262429674,0,0,0,0,0,0,0
0.00295,0.00886766116449,0.00724041502163,0.0087560516019,0.00799314496173,0.00714928619538,0,0,0,0,0,0,0
0.00296,0.00888935041017,0.00725812421658,0.00877639627754,0.00801171702469,0.00716589755348,0,0,0,0,0,0,0
0.00297,0.00891098841372,0.00727579157249,0.00879667908385,0.00803023260893,0.00718245839548,0,0,0,0,0,0,0
0.00298,0.00893257523539,0.00729341713857,0.00881690005101,0.00804869174201,0.00719896874603,0,0,0,0,0,0,0
0.00299,0.00895411093534,0.00731100096395,0.0088370592094,0.00806709445166,0.00721542862993,0,0,0,0,0,0,0
