time_s,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSFD_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,output_fixed_1,output_fixed_2,output_fixed_3,output_fixed_4,branch_current_branch_fixed_4,branch_current_branch_fixed_6,branch_current_branch_fixed_7,torque_Nm,mechanical_speed_rad_s,mechanical_angle_rad,power_zero_axis_current_A,orthogonal_dummy_current_A,armature_current_A,separate_field_current_A
0.00114,0.312185711669,10,1,1.86118560893e-10,9.30592804466e-11,1.00018511838e-12,10,0.312185711669,1,1.86118560893e-10,2.04615832117e-10,2.03407266536e-05,-0.000185118375775,-0.000205459307044,0,0,0,0,-0.0957775562873,-0.0454871021987
0.00116,0.296968239964,10,1,1.90264456204e-10,9.51322281021e-11,1.00018926427e-12,10,0.296968239964,1,1.90264456204e-10,2.09173764516e-10,2.02890473928e-05,-0.00018926426694,-0.000209553523506,0,0,0,0,-0.0959914970063,-0.0462901306509
0.00118,0.282604787733,10,1,1.94399782696e-10,9.7199891348e-11,1.00019339959e-12,10,0.282604787733,1,1.94399782696e-10,2.13720077722e-10,2.0237152227e-05,-0.000193399589296,-0.000213636955243,0,0,0,0,-0.0961934311618,-0.0470930878123
0.0012,0.269047426566,10,1,1.98524514833e-10,9.92622574165e-11,1.00019752432e-12,10,0.269047426566,1,1.98524514833e-10,2.1825474366e-10,2.01852227173e-05,-0.000197524317309,-0.000217709758281,0,0,0,0,-0.096384032574,-0.0478959736893
0.00122,0.256250917836,10,1,2.02638662132e-10,1.01319331066e-10,1.00020163846e-12,10,0.256250917836,1,2.02638662132e-10,2.22777772792e-10,2.0133420812e-05,-0.000201638460494,-0.000221772104083,0,0,0,0,-0.0965639372474,-0.0486987882882
0.00124,0.244172561761,10,1,2.06742265323e-10,1.03371132661e-10,1.00020574206e-12,10,0.244172561761,1,2.06742265323e-10,2.27289209898e-10,2.00818904589e-05,-0.000205742059581,-0.000225824177329,0,0,0,0,-0.0967337454937,-0.0495015316154
0.00126,0.232772054903,10,1,2.10835392829e-10,1.05417696415e-10,1.00020983518e-12,10,0.232772054903,1,2.10835392829e-10,2.31789130199e-10,2.00307591008e-05,-0.000209835182994,-0.000229866173884,0,0,0,0,-0.0968940239342,-0.0503042036772
0.00128,0.222011355702,10,1,2.1491813754e-10,1.0745906877e-10,1.00021391792e-12,10,0.222011355702,1,2.1491813754e-10,2.36277635818e-10,1.99801390636e-05,-0.000213917923622,-0.000233898298963,0,0,0,0,-0.0970453073911,-0.0511068044799
0.0013,0.211854557519,10,1,2.18990613857e-10,1.09495306928e-10,1.0002179904e-12,10,0.211854557519,1,2.18990613857e-10,2.40754852525e-10,1.99301288421e-05,-0.000217990395866,-0.000237920765463,0,0,0,0,-0.0971881006716,-0.0519093340299
0.00132,0.202267768838,10,1,2.23052954993e-10,1.11526477496e-10,1.00022205273e-12,10,0.202267768838,1,2.23052954993e-10,2.45220926773e-10,1.98808142908e-05,-0.00022205273294,-0.000241933792452,0,0,0,0,-0.0973228802528,-0.0527117923334
0.00134,0.193219000163,10,1,2.27105310505e-10,1.13552655252e-10,1.00022610508e-12,10,0.193219000163,1,2.27105310505e-10,2.49676022982e-10,1.98322697271e-05,-0.0002261050844,-0.000245937603803,0,0,0,0,-0.0974500958714,-0.0535141793968
