time_s,node_BUSA2_voltage,node_BUSAS2_voltage,node_BUSB2_voltage,node_BUSBS2_voltage,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,output_fixed_1,output_fixed_2,output_fixed_3,branch_current_branch_fixed_1,branch_current_branch_fixed_7,branch_current_branch_fixed_9,branch_current_branch_fixed_10,torque_Nm,mechanical_speed_rad_s,mechanical_angle_rad,phase_a_current_A,phase_b_current_A,phase_c_current_A,shorted_rotor_axis_current_1_A,shorted_rotor_axis_current_2_A
0.004,2704.91954195,188.371558587,-576.693726137,2498.76372213,-2128.22581581,-2687.13528072,0.000958038569593,0.000479019284796,0.000958038570593,188.371558587,2704.91954195,0.000958038569593,-580.674143602,0.00105325260509,110.536869071,9.99999996004e-07,-110.537921324,4.07742079749e-07,0.0188495566962,-580.674143602,-203.426321608,784.10046521,-693.385150354,634.466207947
0.0042,-2197.53587295,-37.6981196505,1732.42282669,2616.720138,465.113046262,-2579.02201835,0.00120521504396,0.00060260752198,0.00120521504496,-37.6981196505,-2197.53587295,0.00120521504396,-577.105883521,0.00132499455141,131.696075808,9.99999996004e-07,-131.697399802,4.29202136075e-07,0.0188495567799,-577.105883521,-243.023422754,820.129306275,-690.533101893,684.887118405
0.0044,2614.62750787,-263.553589653,-501.354665854,2719.80782807,-2113.27284202,-2456.25423842,0.00149811492978,0.00074905746489,0.00149811493078,-263.553589653,2614.62750787,0.00149811492978,-569.921303052,0.00164700410046,155.345812297,9.99999779164e-07,-155.347458301,4.506621924e-07,0.0188495568679,-569.921303052,-284.077493705,853.998796757,-683.456055932,734.95000086
0.0046,-2290.48188214,-487.911495585,1803.10364365,2807.44102752,487.378238493,-2319.52953193,0.00184190465558,0.000920952327788,0.00184190465658,-487.911495585,-2290.48188214,0.00184190465558,-559.164066857,0.00202496114289,181.568118983,9.99999779164e-07,-181.570142944,4.72122248725e-07,0.0188495569602,-559.164066857,-326.331882074,885.495948931,-672.196686461,784.337616462
0.0048,2519.558059,-709.496991071,-435.753406583,2879.12178702,-2083.80465242,-2169.62479595,0.00224189850854,0.00112094925427,0.00224189850954,-709.496991071,2519.558059,0.00224189850854,-544.89811616,0.00246470812284,210.425856919,9.99999996004e-07,-210.428320627,4.93582305051e-07,0.0188495570567,-544.89811616,-369.523311993,914.421428153,-656.821411542,832.736842135
0.005,-2387.13218949,-927.050983125,1863.23305509,2934.4428022,523.899134401,-2007.39181908,0.00270351789829,0.00135175894914,0.00270351789929,-927.050983125,-2387.13218949,0.00270351789829,-527.207305617,0.00297220525317,241.961145037,9.99999996004e-07,-241.964116242,5.15042361376e-07,0.0188495571576,-527.207305617,-413.383378494,940.590684111,-637.420016086,879.840447518
0.0052,2421.87843682,-1139.33728657,-381.456870726,2973.08972802,-2040.4215661,-1833.75244146,0.00323224760876,0.00161612380438,0.00323224760976,-1139.33728657,2421.87843682,0.00323224760876,-506.194927045,0.00355348241949,276.193971231,9.99999996004e-07,-276.197523713,5.36502417701e-07,0.0188495572628,-506.194927045,-457.640070929,963.834997974,-614.105141848,925.348838299
0.0054,-2485.28375374,-1345.14964827,1911.36898905,2994.84296494,573.914764686,-1649.69331667,0.0038335894068,0.0019167947034,0.0038335894078,-1345.14964827,-2485.28375374,0.0038335894068,-481.983122687,0.0042145881781,313.120990843,9.99999996004e-07,-313.125204431,5.57962474027e-07,0.0188495573722,-481.983122687,-502.019317016,984.002439703,-587.011647546,968.971756329
0.0056,2323.81496493,-1543.31860134,-339.774091227,2999.57890673,-1984.04087371,-1456.26030538,0.00451301340188,0.00225650670094,0.00451301340288,-1543.31860134,2323.81496493,0.00451301340188,-454.712191384,0.00496153628176,352.714524341,1.00000042969e-06,-352.719484877,5.79422530352e-07,0.0188495574859,-454.712191384,-546.246538489,1000.95872987,-556.295842741,1010.42992655
0.0058,-2582.69961871,-1732.71811027,1946.34288428,2987.27064282,636.356734432,-1254.55253255,0.00527590757435,0.00263795378718,0.00527590757535,-1732.71811027,-2582.69961871,0.00527590757435,-424.539791553,0.00580025019168,394.921764678,9.99998694962e-07,-394.927563929,6.00882586678e-07,0.018849557604,-424.539791553,-590.048209759,1014.58800131,-522.134599818,1049.45664171
