time_s,node_BUSA2_voltage,node_BUSAS2_voltage,node_BUSB2_voltage,node_BUSBS2_voltage,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,node_UM1TLA_voltage,node_UM1TLB_voltage,node_UM1TLC_voltage,node_UM1MCC_voltage,output_fixed_1,output_fixed_2,output_fixed_3,branch_current_branch_fixed_1,branch_current_branch_fixed_7,branch_current_branch_fixed_9,branch_current_branch_fixed_10,torque_Nm,mechanical_speed_rad_s,mechanical_angle_rad,power_zero_axis_current_A,armature_axis_1_current_A,armature_axis_2_current_A,shorted_rotor_axis_current_1_A,shorted_rotor_axis_current_2_A
0.0366,998.458633569,998.458633569,1283.63537813,998.458633569,-1438.94183096,-2828.97160768,184.72525072,92.3626253599,184.722675034,998.458633569,1317.8610102,-1272.13916492,184.72525072,998.458633569,998.458633569,184.72525072,-1.84609695788e-15,203.084048724,-0.993210524321,-2575.68568497,-2777.77652288,184.725648031,7.54635688133,0,-368.560892076,75.5968954354,67.6279543378,-301.002856019
0.0368,782.52451887,782.52451887,1171.71486435,782.524518869,-1531.58328599,-2896.1449165,184.725248663,92.3626243317,184.722672978,782.52451887,1218.42204761,-1367.83712804,184.725248663,782.52451887,782.52451887,184.725248663,4.27641215004e-16,203.084046464,-1.02193853259,-2575.68568495,-2777.74779263,184.725648031,7.58330201094,0,-361.816490798,103.142630768,67.1727014327,-301.10154704
0.037,562.143943757,562.143943757,1052.90039268,562.143943757,-1615.4456312,-2946.86175219,184.72524655,92.3626232749,184.722670864,562.143943757,1111.79540274,-1455.6772579,184.72524655,562.143943757,562.143943757,184.72524655,4.27640359723e-16,203.08404414,-1.04952162504,-2575.68568497,-2777.72020715,184.725648031,7.62024714055,0,-353.016308021,130.102175038,66.7170294003,-301.199742102
0.0372,338.569154621,338.569154621,928.333814086,338.56915462,-1690.22058367,-2980.83393156,184.72524438,92.3626221902,184.722668695,338.569154621,999.109679747,-1535.34885779,184.72524438,338.569154621,338.569154621,184.72524438,4.27639504443e-16,203.084041755,-1.07649683952,-2575.68568497,-2777.69322957,184.725648031,7.65719227015,0,-342.210401711,156.322183303,66.2610705652,-301.297349992
0.0374,113.07054801,113.07054801,798.268533698,113.070548009,-1755.28413904,-2997.86841792,184.725242157,92.3626210787,184.722666472,113.07054801,880.496245502,-1606.17620542,184.725242157,113.07054801,113.07054801,184.725242157,-1.4079497101e-16,203.084039311,-1.10202279687,-2575.68568497,-2777.66770113,184.725648031,7.69413739976,0,-329.460103589,181.653821595,65.8047201501,-301.394488858
0.0376,-113.07054801,-113.07054801,663.88364706,-113.07054801,-1810.49572282,-2997.86841792,184.725239883,92.3626199416,184.722664197,-113.07054801,757.121928524,-1668.01347085,184.725239883,-113.07054801,-113.07054801,184.725239883,-1.4079468942e-16,203.084036811,-1.12667295337,-2575.68568495,-2777.64304853,184.725648031,7.73108252937,0,-314.837937483,205.953003728,65.348110749,-301.491063806
0.0378,-338.56915462,-338.56915462,525.519051498,-338.569154621,-1855.2835276,-2980.83393156,184.72523756,92.3626187802,184.722661875,-338.56915462,629.213217355,-1720.22022811,184.72523756,-338.56915462,-338.56915462,184.72523756,-7.09228028006e-16,203.084034257,-1.14960211515,-2575.68568495,-2777.62011679,184.725648031,7.76802765897,0,-298.426900206,229.081799683,64.8911405873,-301.587192432
0.038,-562.143943757,-562.143943757,384.366414817,-562.143943757,-1889.67896516,-2946.86175219,184.725235192,92.362617596,184.722659506,-562.143943757,497.951021689,-1762.82004162,184.725235192,-562.143943757,-562.143943757,184.725235192,-1.8460938499e-15,203.084031654,-1.17142257094,-2575.68568497,-2777.59829374,184.725648031,7.80497278858,0,-280.320335812,250.908651603,64.4339421662,-301.682775982
0.0382,-782.52451887,-782.52451887,240.842400704,-782.52451887,-1913.17417799,-2896.1449165,184.725232781,92.3626163906,184.722657095,-782.52451887,363.649558506,-1795.22094509,184.725232781,-782.52451887,-782.52451887,184.725232781,-7.09222917367e-16,203.084029003,-1.19128811359,-2575.68568495,-2777.57842558,184.725648031,7.84191791818,0,-260.621022089,271.30966464,63.9764163843,-301.777931309
0.0384,-998.458633569,-998.458633569,96.1261274508,-998.458633569,-1925.97320803,-2828.97160768,184.725230331,92.3626151655,184.722654645,-998.458633569,227.479172065,-1817.6168821,184.725230331,-998.458633569,-998.458633569,184.725230331,-2.98295597962e-15,203.084026309,-1.20985159278,-2575.68568495,-2777.55985933,184.725648031,7.87886304779,0,-239.441005221,290.168794543,63.5186952678,-301.872555677
