time_s,node_BUSA2_voltage,node_BUSAS2_voltage,node_BUSB2_voltage,node_BUSBS2_voltage,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSFD_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,node_UM1TLA_voltage,node_UM1TLB_voltage,node_UM1TLC_voltage,node_UM1MCC_voltage,output_fixed_1,output_fixed_2,output_fixed_3,output_fixed_4,branch_current_branch_fixed_1,branch_current_branch_fixed_8,branch_current_branch_fixed_10,branch_current_branch_fixed_11,torque_Nm,mechanical_speed_rad_s,synchronous_torque_angle_rad,power_zero_axis_current_A,armature_axis_1_current_A,armature_axis_2_current_A,field_current_A,q_axis_damper_current_A
0.0308,1732.71811027,1732.71811027,1544.36450302,1732.71811027,2218.52633012,2449.01775215,21.441031768,188.508695945,94.2543479727,188.508903175,1732.71811027,1521.7613716,2190.86796484,188.508695945,1732.71811027,1732.71811027,21.441031768,188.508695945,1.56465917463e-15,207.243509175,104.153988898,207.22906649,-104.168431268,188.495559215,3.73034936274e-14,0,58.2130887377,-50.4471542663,-222.876400767,-6.83487177026
0.031,1912.27196925,1912.27196925,1705.72471161,1912.27196925,2096.95478995,2311.53972833,23.6628703762,188.508910618,94.2544553089,188.509117847,1912.27196925,1680.93838953,2071.20525612,188.508910618,1912.27196925,1912.27196925,23.6628703762,188.508910618,1.56465604531e-15,207.243745182,106.224865437,207.229066518,-106.239543797,188.495559215,3.73034936274e-14,0,54.2639676119,-54.8978125255,-222.721912955,-6.97208380354
0.0312,2080.95991744,2080.95991744,1857.72047676,2080.95991744,1963.68160399,2160.92707466,25.7502518347,188.509129376,94.2545646881,188.509336605,2080.95991744,1830.93114428,1940.0128557,188.509129376,2080.95991744,2080.95991744,25.7502518347,188.509129376,1.564652916e-15,207.243985682,108.158313215,207.229066518,-108.173232103,188.495559215,3.73034936274e-14,0,49.9659963988,-59.0160027022,-222.606292703,-7.09938503436
0.0314,2237.82343627,2237.82343627,1999.50351804,2237.82343627,1819.40150313,1998.0356023,27.6913152256,188.50935193,94.2546759649,188.509559159,2237.82343627,1970.90458365,1797.96616452,188.50935193,2237.82343627,2237.82343627,27.6913152256,188.50935193,1.5646497867e-15,207.244230354,109.944304675,207.22906649,-109.959468203,188.495559215,3.73034936274e-14,0,45.3503074934,-62.77467661,-222.52686716,-7.21610543196
0.0316,2381.97119594,2381.97119594,2130.27330297,2381.97119594,1664.87118725,1823.79089308,29.4750310395,188.509577968,94.2547889842,188.509785197,2381.97119594,2100.06907041,1645.80161635,188.509577968,2381.97119594,2381.97119594,29.4750310395,188.509577968,-2.98282230399e-15,207.244478857,111.573482692,207.22906649,-111.588894757,188.495559215,3.90798504668e-14,0,40.450043581,-66.1500857353,-222.480771181,-7.32162925838
0.0318,2512.58412013,2512.58412013,2249.28169127,2512.58412013,1500.90662195,1639.1830402,31.0912638475,188.509807163,94.2549035815,188.510014392,2512.58412013,2217.68497621,1484.31428122,188.509807163,2512.58412013,2512.58412013,31.0912638475,188.509807163,1.56465262304e-15,207.24473083,113.037221402,207.229066461,-113.052885384,188.495559215,3.90798504668e-14,0,35.2999646126,-69.1219117042,-222.464963915,-7.4153990105
0.032,2628.92004013,2628.92004013,2355.83755447,2628.92004013,1328.37996526,1445.26102231,32.5308298922,188.510039168,94.255019584,188.510246397,2628.92004013,2323.06729695,1314.3550985,188.510039168,2628.92004013,2628.92004013,32.5308298922,188.510039168,1.56464949374e-15,207.244985893,114.327684015,207.229066518,-114.343603125,188.495559215,4.08562073062e-14,0,29.9360502314,-71.6733456618,-222.476246356,-7.49691905637
0.0322,2730.31791205,2730.31791205,2449.31127355,2730.31791205,1148.2160921,1243.12674298,33.7855492723,188.510273623,94.2551368113,188.510480852,2730.31791205,2415.59018419,1136.82769949,188.510273623,2730.31791205,2730.31791205,33.7855492723,188.510273623,1.56464636445e-15,207.245243648,115.437879592,207.22906649,-115.454056444,188.495559215,4.26325641456e-14,0,24.3951046585,-73.7911172766,-222.51127976,-7.56575893279
0.0324,2816.20157296,2816.20157296,2529.13913674,2816.20157296,961.388711203,1033.92876952,34.8482924219,188.510510153,94.2552550764,188.510717382,2816.20157296,2494.69141982,952.684809791,188.510510153,2816.20157296,2816.20157296,34.8482924219,188.510510153,6.11211219655e-15,207.245503686,116.361715585,207.229066518,-116.378152469,188.495559215,4.26325641456e-14,0,18.7143708017,-75.465475112,-222.566604808,-7.62155629171
0.0326,2886.08301476,2886.08301476,2594.82752978,2886.08301476,768.916059938,818.855806552,35.7130206224,188.510748373,94.2553741865,188.510955602,2886.08301476,2559.8767164,762.924210626,188.510748373,2886.08301476,2886.08301476,35.7130206224,188.510748373,-2.98283795045e-15,207.245765582,117.094048023,207.229066461,-117.110746803,188.495559215,4.08562073062e-14,0,12.9311599441,-76.6901210058,-222.638661429,-7.6640194667
0.0328,2939.56515715,2939.56515715,2645.95693371,2939.56515715,571.856173886,599.129941543,36.3748203158,188.510987888,94.255493944,188.511195117,2939.56515715,2610.7238619,568.584251312,188.510987888,2939.56515715,2939.56515715,36.3748203158,188.510987888,1.56463697661e-15,207.246028901,117.63072747,207.22906649,-117.647689549,188.495559215,4.26325641456e-14,0,7.08250284615,-77.4621019963,-222.723809142,-7.69292965066
0.033,2976.34410394,2976.34410394,2682.18561619,2976.34410394,371.301737317,375.999700693,36.8299310242,188.511228296,94.2556141478,188.511435525,2976.34410394,2646.8865832,370.738915092,188.511228296,2976.34410394,2976.34410394,36.8299310242,188.511228296,1.56463384734e-15,207.246293201,117.968640476,207.229066518,-117.985866877,188.495559215,4.4408920985e-14,0,1.20482744677,-77.7816640628,-222.818347824,-7.70814266073
0.0332,2996.21086982,2996.21086982,2703.25302636,2996.21086982,168.37451636,150.73295454,37.0757667177,188.511469188,94.2557345939,188.511676417,2996.21086982,2668.09814114,170.492435604,188.511469188,2996.21086982,2996.21086982,37.0757667177,188.511469188,1.56463071808e-15,207.246558034,118.105746478,207.22906649,-118.123237728,188.495559215,4.4408920985e-14,0,-4.66633240391,-77.6520726446,-222.918538777,-7.70959028593
