time_s,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSFD_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,node_UM1TLA_voltage,node_UM1TLB_voltage,node_UM1MCC_voltage,output_fixed_1,output_fixed_2,output_fixed_3,output_fixed_4,branch_current_branch_fixed_4,branch_current_branch_fixed_6,branch_current_branch_fixed_7,torque_Nm,mechanical_speed_rad_s,mechanical_angle_rad,power_zero_axis_current_A,orthogonal_dummy_current_A,single_phase_stator_current_A,field_current_A
0.00164,5.3891653561e+20,22553.836934,-2183.32922147,21444930.6652,10722465.3326,21444930.6654,6.03315866885e+20,-9.7550417849e-10,21444930.6652,22553.836934,5.3891653561e+20,-2183.32922147,21444930.6652,23576221.048,2.04308935785e+13,203.084200621,-2.04309171545e+13,21444930.6652,2671.09974794,0,0,2.25544165566e+16,-0.00218332922147
0.00166,-5.86356914713e+20,-24674.5895705,2204.86484385,23296111.7757,11648055.8879,23296111.7759,-6.56423656433e+20,-9.75466605407e-10,23296111.7757,-24674.5895705,-5.86356914713e+20,2204.86484385,23296111.7757,25611380.5802,-2.2893186957e+12,203.084200621,2.28929308452e+12,23296111.7757,3118.51017235,0,0,-2.46740038204e+16,0.00220486484385
0.00168,6.34447303209e+20,23530.1218441,-2226.29399953,25232670.0462,12616335.0231,25232670.0464,7.1029861103e+20,-9.75437829494e-10,25232670.0462,23530.1218441,6.34447303209e+20,-2226.29399953,25232670.0462,27740402.4255,2.12675897468e+13,203.084200621,-2.1267617487e+13,25232670.0462,3603.79799057,0,0,2.35307136885e+16,-0.00222629399953
0.0017,-6.83941200564e+20,-25742.6479372,2247.61721484,27153820.1101,13576910.055,27153820.1103,-7.65705240032e+20,-9.7540012633e-10,27153820.1101,-25742.6479372,-6.83941200564e+20,2247.61721484,27153820.1101,29852484.7297,-2.44031912095e+12,203.08047533,2.44028926867e+12,27153820.1101,4127.66289213,0,0,-2.57420500322e+16,0.00224761721484
0.00172,7.3411324381e+20,24548.6671746,-2268.83501353,29163882.4656,14581941.2328,29163882.4658,8.21912241814e+20,-9.7537139135e-10,29163882.4656,24548.6671746,7.3411324381e+20,-2268.83501353,29163882.4656,32062315.8153,2.21389302047e+13,203.084200621,-2.21389622668e+13,29163882.4656,4690.83991789,0,0,2.45492711062e+16,-0.00226883501353
0.00174,-7.85749548614e+20,-26856.9379315,2289.94791675,31157694.9029,15578847.4514,31157694.9031,-8.79717218512e+20,-9.75333558955e-10,31157694.9029,-26856.9379315,-7.85749548614e+20,2289.94791675,31157694.9029,34254281.9953,-2.59956831895e+12,203.08047533,2.59953406487e+12,31157694.9029,5294.05569158,0,0,-2.68563280076e+16,0.00228994791675
0.00176,8.38093353732e+20,25611.3022194,-2310.95644308,33244102.4893,16622051.2446,33244102.4895,9.38357213162e+20,-9.75304864068e-10,33244102.4893,25611.3022194,8.38093353732e+20,-2310.95644308,33244102.4893,36548045.8326,2.30463626657e+13,203.08047533,-2.30463992136e+13,33244102.4893,5938.0736655,0,0,2.56119181009e+16,-0.00231095644308
0.00178,-8.91964802866e+20,-28019.4607523,2331.86110854,35313376.2454,17656688.1227,35313376.2457,-9.98664353142e+20,-9.75266903282e-10,35313376.2454,-28019.4607523,-8.91964802866e+20,2331.86110854,35313376.2454,38822973.0051,-2.76747985546e+12,203.08047533,2.76744103269e+12,35313376.2454,6623.64845284,0,0,-2.80188389482e+16,0.00233186110854
0.0018,9.46574377381e+20,26719.9354557,-2352.66242658,37479081.9538,18739540.9769,37479081.954,1.05984265591e+21,-9.75238247659e-10,37479081.9538,26719.9354557,9.46574377381e+20,-2352.66242658,37479081.9538,41203915.9562,2.39913957969e+13,203.08047533,-2.39914370006e+13,37479081.9538,7351.57303484,0,0,2.67205631471e+16,-0.00235266242658
0.00182,-9.54768716586e+20,14412.2461185,2373.36090812,38608124.1688,19304062.0844,38608124.169,-1.06951391713e+21,-9.75200159313e-10,38608124.1688,14412.2461185,-9.54768716586e+20,2373.36090812,38608124.1688,42445167.292,-1.29267820894e+13,203.08047533,1.29267396444e+13,38608124.1688,8112.44509606,0,0,1.44128796615e+16,0.00237336090812
0.00184,9.24453036577e+20,-15767.9923706,-2393.95706157,37452685.7454,18726342.8727,37452685.7456,1.0355766092e+21,-9.75171542133e-10,37452685.7454,-15767.9923706,9.24453036577e+20,-2393.95706157,37452685.7454,41174896.378,1.60348553984e+12,203.08047533,-1.60352671454e+12,37452685.7454,8873.0531952,0,0,-1.57673530122e+16,-0.00239395706157
0.00186,-8.93721983059e+20,15036.1146867,2414.45139282,36243123.9113,18121561.9557,36243123.9115,-1.00114906214e+21,-9.75133327051e-10,36243123.9113,15036.1146867,-8.93721983059e+20,2414.45139282,36243123.9113,39845123.0336,-1.34571915138e+13,203.08047533,1.34571516689e+13,36243123.9113,9610.01129177,0,0,1.50367598244e+16,0.00241445139282
