time_s,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,output_fixed_1,output_fixed_2,output_fixed_3,branch_current_branch_fixed_3,branch_current_branch_fixed_5,branch_current_branch_fixed_6,torque_Nm,mechanical_speed_rad_s,mechanical_angle_rad,power_zero_axis_current_A,orthogonal_dummy_current_A,armature_current_A,compound_field_current_A,series_field_current_A
0.00066,100.447690043,10,-2.55675457853e-11,-1.27837728926e-11,9.99973432481e-13,10,100.447690043,-2.55675457853e-11,-2.81085595704e-11,-5.98524113807e-05,2.65675192178e-05,8.6419958707e-05,0,0,0,0,0.00490465873056,0.0339728106847,0.0290681519541
0.00068,-102.636467673,10,-3.93032684089e-11,-1.96516342045e-11,9.99959696772e-13,10,-102.636467673,-3.93032684089e-11,-4.32093979869e-11,-7.47576703309e-05,4.03032281057e-05,0.000115060941646,0,0,0,0,-0.0161587134297,-0.0472789372595,-0.0311202238299
0.0007,147.999592998,10,-6.06166244636e-11,-3.03083122318e-11,9.99938383437e-13,10,147.999592998,-6.06166244636e-11,-6.66409679679e-11,-0.000134113219005,6.1616562847e-05,0.000195729848493,0,0,0,0,0.00983662112552,0.0529978064136,0.0431611852881
0.00072,-161.322589565,10,-9.25958719805e-11,-4.62979359903e-11,9.99906404222e-13,10,-161.322589565,-9.25958719805e-11,-1.01798452045e-10,-0.000179283406661,9.35957783848e-05,0.000272879286844,0,0,0,0,-0.0222454886856,-0.0707586120772,-0.0485131233916
0.00074,220.426997343,10,-1.41901358005e-10,-7.09506790027e-11,9.99857098785e-13,10,220.426997343,-1.41901358005e-10,-1.56004131492e-10,-0.000303910356382,0.000142901215104,0.000446811727491,0,0,0,0,0.0173486072375,0.0819752178883,0.0646266106508
0.00076,-250.70878056,10,-2.16262950382e-10,-1.08131475191e-10,9.99782737267e-13,10,-250.70878056,-2.16262950382e-10,-2.37756102004e-10,-0.000424833248913,0.00021726273312,0.000642096219789,0,0,0,0,-0.0315163970031,-0.10652104841,-0.0750046514066
0.00078,330.742853791,10,-3.30434250764e-10,-1.65217125382e-10,9.99668566081e-13,10,330.742853791,-3.30434250764e-10,-3.63274242265e-10,-0.000694045494825,0.00033143391933,0.00102547977743,0,0,0,0,0.0287902872074,0.126111384211,0.0973210970032
0.0008,-386.854957596,10,-5.03208981155e-10,-2.51604490578e-10,9.99495791523e-13,10,-386.854957596,-5.03208981155e-10,-5.53220076028e-10,-0.000999146863011,0.000504208476947,0.00150335589318,0,0,0,0,-0.045637132108,-0.160991643185,-0.115354511077
0.00082,498.767488856,10,-7.67751291056e-10,-3.83875645528e-10,9.99231249478e-13,10,498.767488856,-7.67751291056e-10,-8.44053750061e-10,-0.00159336777402,0.000768750522305,0.00236211914037,0,0,0,0,0.0462173748753,0.193336201007,0.147118826132
0.00084,-594.222351991,10,-1.16897247316e-09,-5.84486236581e-10,9.98830028697e-13,10,-594.222351991,-1.16897247316e-09,-1.28515003646e-09,-0.00233859981062,0.00116997130319,0.00350857239897,0,0,0,0,-0.0671447506793,-0.243957067227,-0.176812316548
0.00086,754.689700748,10,-1.78219140538e-09,-8.91095702689e-10,9.98216810378e-13,10,754.689700748,-1.78219140538e-09,-1.95931333045e-09,-0.00367094572509,0.00178318962219,0.00545413730659,0,0,0,0,0.0727609755862,0.295727875906,0.22296690032
0.00088,-910.068431508,10,-2.71359579465e-09,-1.35679789733e-09,9.9728540692e-13,10,-910.068431508,-2.71359579465e-09,-2.98328473466e-09,-0.00545681728979,0.00271459308006,0.00817141335313,0,0,0,0,-0.0999035024847,-0.37032362546,-0.270420122975
0.0009,1144.49074697,10,-4.13545262742e-09,-2.06772631371e-09,9.95863551509e-13,10,1144.49074697,-4.13545262742e-09,-4.54645187711e-09,-0.00847737967139,0.00413644849098,0.0126138327088,0,0,0,0,0.113190148385,0.451683006587,0.338492858202
0.00092,-1391.14090791,10,-6.29715011639e-09,-3.14857505819e-09,9.93701856182e-13,10,-1391.14090791,-6.29715011639e-09,-6.92298825461e-09,-0.0127072557205,0.00629814381825,0.0190054064617,0,0,0,0,-0.149799115813,-0.56279545603,-0.412996340217
0.00094,1738.20574541,10,-9.594575756e-09,-4.797287878e-09,9.9040443384e-13,10,1738.20574541,-9.594575756e-09,-1.05481263808e-08,-0.0196075155477,0.00959556616044,0.0292030922563,0,0,0,0,0.174768757519,0.68922187691,0.514453119391
0.00096,-2123.87353484,10,-1.46109210201e-08,-7.30546051007e-09,9.85388093592e-13,10,-2123.87353484,-1.46109210201e-08,-1.60630178322e-08,-0.0295526680407,0.0146119064082,0.044164590512,0,0,0,0,-0.225796279691,-0.855953757413,-0.630157477722
0.00098,2642.50680564,10,-2.22588870064e-08,-1.11294435032e-08,9.77740135253e-13,10,2642.50680564,-2.22588870064e-08,-2.44710719068e-08,-0.0453973986248,0.0222598647465,0.0676572878424,0,0,0,0,0.268560562802,1.05102282996,0.782462267161
