time_s,LOAD_v_pu,SOURCE_v_pu,output_fixed_1_pu,SOURCE.LOAD_pu,LOAD.SOURCE_pu,VTHY1_pu,VTHY2_pu,ALPHA_pu,LAMDAR_pu,LAMDA1_pu,LAMDA2_pu,GRID1_pu,GRID2_pu
0.0063,0,-108.046353733,-108.046353733,-0,0,-108.046353733,108.046353733,90,0.4,0,0.121903575683,0,0
0.00635,0,-109.988301933,-109.988301933,-0,0,-109.988301933,109.988301933,90,0.4,0,0.127354442074,0,0
0.0064,0,-111.891171814,-111.891171814,-0,0,-111.891171814,111.891171814,90,0.4,0,0.132901428918,0,0
0.00645,0,-113.754287293,-113.754287293,-0,0,-113.754287293,113.754287293,90,0.4,0,0.138542565396,0,0
0.0065,0,-115.576986416,-115.576986416,-0,0,-115.576986416,115.576986416,90,0.4,0,0.144275847238,0,0
0.00655,0,-117.358621586,-117.358621586,-0,0,-117.358621586,117.358621586,90,0.4,0,0.150099237438,0,0
0.0066,0,-119.098559797,-119.098559797,-0,0,-119.098559797,119.098559797,90,0.4,0,0.156010666973,0,0
0.00665,0,-120.796182857,-120.796182857,-0,0,-120.796182857,120.796182857,90,0.4,0,0.162008035539,0,0
0.0067,0,-122.450887608,-122.450887608,-0,0,-122.450887608,122.450887608,90,0.4,0,0.168089212301,0,0
0.00675,0,-124.062086141,-124.062086141,-0,0,-124.062086141,124.062086141,90,0.4,0,0.174252036645,0,0
0.0068,0,-125.629206006,-125.629206006,-0,0,-125.629206006,125.629206006,90,0.4,0,0.180494318948,0,0
0.00685,0,-127.151690413,-127.151690413,-0,0,-127.151690413,127.151690413,90,0.4,0,0.186813841359,0,0
0.0069,0,-128.628998429,-128.628998429,-0,0,-128.628998429,128.628998429,90,0.4,0,0.19320835858,0,0
0.00695,0,-130.060605175,-130.060605175,-0,0,-130.060605175,130.060605175,90,0.4,0,0.19967559867,0,0
0.007,0,-131.446002007,-131.446002007,-0,0,-131.446002007,131.446002007,90,0.4,0,0.20621326385,0,0
0.00705,0,-132.7846967,-132.7846967,-0,0,-132.7846967,132.7846967,90,0.4,0,0.212819031317,0,0
0.0071,0,-134.076213623,-134.076213623,-0,0,-134.076213623,134.076213623,90,0.4,0,0.219490554075,0,0
0.00715,0,-135.320093905,-135.320093905,-0,0,-135.320093905,135.320093905,90,0.4,0,0.226225461764,0,0
0.0072,0,-136.515895603,-136.515895603,-0,0,-136.515895603,136.515895603,90,0.4,0,0.233021361501,0,0
0.00725,0,-137.663193853,-137.663193853,-0,0,-137.663193853,137.663193853,90,0.4,0,0.239875838738,0,0
0.0073,0,-138.761581025,-138.761581025,-0,0,-138.761581025,138.761581025,90,0.4,0,0.24678645811,0,0
0.00735,0,-139.810666869,-139.810666869,-0,0,-139.810666869,139.810666869,90,0.4,0,0.253750764307,0,0
0.0074,0,-140.810078648,-140.810078648,-0,0,-140.810078648,140.810078648,90,0.4,0,0.260766282945,0,0
0.00745,0,-141.759461277,-141.759461277,-0,0,-141.759461277,141.759461277,90,0.4,0,0.267830521443,0,0
0.0075,0,-142.658477444,-142.658477444,-0,0,-142.658477444,142.658477444,90,0.4,0,0.274940969911,0,0
0.00755,0,-143.506807734,-143.506807734,-0,0,-143.506807734,143.506807734,90,0.4,0,0.28209510204,0,0
0.0076,0,-144.304150738,-144.304150738,-0,0,-144.304150738,144.304150738,90,0.4,0,0.289290376002,0,0
0.00765,0,-145.050223164,-145.050223164,-0,0,-145.050223164,145.050223164,90,0.4,0,0.29652423535,0,0
0.0077,0,-145.744759937,-145.744759937,-0,0,-145.744759937,145.744759937,90,0.4,0,0.303794109927,0,0
0.00775,0,-146.387514291,-146.387514291,-0,0,-146.387514291,146.387514291,90,0.4,0,0.311097416783,0,0
0.0078,0,-146.978257858,-146.978257858,-0,0,-146.978257858,146.978257858,90,0.4,0,0.318431561087,0,0
0.00785,0,-147.516780749,-147.516780749,-0,0,-147.516780749,147.516780749,90,0.4,0,0.325793937052,0,0
0.0079,0,-148.002891631,-148.002891631,-0,0,-148.002891631,148.002891631,90,0.4,0,0.333181928861,0,0
0.00795,0,-148.43641779,-148.43641779,-0,0,-148.43641779,148.43641779,90,0.4,0,0.340592911597,0,0
0.008,0,-148.817205197,-148.817205197,-0,0,-148.817205197,148.817205197,90,0.4,0,0.348024252172,0,0
0.00805,0,-149.14511856,-149.14511856,-0,0,-149.14511856,149.14511856,90,0.4,0,0.355473310266,0,0
0.0081,0,-149.420041371,-149.420041371,-0,0,-149.420041371,149.420041371,90,0.4,0,0.362937439264,0,0
0.00815,0,-149.641875954,-149.641875954,-0,0,-149.641875954,149.641875954,90,0.4,0,0.370413987197,0,0
0.0082,0,-149.810543491,-149.810543491,-0,0,-149.810543491,149.810543491,90,0.4,0,0.377900297683,0,0
0.00825,0,-149.925984055,-149.925984055,-0,0,-149.925984055,149.925984055,90,0.4,0,0.385393710872,0,0
0.0083,0,-149.988156631,-149.988156631,-0,0,-149.988156631,149.988156631,90,0.4,0,0.392891564389,0,0
0.00835,0,-149.997039128,-149.997039128,-0,0,-149.997039128,149.997039128,90,0.4,0,0.400391194283,0,1
0.0084,-149.952628317,-149.952628392,-149.952628392,-0,75.1192317239,0,0,90,0.4,0,0,0,0
