time_s,node_1_voltage_v,node_2_voltage_v,node_3_voltage_v,node_4_voltage_v,node_5_voltage_v,node_6_voltage_v,node_7_voltage_v,node_8_voltage_v
0.00084,0.667,0.757428571429,0.847857142857,0.938285714286,1.02871428571,1.11914285714,1.20957142857,1.3
0.00085,0.6675,0.757857142857,0.848214285714,0.938571428571,1.02892857143,1.11928571429,1.20964285714,1.3
0.00086,0.668,0.758285714286,0.848571428571,0.938857142857,1.02914285714,1.11942857143,1.20971428571,1.3
0.00087,0.6685,0.758714285714,0.848928571429,0.939142857143,1.02935714286,1.11957142857,1.20978571429,1.3
0.00088,0.669,0.759142857143,0.849285714286,0.939428571429,1.02957142857,1.11971428571,1.20985714286,1.3
0.00089,0.6695,0.759571428571,0.849642857143,0.939714285714,1.02978571429,1.11985714286,1.20992857143,1.3
0.0009,0.67,0.76,0.85,0.94,1.03,1.12,1.21,1.3
0.00091,0.6705,0.760428571429,0.850357142857,0.940285714286,1.03021428571,1.12014285714,1.21007142857,1.3
0.00092,0.671,0.760857142857,0.850714285714,0.940571428571,1.03042857143,1.12028571429,1.21014285714,1.3
0.00093,0.6715,0.761285714286,0.851071428571,0.940857142857,1.03064285714,1.12042857143,1.21021428571,1.3
0.00094,0.672,0.761714285714,0.851428571429,0.941142857143,1.03085714286,1.12057142857,1.21028571429,1.3
0.00095,0.6725,0.762142857143,0.851785714286,0.941428571429,1.03107142857,1.12071428571,1.21035714286,1.3
0.00096,0.673,0.762571428571,0.852142857143,0.941714285714,1.03128571429,1.12085714286,1.21042857143,1.3
0.00097,0.6735,0.763,0.8525,0.942,1.0315,1.121,1.2105,1.3
0.00098,0.674,0.763428571429,0.852857142857,0.942285714286,1.03171428571,1.12114285714,1.21057142857,1.3
0.00099,0.6745,0.763857142857,0.853214285714,0.942571428571,1.03192857143,1.12128571429,1.21064285714,1.3
0.001,0.675,0.764285714286,0.853571428571,0.942857142857,1.03214285714,1.12142857143,1.21071428571,1.3
