time_s,input_voltage_v,input_current_a,switch_node_voltage_v,output_voltage_v,inductor_current_a,load_current_a,requested_gate_state,applied_gate_state,controlled_valve_conducting_state,freewheel_diode_conducting_state,stored_energy_j,semiconductor_loss_w,kcl_residual_a,energy_residual_w,controlled_junction_temperature_k,freewheel_junction_temperature_k,freewheel_recovered_charge_c,controlled_turn_off_tail_current_a
0.00018025,120,4.28718883665,118.589417019,69.8924095121,6.46266529041,8.73655118901,1,1,1,0,0.397713141505,4.70099042756,2.12541095834e-12,4.49049434789e-10,298.179651948,298.156716885,0,0
0.0001805,120,8.64162272336,118.222402813,69.8886267268,6.47062185617,8.73607834085,1,1,1,0,0.397750549571,9.64017713072,1.11022302463e-12,3.82994417431e-11,298.179657755,298.156716879,0,0
0.00018075,120,4.3158586942,118.587002303,69.8848579892,6.47857869086,8.73560724866,1,1,1,0,0.39778839424,4.72553221906,4.68070027182e-13,-5.27193306371e-11,298.179660491,298.156716873,0,0
0.000181,120,8.6447858381,118.222138381,69.8811032972,6.48653597133,8.73513791215,1,1,1,0,0.397826299763,9.63640481086,5.0315307476e-13,5.4478448662e-10,298.1796663,298.156716868,0,0
0.00018125,120,4.34445538671,118.584593755,69.8773626482,6.49449351655,8.73467033103,1,1,1,0,0.397864640633,4.75030391882,1.45519152284e-11,1.77836261342e-10,298.179669056,298.156716862,0,0
0.0001815,120,8.64802544354,118.2218675,69.87363604,6.50245150232,8.734204505,1,1,1,0,0.397903043311,9.63301901559,1.45519152284e-11,-6.39516651441e-10,298.179674866,298.156716856,0,0
0.00018175,120,4.37297932713,118.582191339,69.8699234703,6.51040974865,8.73374043379,1,1,1,0,0.397941880087,4.77529268982,2.72626365927e-12,-6.3442090123e-10,298.179677642,298.15671685,0,0
0.000182,120,8.65134107484,118.221590208,69.8662249366,6.5183684303,8.73327811708,1,1,1,0,0.397980779622,9.63000626862,6.66133814775e-13,-3.07290000737e-10,298.179683454,298.156716844,0,0
0.00018225,120,4.40143092605,118.57979502,69.8625404367,6.52632736833,8.73281755459,1,1,1,0,0.398020112012,4.80048626849,3.93463039927e-13,-1.28206906896e-11,298.179686249,298.156716839,0,0
0.0001825,120,8.65473226993,118.221306545,69.8588699682,6.53428673645,8.73235874603,1,1,1,0,0.398059508108,9.62735365953,1.45519152284e-11,9.49761103097e-11,298.179692064,298.156716833,0,0
0.00018275,120,4.42981059165,118.577404764,69.8552135288,6.54224635677,8.7319016911,1,1,1,0,0.398099335824,4.82587293967,6.45705711122e-13,6.90094682787e-11,298.179694878,298.156716827,0,0
0.000183,120,8.65819856943,118.221016549,69.851571116,6.55020640196,8.7314463895,1,1,1,0,0.398139228186,9.62504881935,2.27373675443e-13,7.85775524509e-11,298.179700695,298.156716821,0,0
0.00018325,120,4.45811872974,118.575020537,69.8479427276,6.55816669517,8.73099284095,1,1,1,0,0.398179550942,4.85144151276,1.39266376209e-12,-3.47188640684e-10,298.179703529,298.156716815,0,0
0.0001835,120,8.66173951673,118.220720259,69.8443283611,6.56612740804,8.73054104514,1,1,1,0,0.398219939278,9.62307989713,1.45519152284e-11,-5.53864679814e-10,298.179709348,298.15671681,0,0
0.00018375,120,4.48635574378,118.572642305,69.8407280142,6.57408836473,8.73009100178,1,1,1,0,0.398260756789,4.87718129874,2.7187141427e-12,-1.24089649146e-09,298.179712201,298.156716804,0,0
0.000184,120,8.66535465785,118.220417713,69.8371416845,6.58204973587,8.72964271057,1,1,1,0,0.39830164081,9.62143553751,1.45519152284e-11,-9.13792696025e-10,298.179718022,298.156716798,0,0
0.00018425,120,4.51452203485,118.570270034,69.8335693697,6.59001134665,8.72919617121,1,1,1,0,0.398342952794,4.90308208837,6.41264819023e-13,-4.3227140617e-10,298.179720895,298.156716792,0,0
0.0001845,120,8.66904354153,118.22010895,69.8300110673,6.59797336669,8.72875138342,1,1,1,0,0.398384332212,9.62010485933,1.45519152284e-11,-4.18176777928e-10,298.179726718,298.156716786,0,0
0.00018475,120,4.54261800172,118.56790369,69.826466775,6.60593562216,8.72830834688,1,1,1,0,0.398426138389,4.92913413121,5.69766456238e-13,-2.50125441192e-10,298.179729611,298.156716781,0,0
0.000185,120,8.67280571913,118.219794006,69.8229364905,6.61389828169,8.72786706131,1,1,1,0,0.398468012919,9.6190774351,6.60360655047e-13,-4.30401157422e-10,298.179735436,298.156716775,0,0
0.00018525,120,4.57064404079,118.565543241,69.8194202112,6.62186117248,8.7274275264,1,1,1,0,0.39851031301,4.95532811561,1.45519152284e-11,2.40611567129e-10,298.179738348,298.156716769,0,0
0.0001855,120,8.67664074468,118.21947292,69.8159179348,6.62982446212,8.72698974185,1,1,1,0,0.398552682367,9.61834327143,4.54747350886e-13,3.43475248243e-10,298.179744175,298.156716763,0,0
0.00018575,120,4.59860054618,118.563188652,69.812429659,6.63778797883,8.72655370737,1,1,1,0,0.398595476096,4.98165514955,1.4290790773e-12,-3.21764099739e-10,298.179747106,298.156716757,0,0
0.000186,120,8.6805481748,118.219145729,69.8089553813,6.64575188921,8.72611942266,1,1,1,0,0.398638339999,9.61789279024,1.45519152284e-11,-2.06079727935e-10,298.179752937,298.156716752,0,0
0.00018625,120,4.62648790967,118.560839892,69.8054950993,6.65371602246,8.72568688741,1,1,1,0,0.39868162709,5.00810674233,2.91038304567e-11,-4.39698191051e-10,298.179755887,298.156716746,0,0
0.0001865,120,8.68452756872,118.218812471,69.8020488106,6.6616805442,8.72525610132,1,1,1,0,0.398724985259,9.61771681082,1.68931535427e-12,-2.57606436183e-10,298.179761719,298.15671674,0,0
0.00018675,120,4.65430652077,118.558496926,69.7986165128,6.66964528461,8.7248270641,1,1,1,0,0.398768765438,5.03467478704,1.45519152284e-11,-2.55112771186e-10,298.179764688,298.156716734,0,0
0.000187,120,8.68857848826,118.218473181,69.7951982035,6.67761040834,8.72439977544,1,1,1,0,0.398812617593,9.6178065327,7.46069872548e-14,-3.10488397146e-10,298.179770524,298.156716728,0,0
0.00018725,120,4.68205676668,118.556159723,69.7917938803,6.68557574654,8.72397423504,1,1,1,0,0.398856890589,5.0613515438,9.67226299053e-13,-4.94341980545e-10,298.179773512,298.156716723,0,0
0.0001875,120,8.69270049781,118.218127898,69.7884035407,6.69354146289,8.72355044259,1,1,1,0,0.398901236454,9.61815351922,8.28892510185e-13,-5.83138138471e-10,298.17977935,298.156716717,0,0
0.00018775,120,4.70973903235,118.55382825,69.7850271824,6.70150738952,8.7231283978,1,1,1,0,0.398946001996,5.0881296237,1.77857728545e-13,-1.19045398539e-10,298.179782357,298.156716711,0,0
0.000188,120,8.6968931643,118.217776657,69.7816648029,6.70947368912,8.72270810036,1,1,1,0,0.398990841293,9.61874968179,2.2541968292e-12,-2.19903305634e-10,298.179788198,298.156716705,0,0
0.00018825,120,4.73735370044,118.551502475,69.7783163998,6.71744019481,8.72228954997,1,1,1,0,0.399036099111,5.11500197352,2.3128166049e-12,2.87313575709e-12,298.179791224,298.156716699,0,0
0.0001885,120,8.70115605719,118.217419495,69.7749819706,6.7254070683,8.72187274632,1,1,1,0,0.399081431566,9.61958726492,6.31494856407e-13,5.59990422089e-10,298.179797067,298.156716694,0,0
0.00018875,120,4.76490115139,118.549182366,69.7716615129,6.73337414369,8.72145768911,1,1,1,0,0.399127181394,5.14196186102,1.45519152284e-11,-7.31836466428e-12,298.179800112,298.156716688,0,0
0.000189,120,8.70548874846,118.217056448,69.7683550243,6.74134158172,8.72104437803,1,1,1,0,0.399173006733,9.62065883183,1.30206956328e-12,3.63424568217e-10,298.179805958,298.156716682,0,0
0.00018925,120,4.79238176337,118.54686789,69.7650625023,6.74930921745,8.72063281278,1,1,1,0,0.399219248302,5.16900286092,9.79660796929e-13,3.59982226319e-10,298.179809022,298.156716676,0,0
0.0001895,120,8.7098908126,118.216687552,69.7617839444,6.75727721066,8.72022299306,1,1,1,0,0.399265566253,9.62195725069,1.45519152284e-11,-1.9781268637e-10,298.179814871,298.15671667,0,0
0.00018975,120,4.81979591234,118.544559017,69.7585193484,6.76524539738,8.71981491855,1,1,1,0,0.399312299297,5.19611884148,1.45519152284e-11,7.32703828166e-10,298.179817954,298.156716665,0,0
0.00019,120,8.71436182657,118.216312842,69.7552687116,6.77321393643,8.71940858894,1,1,1,0,0.399359109589,9.6234756815,1.28652644094e-12,5.52861792805e-10,298.179823806,298.156716659,0,0
0.00019025,120,4.84714397202,118.542255714,69.7520320316,6.78118266479,8.71900400394,1,1,1,0,0.399406333843,5.22330395165,2.80486744941e-12,2.34919505723e-10,298.179826908,298.156716653,0,0
0.0001905,120,8.7189013698,118.215932354,69.7488093059,6.78915174034,8.71860116324,1,1,1,0,0.399453636205,9.62520756348,2.92743607133e-12,2.80455996968e-10,298.179832762,298.156716647,0,0
0.00019075,120,4.87442631395,118.539957951,69.7456005322,6.79712100098,8.71820006652,1,1,1,0,0.399501351406,5.25055260883,7.258638135e-13,2.98345332814e-10,298.179835883,298.156716641,0,0
0.000191,120,8.72350902415,118.215546123,69.7424057079,6.80509060368,8.71780071348,1,1,1,0,0.399549145569,9.62714660308,2.39808173319e-12,8.47168472526e-10,298.17984174,298.156716636,0,0
0.00019125,120,4.90164330747,118.537665696,69.7392248305,6.81306038728,8.71740310381,1,1,1,0,0.399597351453,5.27785948707,1.94422256072e-12,3.28675888589e-10,298.17984488,298.15671663,0,0
0.0001915,120,8.72818437396,118.215154185,69.7360578976,6.8210305078,8.71700723721,1,1,1,0,0.399645637148,9.62928676242,1.45519152284e-11,-2.94333784776e-10,298.17985074,298.156716624,0,0
0.00019175,120,4.9287953197,118.535378919,69.7329049068,6.82900080501,8.71661311335,1,1,1,0,0.399694333453,5.30521950587,1.45519152284e-11,-6.89823632244e-11,298.179853898,298.156716618,0,0
0.000192,120,8.73292700593,118.214756574,69.7297658554,6.83697143402,8.71622073193,1,1,1,0,0.399743110413,9.6316222483,1.45519152284e-11,3.07859206877e-10,298.179859762,298.156716612,0,0
0.00019225,120,4.95588271564,118.533097588,69.7266407411,6.84494223551,8.71583009264,1,1,1,0,0.399792296877,5.33262781945,1.45519152284e-11,1.6965053494e-10,298.179862939,298.156716607,0,0
0.0001925,120,8.73773650921,118.214353325,69.7235295614,6.85291336367,8.71544119518,1,1,1,0,0.399841564834,9.63414750171,1.45519152284e-11,-3.04037394219e-10,298.179868805,298.156716601,0,0
0.00019275,120,4.98290585808,118.530821673,69.7204323137,6.86088466012,8.71505403922,1,1,1,0,0.399891241197,5.36007980644,1.40776279522e-12,2.90186711466e-10,298.179872001,298.156716595,0,0
