time_s,bus_v_pu,source_node_v_pu,source_v_pu,load_conductance_pu,inverter_p_pu,inverter_q_pu,id_pu,iq_pu,id_ref_pu,iq_ref_pu,p_ref_pu,q_ref_pu
0.109420000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000008,0.050000000,0.800000008,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109440000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000008,0.050000000,0.800000008,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109460000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000008,0.050000000,0.800000008,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109480000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000008,0.050000000,0.800000008,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109500000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000008,0.050000000,0.800000008,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109520000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000008,0.050000000,0.800000008,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109540000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000008,0.050000000,0.800000008,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109560000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000007,0.050000000,0.800000007,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109580000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000007,0.050000000,0.800000007,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109600000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000007,0.050000000,0.800000007,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109620000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000007,0.050000000,0.800000007,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109640000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000007,0.050000000,0.800000007,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109660000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000007,0.050000000,0.800000007,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109680000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000007,0.050000000,0.800000007,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109700000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000007,0.050000000,0.800000007,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109720000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000007,0.050000000,0.800000007,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109740000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000007,0.050000000,0.800000007,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109760000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000007,0.050000000,0.800000007,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109780000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000007,0.050000000,0.800000007,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109800000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000007,0.050000000,0.800000007,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109820000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000007,0.050000000,0.800000007,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109840000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000007,0.050000000,0.800000007,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109860000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000007,0.050000000,0.800000007,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109880000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000007,0.050000000,0.800000007,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109900000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000007,0.050000000,0.800000007,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109920000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000007,0.050000000,0.800000007,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109940000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000007,0.050000000,0.800000007,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109960000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000007,0.050000000,0.800000007,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109980000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000007,0.050000000,0.800000007,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110000000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000007,0.050000000,0.800000007,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110020000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000007,0.050000000,0.800000007,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110040000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000007,0.050000000,0.800000007,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110060000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000007,0.050000000,0.800000007,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110080000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000007,0.050000000,0.800000007,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110100000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000007,0.050000000,0.800000007,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
