time_s,receiving_voltage_phase_1_v,sending_current_phase_1_a,receiving_current_phase_1_a,receiving_voltage_phase_2_v,sending_current_phase_2_a,receiving_current_phase_2_a,receiving_voltage_phase_3_v,sending_current_phase_3_a,receiving_current_phase_3_a
0.00064,97005.3095058,1940.42902649,1364.53428027,-28866.8401479,-576.460040706,-1940.10619012,-68226.7140135,-1365.74039315,577.336802958
0.00065,96919.0692232,1938.69892547,1370.01216079,-28506.6458508,-569.252020134,-1938.38138446,-68500.6080394,-1371.21689107,570.132917016
0.00066,96831.451506,1936.94127125,1375.4705704,-28146.0464112,-562.035909231,-1936.62903012,-68773.52852,-1376.67390096,562.920928223
0.00067,96742.4575996,1935.1560888,1380.90943153,-27785.0469539,-554.811810554,-1934.84915199,-69045.4715766,-1382.11134526,555.700939078
0.00068,96652.0887687,1933.3434035,1386.32866688,-27423.6526096,-547.579826772,-1933.04177537,-69316.4333441,-1387.52914671,548.473052192
0.00069,96560.3462977,1931.50324112,1391.72819943,-27061.8685145,-540.34006067,-1931.20692595,-69586.4099717,-1392.92722829,541.23737029
0.0007,96467.2314904,1929.63562779,1397.10795245,-26699.6998104,-533.092615139,-1929.34462981,-69855.3976224,-1398.3055133,533.993996208
0.00071,96372.7456703,1927.74059008,1402.46784947,-26337.1516444,-525.837593182,-1927.45491341,-70123.3924733,-1403.66392528,526.743032888
0.00072,96276.8901801,1925.8181549,1407.80781431,-25974.2291692,-518.575097909,-1925.5378036,-70390.3907155,-1409.0023881,519.484583384
0.00073,96179.6663822,1923.86834958,1413.12777109,-25610.9375427,-511.305232535,-1923.59332764,-70656.3885545,-1414.32082587,512.218750854
0.00074,96081.0756583,1921.89120184,1418.4276442,-25247.2819281,-504.028100383,-1921.62151317,-70921.3822098,-1419.61916302,504.945638562
0.00075,24.32495811,2108.20508144,1574.10842922,-33105.9914025,-553.932987639,-2432.98231017,-78705.4214609,-1466.98296054,662.119828049
0.00076,24.3980506163,2645.56058923,1518.21880325,-31468.4210164,-704.01435872,-2440.29302264,-75910.9401626,-1590.13123373,629.368420328
0.00077,30.9788599757,3088.09521208,1697.70261562,-40943.583951,-818.327745,-3098.50557477,-84885.130781,-1696.98607409,818.87167902
0.00078,35.7264229831,3453.97061442,1809.54940628,-46473.9014947,-899.645308154,-3573.35682677,-90477.4703142,-1783.58739297,929.478029894
0.00079,37.6859510342,3958.49629487,1813.83059395,-46656.0431118,-995.149161059,-3769.34882245,-90691.5296973,-1873.84025953,933.120862237
0.0008,44.0991257226,4262.47552751,1978.34998491,-54304.1169933,-1035.37410827,-4410.79455477,-98917.4992453,-1931.47661407,1086.08233987
0.00081,46.3169041901,4700.41104112,1970.22204369,-53586.3212139,-1108.12425747,-4632.61675709,-98511.1021843,-2009.01489108,1071.72642428
0.00082,50.2440912044,5062.70445943,2049.14680015,-56769.6921638,-1135.90242218,-5025.41400226,-102457.340007,-2049.02033338,1135.39384328
0.00083,54.9424919797,5397.87589862,2122.62811565,-59952.9139132,-1174.28727997,-5495.3480478,-106131.405782,-2103.6227818,1199.05827826
0.00084,56.751348795,5793.32791364,2102.83453007,-58221.0346003,-1209.32708803,-5676.26990647,-105141.726504,-2147.10962779,1164.42069201
0.00085,61.8646573535,6106.28442189,2211.13460652,-62964.0801332,-1218.51269325,-6187.7030285,-110556.730326,-2173.53810821,1259.28160266
0.00086,64.2838979622,6459.87304237,2188.05438365,-61181.520528,-1250.19748598,-6429.67547418,-109402.719182,-2217.97103135,1223.63041056
0.00087,67.7707486325,6803.1982146,2238.70311041,-62930.874582,-1257.42837282,-6778.43027822,-111935.155521,-2237.37764835,1258.61749164
0.00088,71.6169871721,7110.82345203,2276.87424225,-64240.3365657,-1266.88704201,-7163.13105695,-113843.712113,-2263.71462811,1284.80673131
0.00089,74.0192390049,7460.56908763,2262.90581551,-62807.1678959,-1284.54343646,-7403.40428527,-113145.290775,-2291.93161032,1256.14335792
0.0009,77.9921891939,7764.20079038,2323.94631362,-65170.9035547,-1278.96864331,-7800.77876317,-116197.315681,-2302.02387245,1303.41807109
0.00091,80.7652281719,8088.6780815,2313.19116844,-64014.2272612,-1292.46929567,-8078.13812175,-115659.558422,-2328.49340254,1280.28454522
