time_s,receiving_voltage_phase_1_minimum_v,receiving_voltage_phase_1_maximum_v,sending_current_phase_1_minimum_a,sending_current_phase_1_maximum_a,receiving_current_phase_1_minimum_a,receiving_current_phase_1_maximum_a,receiving_voltage_phase_2_minimum_v,receiving_voltage_phase_2_maximum_v,sending_current_phase_2_minimum_a,sending_current_phase_2_maximum_a,receiving_current_phase_2_minimum_a,receiving_current_phase_2_maximum_a,receiving_voltage_phase_3_minimum_v,receiving_voltage_phase_3_maximum_v,sending_current_phase_3_minimum_a,sending_current_phase_3_maximum_a,receiving_current_phase_3_minimum_a,receiving_current_phase_3_maximum_a,terminal_power_minimum_w,terminal_power_maximum_w,cumulative_supplied_energy_minimum_j,cumulative_supplied_energy_maximum_j,maximum_kcl_residual_a
0.00029,99147.7131362,99147.7134648,1983.45901379,1983.4604102,1161.1644184,1161.16442667,-41179.0421295,-41179.0414506,-822.856785694,-822.856198172,-1982.9542693,-1982.95426272,-58058.2213337,-58058.2209202,-1162.40882442,-1162.40799905,823.580829012,823.580842589,1105398.74256,1105606.63768,321.677873861,321.738217531,2.72848410532e-12
0.0003,99110.3144263,99110.3147253,1982.70594906,1982.70734434,1167.27283227,1167.27284131,-40836.2070485,-40836.2063335,-815.995544686,-815.994961253,-1982.20629451,-1982.20628853,-58363.6420653,-58363.6416136,-1168.51647062,-1168.51564021,816.72412667,816.72414097,1105035.2622,1105243.14477,332.730043885,332.792466443,2.72848410532e-12
0.00031,99071.5071395,99071.5074088,1981.9247057,1981.92609983,1173.36465661,1173.36466641,-40492.7915946,-40492.7908435,-809.122706575,-809.122127239,-1981.43014818,-1981.43014279,-58668.2333203,-58668.2328304,-1174.60750961,-1174.60667417,809.85581687,809.855831892,1104662.19088,1104870.06096,343.77853115,343.843032472,2.72848410532e-12
0.00032,99031.2918273,99031.2920669,1981.11529479,1981.11668775,1179.43980484,1179.4398154,-40148.8006486,-40148.7998614,-802.23836904,-802.237793808,-1980.62584134,-1980.62583655,-58971.9907699,-58971.9902418,-1180.68185483,-1180.68101437,802.975997227,802.976012971,1104279.54982,1104487.40743,354.823239854,354.889819813,2.72848410532e-12
0.00033,98989.6690612,98989.6692712,1980.27772786,1980.27911963,1185.49819061,1185.49820194,-39804.2390992,-39804.2382759,-795.342629922,-795.342058803,-1979.79338542,-1979.79338122,-59274.910097,-59274.9095307,-1186.73941995,-1186.73857449,796.084765518,796.084781983,1103887.36076,1104095.20595,365.864074407,365.93273288,2.72848410532e-12
0.00034,98946.6394328,98946.6396131,1979.41201679,1979.41340735,1191.53972784,1191.53973993,-39459.1118434,-39459.1109841,-788.435587224,-788.435020227,-1978.93279226,-1978.93278866,-59576.9869964,-59576.9863919,-1192.78011887,-1192.77926842,789.182219681,789.182236868,1103485.64601,1103693.47881,376.900939441,376.971676304,2.72848410532e-12
0.00035,98902.2035537,98902.2037043,1978.5181739,1978.51956323,1197.56433065,1197.5643435,-39113.4237863,-39113.4228909,-781.517339112,-781.516776244,-1978.04407409,-1978.04407107,-59878.2171749,-59878.2165323,-1198.80386574,-1198.80301031,782.268457819,782.268475727,1103074.42839,1103282.24885,387.933739813,388.006554942,2.72848410532e-12
0.00036,98856.3620553,98856.3621762,1977.59621188,1977.59759996,1203.57191341,1203.57192703,-38767.179841,-38767.1789095,-774.587983908,-774.587425177,-1977.12724352,-1977.12724111,-60178.5963514,-60178.5956706,-1204.81057496,-1204.80971457,775.34357819,775.343596819,1102653.73129,1102861.53944,398.962380611,399.037273884,2.72848410532e-12
0.00037,98809.1155892,98809.1156804,1976.64614385,1976.64753066,1209.56239076,1209.56240514,-38420.3849281,-38420.3839606,-767.647620094,-767.647065509,-1976.18231361,-1976.18231178,-60478.1202569,-60478.119538,-1210.80016116,-1210.79929581,768.407679213,768.407698562,1102223.57862,1102431.37451,409.986767161,410.063738454,2.72848410532e-12
0.00038,98760.4648268,98760.4648884,1975.6679833,1975.66936882,1215.53567755,1215.53569269,-38073.0439766,-38073.0429731,-760.696346309,-760.695795876,-1975.20929777,-1975.20929654,-60776.7846344,-60776.7838773,-1216.7725392,-1216.77166891,761.460859462,761.460879532,1101783.99484,1101991.77851,421.006805028,421.085854219,2.72848410532e-12
0.00039,98710.4104597,98710.4104915,1974.66174413,1974.66312834,1221.49168888,1221.49170478,-37725.1619228,-37725.1608833,-753.734261345,-753.733715073,-1974.20820983,-1974.20820919,-61074.5852392,-61074.5844441,-1222.72762422,-1222.72674899,754.503217666,754.503238456,1101335.00494,1101542.77643,432.022400027,432.103526993,2.72848410532e-12
0.0004,98658.9531991,98658.9532012,1973.62744065,1973.62882353,1227.43034012,1227.43035678,-37376.743711,-37376.7426355,-746.761464148,-746.760922045,-1973.17906402,-1973.17906398,-61371.517839,-61371.5170058,-1228.66533156,-1228.66445142,747.53485271,747.534874219,1100876.63443,1101084.39379,443.033458224,443.116662844,2.72848410532e-12
0.00041,98606.0937488,98606.0937764,1972.56508755,1972.56646909,1233.35154685,1233.35156427,-37027.7942929,-37027.7931814,-739.778053818,-739.777515891,-1972.12187553,-1972.12187498,-61667.5782137,-61667.5773424,-1234.58557685,-1234.58469181,740.555863628,740.555885858,1100408.90938,1100616.65665,454.039885943,454.125168097,2.72848410532e-12
