time_s,phase_a_grid_voltage_v,phase_a_grid_current_a,phase_b_grid_current_a,phase_c_grid_current_a,neutral_current_a,dc_link_voltage_v,active_power_w,reactive_power_var,positive_sequence_voltage_v,negative_sequence_voltage_v,zero_sequence_voltage_v,controller_frequency_hz,phase_a_duty,operating_mode,request_disposition
0.02106,318.278939025,22.7439610891,-9.98283345677,-12.7611276323,0,771.071814295,11095.0034765,2589.22328932,315.968412222,13.3531230628,12.2463988519,50.5829408869,0.773906830523,0,0
0.02108,317.370941366,20.7499571707,-7.91897912927,-12.8309780413,0,770.592472132,10303.3475085,1761.00311659,315.968412222,13.3531230628,12.2463988519,50.5829408869,0.773906830523,0,0
0.0211,316.081814526,23.4559008483,-8.18218589374,-15.2737149546,0,770.154452806,11744.7032826,1632.08822671,315.968412222,13.3531230628,12.2463988519,50.5829408869,0.773906830523,0,0
0.02112,314.738580621,26.7804085722,-8.55624828263,-18.2241602896,0,769.708561057,13506.8322535,1508.16516794,315.976010901,13.342835707,12.2463988519,50.5841597676,0.771804318676,0,0
0.02114,313.549486012,28.126615713,-10.5629749031,-17.5636408099,0,769.241627449,13865.0132323,2527.54294036,315.976010901,13.342835707,12.2463988519,50.5841597676,0.771804318676,0,0
0.02116,312.569653021,26.8115212306,-9.94968132295,-16.8618399076,0,768.774494659,13209.2130373,2418.72395271,315.984304436,13.3311276878,12.2463988519,50.5854285769,0.757966872234,0,0
0.02118,311.626934414,24.9927978902,-7.90512631756,-17.0876715725,0,768.313385977,12543.5020965,1580.14469842,315.984304436,13.3311276878,12.2463988519,50.5854285769,0.757966872234,0,0
0.0212,310.308320911,27.8386902803,-8.17162012882,-19.6670701515,0,767.884712992,14051.3059498,1497.24031409,315.984304436,13.3311276878,12.2463988519,50.5854285769,0.757966872234,0,0
0.02122,308.961327677,31.0106757489,-8.42600111686,-22.584674632,0,767.44627586,15737.575442,1393.3374698,315.981123778,13.3284609882,12.2463988519,50.5861924554,0.754240360963,0,0
0.02124,307.75927649,32.3474298969,-10.2791174092,-22.0683124876,0,766.996496552,16088.4691215,2349.9461664,315.981123778,13.3284609882,12.2463988519,50.5861924554,0.754240360963,0,0
0.02126,306.752479069,31.2250278699,-10.056295611,-21.1687322589,0,766.545903866,15473.3033379,2429.62055495,315.978243066,13.3246414709,12.2463988519,50.5870087884,0.740456569602,0,0
0.02128,305.786416316,29.579697314,-8.03013322538,-21.5495640886,0,766.103067619,14931.2381521,1587.45733809,315.978243066,13.3246414709,12.2463988519,50.5870087884,0.740456569602,0,0
0.0213,304.462012729,32.4043819879,-8.21588164367,-24.1885003443,0,765.682222738,16431.5494119,1525.57980757,315.978243066,13.3246414709,12.2463988519,50.5870087884,0.740456569602,0,0
0.02132,303.121943859,35.4198927886,-8.33162464427,-27.0882681443,0,765.251340564,18047.2049943,1429.30328358,315.976089423,13.3204256522,12.2463988519,50.5878320747,0.735670024515,0,0
0.02134,301.9021037,36.9315601374,-9.84690160778,-27.0846585296,0,764.817562506,18535.689515,2213.94773682,315.976089423,13.3204256522,12.2463988519,50.5878320747,0.735670024515,0,0
0.02136,300.877879818,36.0007900382,-10.0137575801,-25.9870324581,0,764.383570919,17949.9563387,2482.76784741,315.973657076,13.3162630831,12.2463988519,50.5886429388,0.72040397648,0,0
0.02138,299.884645851,34.6889034443,-8.08651337911,-26.6023900652,0,763.957784755,17602.0577435,1674.85114331,315.973657076,13.3162630831,12.2463988519,50.5886429388,0.72040397648,0,0
0.0214,298.563595111,37.4842123899,-8.18906592102,-29.2951464689,0,763.544392627,19093.0303068,1635.92490046,315.973657076,13.3162630831,12.2463988519,50.5886429388,0.72040397648,0,0
0.02142,297.239578854,40.3290381873,-8.17041573396,-32.1586224533,0,763.120806816,20633.7706038,1549.47405621,315.970850106,13.3118385611,12.2463988519,50.589460808,0.713883646341,0,0
