time_s,SRCE A_v_pu,BUS  A_v_pu,SRCE B_v_pu,BUS  B_v_pu,SRCE C_v_pu,BUS  C_v_pu,THEV A_v_pu,THEV B_v_pu,THEV C_v_pu,saturated_transformer_internal_node_10_v_pu,saturated_transformer_internal_node_11_v_pu,saturated_transformer_internal_node_12_v_pu,saturated_transformer_internal_node_13_v_pu,saturated_transformer_internal_node_14_v_pu,saturated_transformer_internal_node_15_v_pu,X_saturated_transformer_internal_top_v_pu,Y_saturated_transformer_internal_top_v_pu,Z_saturated_transformer_internal_top_v_pu,output_fixed_1_pu,output_fixed_2_pu,output_fixed_3_pu,switch_voltage_switch_fixed_1_pu,switch_voltage_switch_fixed_2_pu,switch_voltage_switch_fixed_3_pu,switch_current_switch_fixed_1_pu,switch_current_switch_fixed_2_pu,switch_current_switch_fixed_3_pu
0.0556,-144775.974367,-161029.622564,281409.159382,329171.787318,-136286.450431,-170583.192123,-144912.98671,281651.460605,-136738.473895,-89.4609012264,-161029.622208,329171.776012,182.873208896,-170583.17396,-94.7684299777,-161029.622208,329171.776012,-170583.17396,-161029.622564,329171.787318,-170583.192123,16253.6481974,-47762.6279356,34296.7416916,0,0,0
0.0557,-154116.190899,-169426.064229,280849.39532,328624.843831,-127450.798463,-162283.07754,-153914.369926,281273.458565,-127359.088639,-94.125591039,-169426.06387,328624.832525,182.569351403,-162283.059379,-90.1572552104,-169426.06387,328624.832525,-162283.059379,-169426.064229,328624.843831,-162283.07754,15309.8733299,-47775.4485109,34832.279077,0,0,0
0.0558,-162973.291364,-177299.226815,280334.26871,328095.445897,-118258.946183,-153578.846268,-162697.0324,280495.751548,-117798.719149,-98.4995702532,-177299.226456,328095.434591,182.27524144,-153578.828108,-85.3215711711,-177299.226456,328095.434591,-153578.828108,-177299.226815,328095.445897,-153578.846268,14325.9354515,-47761.1771875,35319.9000851,0,0,0
0.0559,-171249.452432,-184569.198749,279677.702196,327432.447935,-108399.499316,-144208.83276,-171248.493488,279319.444721,-108070.951233,-102.538443591,-184569.198464,327432.436629,181.906909238,-144208.814397,-80.1160079986,-184569.198464,327432.436629,-144208.814397,-184569.198749,327432.447935,-144208.83276,13319.7463172,-47754.7457383,35809.3334445,0,0,0
0.056,-179285.098768,-191588.18678,278330.195915,326189.443058,-98124.9267202,-134165.256584,-179556.601096,277746.209678,-98189.6085821,-106.437881386,-191588.186495,326189.431753,181.216350974,-134165.238227,-74.5362434593,-191588.186495,326189.431753,-134165.238227,-191588.18678,326189.443058,-134165.256584,12303.0880111,-47859.2471436,36040.3298642,0,0,0
0.0561,-187414.464984,-198633.109997,275986.108434,324118.178778,-87891.6316174,-123778.179814,-187609.548949,275778.282074,-88168.7331246,-110.351727618,-198633.109712,324118.167472,180.065648596,-123778.161399,-68.7656452217,-198633.109712,324118.167472,-123778.161399,-198633.109997,324118.178778,-123778.179814,11218.6450133,-48132.0703439,35886.5481962,0,0,0
0.0562,-195530.573151,-205615.220887,272986.509391,321495.87466,-77852.7902312,-113138.114698,-195395.893368,273418.458441,-78022.5650728,-114.230678112,-205615.220602,321495.863354,178.608812975,-113138.096291,-62.8544979392,-205615.220602,321495.863354,-113138.096291,-205615.220887,321495.87466,-113138.114698,10084.6477363,-48509.3652696,35285.3244664,0,0,0
0.0563,-203204.033206,-212183.882376,270004.133347,318869.247201,-67784.325921,-102100.036353,-202904.56953,270670.092216,-67765.5226868,-117.879934494,-212183.88209,318869.235895,177.149575497,-102100.017954,-56.7222321966,-212183.88209,318869.235895,-102100.017954,-212183.882376,318869.247201,-102100.036353,8979.84916978,-48865.1138534,34315.7104322,0,0,0
0.0564,-210208.205887,-218153.265581,267314.915749,316462.632614,-57465.7020592,-90326.3650078,-210124.907196,267537.088981,-57412.1817849,-121.196258497,-218153.265295,316462.621308,175.812567393,-90326.3466817,-50.181303712,-218153.265295,316462.621308,-90326.3466817,-218153.265581,316462.632614,-90326.3650078,7945.05969479,-49147.7168641,32860.6629486,0,0,0
0.0565,-216795.768248,-223746.704091,264476.213042,313916.540486,-46970.5805531,-77801.2973187,-217046.645871,264023.900902,-46977.2550312,-124.303724357,-223746.703843,313916.52918,174.398071767,-77801.2790103,-43.2229327835,-223746.703843,313916.52918,-77801.2790103,-223746.704091,313916.540486,-77801.2973187,6950.93584292,-49440.3274439,30830.7167656,0,0,0
0.0566,-223377.178445,-229325.137315,260796.590009,310644.510172,-36511.6402595,-64642.3350989,-223659.949385,260135.520413,-36475.5710276,-127.402853925,-229325.137066,310644.49882,172.580277122,-64642.3165328,-35.9123980738,-229325.137066,310644.49882,-64642.3165328,-229325.137315,310644.510172,-64642.3350989,5947.95887011,-49847.9201632,28130.6948395,0,0,0
0.0567,-229997.219954,-234921.894181,256084.750231,306450.501464,-26099.9262459,-50777.7385134,-229955.419874,255877.473115,-25922.0532416,-130.512163295,-234921.893932,306450.490113,170.250272285,-50777.7199801,-28.2098444334,-234921.893932,306450.490113,-50777.7199801,-234921.894181,306450.501464,-50777.7385134,4924.67422698,-50365.7512335,24677.8122674,0,0,0
0.0568,-236254.715975,-240210.715026,250843.384479,301746.072585,-15504.8588609,-36197.4979682,-235924.111128,251255.809927,-15331.6987996,-133.450397098,-240210.714777,301746.061234,167.636700686,-36197.4794697,-20.1097108165,-240210.714777,301746.061234,-36197.4794697,-240210.715026,301746.072585,-36197.4979682,3955.99905107,-50902.6881061,20692.6391073,0,0,0
0.0569,-241780.545316,-244891.401241,245707.202808,297041.549285,-4618.69346127,-20977.2004808,-241557.54131,246277.098484,-4719.55717461,-136.050778329,-244891.400992,297041.537846,165.023076581,-20977.1820185,-11.6539900102,-244891.400992,297041.537846,-20977.1820185,-244891.401241,297041.549285,-20977.2004808,3110.85592474,-51334.3464763,16358.5070196,0,0,0
0.057,-246685.313276,-249053.548275,240780.055498,292308.112639,6289.95761578,-5502.93877887,-246847.705008,240948.413809,5899.29119934,-138.363082237,-249053.548026,292308.101201,162.393389556,-5502.92035328,-3.05717797404,-249053.548026,292308.101201,-5502.92035328,-249053.548275,292308.112639,-5502.93877887,2368.2349988,-51528.0571402,11792.8963946,0,0,0
0.0571,-251424.926429,-253067.325536,235592.706928,287138.471228,16819.8454984,9728.72744489,-251787.084611,235277.328253,16509.7563577,-140.592958493,-253067.325287,287138.459806,159.521366559,9728.74583426,5.40485879681,-253067.325287,287138.459806,9728.74583426,-253067.325536,287138.471228,9728.72744489,1642.39910683,-51545.7643,7091.11805352,0,0,0
