time_s,dc_link_voltage_v,active_power_w,reactive_power_var,phase_a_current_a,phase_b_current_a,phase_c_current_a,line_ab_voltage_v,line_bc_voltage_v,line_ca_voltage_v,blocked
0.02736,789.031818608,-0.319998858729,-1.49212588265e-06,0.00044112187253,-0.000637761599929,0.000196639962797,-539.44173623,417.200781363,122.240954867,1
0.02738,789.068315983,-0.319999144565,-1.17098237281e-06,0.000444140762058,-0.000636862692455,0.000192721761893,-540.501727257,414.792227174,125.709500083,1
0.0274,789.104691902,-0.319999343787,-9.49963082995e-07,0.000447141725975,-0.000635938629072,0.000188795966324,-541.540177524,412.367297698,129.172879826,1
0.02742,789.14094677,-0.319999482629,-7.97862758882e-07,0.000450125350287,-0.000634988866586,0.000184863310749,-542.557108437,409.926088668,132.631019769,1
0.02744,789.17708099,-0.319999579382,-6.93198436665e-07,0.000453090954321,-0.000634014091755,0.000180923301159,-543.552523038,407.468696457,136.083826581,1
0.02746,789.213094962,-0.3199996468,-6.21181378742e-07,0.000456038461263,-0.000633014362581,0.000176976073578,-544.526411922,404.99521808,139.531193843,1
0.02748,789.248989088,-0.319999693773,-5.71631802132e-07,0.000458967782736,-0.000631989731924,0.000173021770445,-545.47875733,402.505751185,142.973006146,1
0.0275,789.284763766,-0.319999726499,-5.37542981166e-07,0.00046187882258,-0.000630940249388,0.000169060538716,-546.409535984,400.000394052,146.409141932,1
0.02752,789.320419393,-0.319999749296,-5.14092543086e-07,0.000464772100355,-0.00062986534174,0.000165093149437,-547.318721048,397.479245588,149.839475459,1
0.02754,789.355956366,-0.319999765176,-4.97961714786e-07,0.000467646890511,-0.000628765676464,0.000161119134186,-548.206283487,394.942405325,153.263878162,1
0.02756,789.391375079,-0.319999776236,-4.86866678125e-07,0.000470503086285,-0.000627641299736,0.000157138647087,-549.072193011,392.389973411,156.682219599,1
0.02758,789.426675927,-0.319999783939,-4.79235943161e-07,0.000473340579695,-0.000626492257741,0.000153151843486,-549.916418718,389.822050614,160.094368104,1
0.0276,789.461859301,-0.319999789304,-4.73988236956e-07,0.000476159262143,-0.000625318596968,0.00014915887965,-550.738929556,387.238738309,163.500191247,1
0.02762,789.496925592,-0.31999979304,-4.70379646689e-07,0.000478959645714,-0.000624119743537,0.000145160533427,-551.539694625,384.640138482,166.899556143,1
0.02764,789.53187519,-0.319999795641,-4.67898400264e-07,0.000481740379945,-0.000622896986863,0.000141155720579,-552.318683404,382.026353721,170.292329683,1
0.02766,789.566708483,-0.319999797452,-4.66192446768e-07,0.000484502598195,-0.000621649133588,0.000137145840839,-553.075865892,379.397487213,173.678378678,1
0.02768,789.601425858,-0.319999798712,-4.65019640642e-07,0.000487245571622,-0.000620376853815,0.000133130431671,-553.811212719,376.753642743,177.057569976,1
0.0277,789.636027701,-0.31999979959,-4.64213425105e-07,0.000489969813685,-0.000619079576746,0.000129110272621,-554.524695215,374.094924684,180.429770532,1
0.02772,789.670514397,-0.319999800201,-4.63659264606e-07,0.000492673975806,-0.000617758595123,0.000125084280871,-555.216285464,371.421437997,183.794847467,1
0.02774,789.704886328,-0.319999800626,-4.63278389604e-07,0.000495359193597,-0.000616412719077,0.00012105385738,-555.885956337,368.733288228,187.152668108,1
0.02776,789.739143877,-0.319999800922,-4.6301663638e-07,0.000498024119836,-0.000615043243192,0.000117017919809,-556.533681514,366.030581501,190.503100013,1
0.02778,789.773287424,-0.319999801128,-4.62836764087e-07,0.000500669891551,-0.000613648979465,0.00011297786956,-557.159435508,363.313424512,193.846010996,1
0.0278,789.807317349,-0.319999801272,-4.62713171605e-07,0.000503296404748,-0.000612229982599,0.000108933866466,-557.763193673,360.581924532,197.181269141,1
0.02782,789.841234029,-0.319999801371,-4.62628255804e-07,0.000505902314423,-0.000610787550003,0.000104884828788,-558.344932213,357.836189395,200.508742818,1
0.02784,789.875037842,-0.319999801441,-4.62569920923e-07,0.000508488759868,-0.000609320496511,0.000100832158485,-558.904628189,355.076327498,203.828300691,1
0.02786,789.908729163,-0.319999801489,-4.62529848836e-07,0.000511054397622,-0.000607830121428,9.67747741627e-05,-559.442259525,352.302447795,207.139811729,1
0.02788,789.942308366,-0.319999801523,-4.62502326427e-07,0.000513600368535,-0.000606315241482,9.2714078109e-05,-559.957805009,349.514659796,210.443145213,1
0.0279,789.975775825,-0.319999801546,-4.62483423548e-07,0.000516125951603,-0.000604776536989,8.8649610121e-05,-560.451244296,346.713073555,213.738170741,1
0.02792,790.009131911,-0.319999801562,-4.62470442629e-07,0.00051863166838,-0.000603213447449,8.45821519037e-05,-560.922557914,343.897799676,217.024758238,1
0.02794,790.042376995,-0.319999801574,-4.62461527942e-07,0.000521116178574,-0.000601627275947,8.05106226558e-05,-561.371727261,341.068949301,220.302777959,1
0.02796,790.075511447,-0.319999801581,-4.62455409829e-07,0.000523580626228,-0.000600016842983,7.64364252337e-05,-561.798734606,338.226634108,223.572100497,1
0.02798,790.108535635,-0.319999801587,-4.62451208844e-07,0.000526023672666,-0.000598383453521,7.23584790923e-05,-562.203563094,335.370966307,226.832596787,1
0.028,790.141449925,-0.319999801591,-4.62448325716e-07,0.000528446463553,-0.000596725929936,6.82781873312e-05,-562.586196744,332.502058634,230.084138111,0
0.02802,790.172894028,264.841930392,-1109.36459799,-1.7577604363,-0.442759196728,2.20051963387,-789.866311122,2.11321638359,787.753094738,0
0.02804,790.19982832,713.803736783,-2398.18187249,-4.01160436452,-0.729398540554,4.74100290567,-789.883409391,2.12735199659,787.756057394,0
0.02806,790.231766682,1358.51437704,-1494.60710977,-4.01677056585,1.21463142176,2.80213914347,-787.805601782,789.93969632,-2.13409453788,0
0.02808,790.259845779,1994.22783951,-521.286443191,-3.95240532539,3.2149909453,0.737414380377,-787.824000908,789.947449996,-2.12344908791,0
0.0281,790.285815842,2212.57338428,267.737612276,-3.42405192455,4.29950362203,-0.875451697776,792.124425707,-792.111682706,-0.01274300107,0
0.02812,790.313205393,2103.70171728,-764.388699516,-4.43137032569,3.16181183147,1.26955849562,-787.875231591,-0.00946126663189,787.884692858,0
0.02814,790.334395769,2581.5903488,-1987.15793261,-6.62391318637,2.89433612768,3.72957705905,-787.886796632,0.004176204636,787.882620427,0
0.02816,790.358104758,3172.42699159,-1345.9498362,-6.91462063848,4.52308153075,2.39153910721,-787.900908356,790.047439144,-2.146530788,0
0.02818,790.379124396,3773.58057438,-298.487237188,-6.79506337298,6.55669230452,0.238371068146,-787.912357726,790.047524888,-2.13516716153,0
0.0282,790.39934213,3962.22895856,549.983943102,-6.21353020133,7.67319894121,-1.45966873877,792.268767862,-792.244998555,-0.023769307194,0
0.02822,790.42259052,3879.79155655,-432.47196399,-7.16845342019,6.56759690012,0.600856520288,-787.953902376,-0.02983370175,787.983736078,0
0.02824,790.438005063,4390.4843076,-1585.80515267,-9.30779763593,6.33427169575,2.97352594127,-787.959786825,-0.0168037286884,787.976590553,0
0.02826,790.453950181,4945.95948197,-1320.38485737,-10.0029852671,7.54043529556,2.46254997069,-787.966225186,790.128552851,-2.16232766538,0
0.02828,790.468590144,5511.09891239,-199.837873917,-9.83010951021,9.61021030487,0.219899205011,-787.971380653,790.121630686,-2.15025003282,0
0.0283,790.483611853,5669.19857717,708.406536663,-9.1960790611,10.7628632742,-1.56678421303,792.38339865,-792.345252176,-0.0381464740495,0
0.02832,790.502474279,5613.05948473,-222.482470684,-10.0995440018,9.6932667734,0.40627722929,-788.003502332,-0.0464349474883,788.04993728,0
0.02834,790.511821987,6155.74050945,-1305.19889698,-12.1874998739,9.49704695579,2.69045291871,-788.00339136,-0.0340329700152,788.03742433,0
0.02836,790.520659149,6701.64220612,-1304.67062638,-13.1749079987,10.3976484081,2.77725959001,-788.002788474,790.182549301,-2.17976082704,0
0.02838,790.529333535,7228.7084081,-112.254231176,-12.9508558283,12.5061991505,0.444656677318,-788.002040367,790.169017919,-2.16697755169,0
0.0284,790.539503459,7354.66274636,855.647178822,-12.265581081,13.6985427214,-1.43296163913,792.469316163,-792.415153067,-0.0541630969385,0
0.02842,790.553915108,7323.68996974,-21.9204286263,-13.118790638,12.6685622318,0.450228405864,-788.02497045,-0.0610916688245,788.086062119,0
0.02844,790.557112538,7896.61590586,-1033.01117202,-15.1574365301,12.5120985078,2.64533802203,-788.01875697,-0.0493338021822,788.068090772,0
0.02846,790.558901169,8452.23295635,-1297.4572153,-16.4393419805,13.109581293,3.32976068737,-788.01114866,790.209994162,-2.19884550235,0
