time_s,phase_a_duty,phase_b_duty,phase_c_duty,phase_a_upper_gate,phase_a_lower_gate,phase_b_upper_gate,phase_b_lower_gate,phase_c_upper_gate,phase_c_lower_gate,upper_antiparallel_diode_count,lower_antiparallel_diode_count
0.00236,0.873361751624,0.722277221146,0.126638248376,1,0,1,0,0,1,0,0
0.00238,0.873361751624,0.722277221146,0.126638248376,1,0,0,1,0,1,0,1
0.0024,0.873361751624,0.722277221146,0.126638248376,0,0,0,0,0,0,1,2
0.00242,0.868629858374,0.744262500825,0.131370141626,1,0,1,0,0,1,0,0
0.00244,0.868629858374,0.744262500825,0.131370141626,1,0,1,0,0,1,0,0
0.00246,0.868629858374,0.744262500825,0.131370141626,1,0,1,0,0,1,0,0
0.00248,0.868629858374,0.744262500825,0.131370141626,1,0,0,1,0,1,0,1
0.0025,0.868629858374,0.744262500825,0.131370141626,0,0,0,0,0,0,1,2
0.00252,0.864585913811,0.765534102606,0.135414086189,1,0,1,0,0,1,0,0
0.00254,0.864585913811,0.765534102606,0.135414086189,1,0,1,0,0,1,0,0
0.00256,0.864585913811,0.765534102606,0.135414086189,1,0,1,0,0,1,0,0
0.00258,0.864585913811,0.765534102606,0.135414086189,1,0,0,1,0,1,0,1
0.0026,0.864585913811,0.765534102606,0.135414086189,0,0,0,0,0,0,1,2
0.00262,0.859508921886,0.786601794926,0.140491078114,1,0,1,0,0,1,0,0
0.00264,0.859508921886,0.786601794926,0.140491078114,1,0,1,0,0,1,0,0
0.00266,0.859508921886,0.786601794926,0.140491078114,1,0,1,0,0,1,0,0
0.00268,0.859508921886,0.786601794926,0.140491078114,1,0,0,1,0,1,0,1
0.0027,0.859508921886,0.786601794926,0.140491078114,0,0,0,0,0,0,1,2
0.00272,0.854823112063,0.805219672411,0.145176887937,1,0,1,0,0,1,0,0
0.00274,0.854823112063,0.805219672411,0.145176887937,1,0,1,0,0,1,0,0
0.00276,0.854823112063,0.805219672411,0.145176887937,1,0,1,0,0,1,0,0
0.00278,0.854823112063,0.805219672411,0.145176887937,1,0,0,0,0,1,0,1
0.0028,0.854823112063,0.805219672411,0.145176887937,0,0,0,0,0,0,1,2
0.00282,0.84899460382,0.823541133509,0.15100539618,1,0,1,0,0,1,0,0
0.00284,0.84899460382,0.823541133509,0.15100539618,1,0,1,0,0,1,0,0
0.00286,0.84899460382,0.823541133509,0.15100539618,1,0,1,0,0,1,0,0
0.00288,0.84899460382,0.823541133509,0.15100539618,1,0,1,0,0,1,0,0
0.0029,0.84899460382,0.823541133509,0.15100539618,0,0,0,0,0,0,1,2
0.00292,0.843632384263,0.840977006897,0.156367615737,1,0,1,0,0,1,0,0
0.00294,0.843632384263,0.840977006897,0.156367615737,1,0,1,0,0,1,0,0
0.00296,0.843632384263,0.840977006897,0.156367615737,1,0,1,0,0,1,0,0
0.00298,0.843632384263,0.840977006897,0.156367615737,1,0,1,0,0,1,0,0
0.003,0.843632384263,0.840977006897,0.156367615737,0,0,0,0,0,0,1,2
0.00302,0.825963058992,0.848444051784,0.151555948216,1,0,1,0,0,1,0,0
0.00304,0.825963058992,0.848444051784,0.151555948216,1,0,1,0,0,1,0,0
0.00306,0.825963058992,0.848444051784,0.151555948216,1,0,1,0,0,1,0,0
0.00308,0.825963058992,0.848444051784,0.151555948216,1,0,1,0,0,1,0,0
0.0031,0.825963058992,0.848444051784,0.151555948216,0,0,0,0,0,0,1,2
0.00312,0.807989869535,0.854273387093,0.145726612907,1,0,1,0,0,1,0,0
0.00314,0.807989869535,0.854273387093,0.145726612907,1,0,1,0,0,1,0,0
0.00316,0.807989869535,0.854273387093,0.145726612907,1,0,1,0,0,1,0,0
0.00318,0.807989869535,0.854273387093,0.145726612907,1,0,1,0,0,1,0,0
0.0032,0.807989869535,0.854273387093,0.145726612907,0,0,0,0,0,0,1,2
0.00322,0.788232861311,0.859183313578,0.140816686422,1,0,1,0,0,1,0,0
0.00324,0.788232861311,0.859183313578,0.140816686422,1,0,1,0,0,1,0,0
0.00326,0.788232861311,0.859183313578,0.140816686422,1,0,1,0,0,1,0,0
0.00328,0.788232861311,0.859183313578,0.140816686422,1,0,1,0,0,1,0,0
0.0033,0.788232861311,0.859183313578,0.140816686422,0,0,0,0,0,0,1,2
0.00332,0.768851735045,0.864604294721,0.135395705279,1,0,1,0,0,1,0,0
0.00334,0.768851735045,0.864604294721,0.135395705279,1,0,1,0,0,1,0,0
0.00336,0.768851735045,0.864604294721,0.135395705279,1,0,1,0,0,1,0,0
