time_s,S50_voltage,L50_voltage,S60_voltage,L60_voltage
0.00645,-43.9939169856,-33.6166390016,-117.921305586,-104.499528787
0.0065,-45.3990499739,-34.9348223289,-118.319524448,-105.04109055
0.00655,-46.7929814261,-36.2443860115,-118.675704947,-105.545331713
0.0066,-48.1753674102,-37.5450069342,-118.989720532,-106.012073122
0.00665,-49.5458668432,-38.8363641883,-119.261459637,-106.441148946
0.0067,-50.904141575,-40.1181391506,-119.490825713,-106.832406737
0.00675,-52.2498564716,-41.3900155624,-119.677737267,-107.185707483
0.0068,-53.5826794979,-42.6516796071,-119.822127891,-107.500925657
0.00685,-54.9022817998,-43.9028199882,-119.923946284,-107.777949264
0.0069,-56.2083377852,-45.1431280053,-119.983156269,-108.016679879
0.00695,-57.5005252043,-46.3722976311,-119.999736811,-108.217032682
0.007,-58.7785252292,-47.5900255863,-119.973682017,-108.378936488
0.00705,-60.0420225326,-48.7960114148,-119.905001145,-108.502333775
0.0071,-61.2907053653,-49.9899575577,-119.793718598,-108.587180699
0.00715,-62.5242656336,-51.1715694265,-119.639873912,-108.633447114
0.0072,-63.7423989749,-52.3405554763,-119.443521749,-108.641116583
0.00725,-64.944804833,-53.4966272772,-119.204731872,-108.610186381
0.0073,-66.1311865324,-54.6394995859,-118.923589121,-108.540667497
0.00735,-67.301251351,-55.7688904155,-118.600193385,-108.43258463
0.0074,-68.4547105929,-56.884521106,-118.234659565,-108.285976182
0.00745,-69.5912796592,-57.9861163921,-117.827117533,-108.100894243
0.0075,-70.7106781187,-59.0734044716,-117.377712088,-107.87740457
0.00755,-71.8126297763,-60.1461170725,-116.8866029,-107.61558657
0.0076,-72.8968627421,-61.2039895189,-116.353964459,-107.315533264
0.00765,-73.9631094979,-62.2467607968,-115.779986009,-106.97735126
0.0077,-75.011106963,-63.2741736179,-115.164871481,-106.601160712
0.00775,-76.04059656,-64.2859744834,-114.508839422,-106.18709528
0.0078,-77.0513242776,-65.2819137467,-113.812122918,-105.735302078
0.00785,-78.0430407338,-66.2617456746,-113.074969508,-105.245941627
0.0079,-79.0155012376,-67.2252285082,-112.297641101,-104.719187794
0.00795,-79.9684658487,-68.1721245226,-111.480413876,-104.155227732
0.008,-80.9016994375,-69.1022000853,-110.623578191,-103.554261814
0.00805,-81.8149717425,-70.0152257142,-109.727438475,-102.91650356
0.0081,-82.7080574274,-70.9109761338,-108.792313123,-102.242179562
0.00815,-83.5807361368,-71.7892303311,-107.81853438,-101.531529404
0.0082,-84.4327925502,-72.6497716101,-106.806448225,-100.784805577
0.00825,-85.2640164354,-73.4923876449,-105.756414248,-100.002273389
0.0083,-86.0742027004,-74.3168705328,-104.66880552,-99.1842108697
0.00835,-86.8631514438,-75.1230168449,-103.544008464,-98.3309086723
0.0084,-87.6306680044,-75.9106276768,-102.382422715,-97.4426699712
0.00845,-88.3765630089,-76.6795086971,-101.184460979,-96.5198103534
0.0085,-89.1006524188,-77.429470196,-99.9505488852,-95.5626577066
0.00855,-89.8027575761,-78.1603271317,-98.6811248376,-94.5715521026
0.0086,-90.4827052466,-78.8718991763,-97.3766398562,-93.5468456764
0.00865,-91.1403276635,-79.5640107599,-96.0375574183,-92.4889025013
0.0087,-91.7754625684,-80.2364911144,-94.6643532935,-91.3980984597
0.00875,-92.3879532511,-80.8891743153,-93.2575153748,-90.2748211088
0.0088,-92.9776485888,-81.5218993229,-91.817543505,-89.1194695438
0.00885,-93.544403083,-82.1345100216,-90.3449492991,-87.9324542557
0.0089,-94.0880768954,-82.726855259,-88.8402559629,-86.7141969853
0.00895,-94.6085358827,-83.2987888827,-87.3039981068,-85.4651305736
0.009,-95.1056516295,-83.8501697767,-85.7367215559,-84.1856988079
0.00905,-95.5793014798,-84.380861896,-84.1389831561,-82.8763562643
0.0091,-96.0293685677,-84.8907343002,-82.5113505762,-81.537568146
0.00915,-96.4557418458,-85.3796611859,-80.8544021063,-80.1698101179
0.0092,-96.8583161129,-85.8475219179,-79.1687264524,-78.7735681381
0.00925,-97.2369920398,-86.2942010583,-77.4549225269,-77.3493382846
0.0093,-97.5916761939,-86.7195883959,-75.7135992362,-75.8976265795
0.00935,-97.9222810622,-87.1235789727,-73.9453752643,-74.4189488091
0.0094,-98.2287250729,-87.5060731101,-72.1508788526,-72.9138303405
0.00945,-98.5109326155,-87.8669764332,-70.3307475772,-71.3828059352
0.0095,-98.7688340595,-88.2061998947,-68.4856281221,-69.8264195588
0.00955,-99.0023657716,-88.5236597963,-66.6161760495,-68.245224188
0.0096,-99.2114701314,-88.8192778094,-64.7230555666,-66.6397816141
0.00965,-99.3960955455,-89.0929809947,-62.8069392904,-65.0106622431
0.0097,-99.5561964603,-89.3447018201,-60.8685080076,-63.3584448933
0.00975,-99.6917333733,-89.5743781773,-58.9084504338,-61.6837165897
0.0098,-99.8026728428,-89.7819533969,-56.9274629681,-59.9870723554
0.00985,-99.8889874962,-89.967376263,-54.9262494458,-58.2691149998
0.0099,-99.9506560366,-90.1306010252,-52.9055208886,-56.5304549052
0.00995,-99.9876632482,-90.2715874102,-50.8659952518,-54.7717098091
0.01,-100,-90.3903006318,-48.8083971691,-52.9935045854
0.01005,-99.9876632482,-90.4867113993,-46.7334576953,-51.1964710217
0.0101,-99.9506560366,-90.5607959247,-44.6419140464,-49.3812475957
0.01015,-99.8889874962,-90.6125359288,-42.5345093381,-47.5484792476
0.0102,-99.8026728428,-90.6419186455,-40.4119923212,-45.6988171512
0.01025,-99.6917333733,-90.6489368251,-38.2751171158,-43.8329184827
0.0103,-99.5561964603,-90.633588736,-36.1246429435,-41.9514461869
0.01035,-99.3960955455,-90.595878165,-33.9613338576,-40.0550687421
0.0104,-99.2114701314,-90.5358144167,-31.7859584715,-38.1444599221
0.01045,-99.0023657716,-90.4534123109,-29.5992896857,-36.2202985571
0.0105,-98.7688340595,-90.3486921791,-27.4021044133,-34.2832682925
0.01055,-98.5109326155,-90.2216798594,-25.1951833036,-32.3340573459
0.0106,-98.2287250729,-90.0724066902,-22.9793104652,-30.3733582627
0.01065,-97.9222810622,-89.9009095025,-20.7552731873,-28.4018676699
