time_s,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSFD_voltage,node_BUSFQ_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,node_UM1TLA_voltage,node_UM1TLB_voltage,node_UM1TLC_voltage,node_UM1MCC_voltage,output_fixed_1,output_fixed_2,output_fixed_3,output_fixed_4,output_fixed_5,branch_current_branch_fixed_5,branch_current_branch_fixed_7,branch_current_branch_fixed_8,torque_Nm,mechanical_speed_rad_s,mechanical_angle_rad,power_zero_axis_current_A,orthogonal_dummy_current_A,single_phase_stator_current_A,d_axis_rotor_current_A,q_axis_rotor_current_A
0.000302,20289.1746342,-0.113605518002,6492.96393111,-1919.21598895,184.725648031,92.3628240155,184.725657267,22723.8144348,-9.77665152006e-10,3.06848695174e-10,184.725648031,-0.113605518002,20289.1746342,6492.96393111,-1919.21598895,184.725648031,9.23628240155,0,9.23628059013,9.01319096122e-07,184.725648031,0.841185309103,0,-0.00569081763226,0.00623234958947,0.00649296393111,-0.00191921598895
0.000304,-20419.6057499,-0.114354586547,-6493.14040768,1940.92213529,184.725648031,92.3628240155,184.725657267,-22869.8633278,-9.77674969187e-10,3.0683820311e-10,184.725648031,-0.114354586547,-20419.6057499,-6493.14040768,1940.92213529,184.725648031,9.23628240155,0,9.23628059013,-6.20142339131e-07,184.725648031,0.841554760399,0,0.000780690093284,-0.0067824648224,-0.00649314040768,0.00194092213529
0.000306,20549.2654156,-0.115103590083,6493.30834957,-1963.98171026,184.725648031,92.3628240155,184.725657267,23015.1165321,-9.77658813592e-10,3.06819945933e-10,184.725648031,-0.115103590083,20549.2654156,6493.30834957,-1963.98171026,184.725648031,9.23628240155,0,9.23628059013,9.18968829371e-07,184.725648031,0.841924211695,0,-0.00580379614872,0.00621215070059,0.00649330834957,-0.00196398171026
0.000308,-20679.4928294,-0.115852528184,-6493.46816952,1985.82580151,184.725648031,92.3628240155,184.725657267,-23160.936685,-9.77668631001e-10,3.06809543399e-10,184.725648031,-0.115852528184,-20679.4928294,-6493.46816952,1985.82580151,184.725648031,9.23628240155,0,9.23628059013,-6.35934521914e-07,184.725648031,0.842293662991,0,0.00078638214298,-0.00678179859078,-0.00649346816952,0.00198582580151
0.00031,20808.9322248,-0.116601400424,6493.62026034,-2009.08513068,184.725648031,92.3628240155,184.725657267,23305.9437885,-9.77652474321e-10,3.06791196076e-10,184.725648031,-0.116601400424,20808.9322248,6493.62026034,-2009.08513068,184.725648031,9.23628240155,0,9.23628059013,9.37416711808e-07,184.725648031,0.842663114287,0,-0.0059196838156,0.00619129141487,0.00649362026034,-0.00200908513068
0.000312,-20938.9522582,-0.117350206377,-6493.76499581,2031.06226394,184.725648031,92.3628240155,184.725657267,-23451.5310701,-9.77662291893e-10,3.06780883741e-10,184.725648031,-0.117350206377,-20938.9522582,-6493.76499581,2031.06226394,184.725648031,9.23628240155,0,9.23628059013,-6.52593324059e-07,184.725648031,0.843032565583,0,0.00078961093562,-0.00678141551835,-0.00649376499581,0.00203106226394
0.000314,21068.1672192,-0.118098945617,6493.90273165,-2054.51995821,184.725648031,92.3628240155,184.725657267,23596.2874205,-9.7764613419e-10,3.06762445608e-10,184.725648031,-0.118098945617,21068.1672192,6493.90273165,-2054.51995821,184.725648031,9.23628240155,0,9.23628059013,9.56708782679e-07,184.725648031,0.843402016879,0,-0.00603861986225,0.00616974223904,0.00649390273165,-0.00205451995821
0.000316,-21197.9762007,-0.11884761772,-6494.03380636,2076.6251182,184.725648031,92.3628240155,184.725657267,-23741.6377069,-9.77655951869e-10,3.06752224131e-10,184.725648031,-0.11884761772,-21197.9762007,-6494.03380636,2076.6251182,184.725648031,9.23628240155,0,9.23628059013,-6.7016591647e-07,184.725648031,0.843771468175,0,0.000790218331058,-0.00678134521961,-0.00649403380636,0.0020766251182
0.000318,21326.9625385,-0.11959622226,6494.1585421,-2100.27991048,184.725648031,92.3628240155,184.725657267,23886.138625,-9.77639793196e-10,3.06733694535e-10,184.725648031,-0.11959622226,21326.9625385,6494.1585421,-2100.27991048,184.725648031,9.23628240155,0,9.23628059013,9.76894096857e-07,184.725648031,0.844140919471,0,-0.00616075326282,0.00614747168342,0.0064941585421,-0.00210027991048
0.00032,-21456.5568058,-0.12034475881,-6494.27724543,2122.50796089,184.725648031,92.3628240155,184.725657267,-24031.2478016,-9.7764961093e-10,3.06723564562e-10,184.725648031,-0.12034475881,-21456.5568058,-6494.27724543,2122.50796089,184.725648031,9.23628240155,0,9.23628059013,-6.88702618989e-07,184.725648031,0.844510370767,0,0.000788036097749,-0.00678161946323,-0.00649427724543,0.00212250796089
