time_s,SRCE A_v_pu,BUS  A_v_pu,SRCE B_v_pu,BUS  B_v_pu,SRCE C_v_pu,BUS  C_v_pu,BANK A_v_pu,BANK N_v_pu,BANK B_v_pu,BANK C_v_pu,output_fixed_1_pu,output_fixed_2_pu,output_fixed_3_pu,output_fixed_4_pu,output_fixed_5_pu,output_fixed_6_pu,output_fixed_7_pu,branch_voltage_branch_fixed_4_pu,branch_voltage_branch_fixed_5_pu,branch_voltage_branch_fixed_6_pu,switch_voltage_switch_fixed_1_pu,switch_voltage_switch_fixed_2_pu,switch_voltage_switch_fixed_3_pu
0.02345,-0.834078433613,-0.834078433613,0.894778554664,0.894778554664,-0.0607001210505,-0.0607001210505,-0.880907616931,-0.515099921102,0.850595117335,-1.5150387737,-0.880907616931,0.850595117335,-1.5150387737,-0.515099921102,-0.834078433613,0.894778554664,-0.0607001210505,-0.36580769583,1.36569503844,-0.999938852599,0.0468291833179,0.0441834373291,1.45433865265
0.0235,-0.844327925502,-0.844327925502,0.886203579231,0.886203579231,-0.0418756537292,-0.0418756537292,-0.880907616931,-0.515099921102,0.850595117335,-1.5150387737,-0.880907616931,0.850595117335,-1.5150387737,-0.515099921102,-0.844327925502,0.886203579231,-0.0418756537292,-0.36580769583,1.36569503844,-0.999938852599,0.036579691429,0.0356084618967,1.47316311997
0.02355,-0.854277431699,-0.854277431699,0.877313739887,0.877313739887,-0.0230363081877,-0.0230363081877,-0.880907616931,-0.515099921102,0.850595117335,-1.5150387737,-0.880907616931,0.850595117335,-1.5150387737,-0.515099921102,-0.854277431699,0.877313739887,-0.0230363081877,-0.36580769583,1.36569503844,-0.999938852599,0.0266301852317,0.0267186225524,1.49200246551
0.0236,-0.863923417193,-0.863923417193,0.868112195148,0.868112195148,-0.00418877795543,-0.00418877795543,-0.880907616931,-0.515099921102,0.850595117335,-1.5150387737,-0.880907616931,0.850595117335,-1.5150387737,-0.515099921102,-0.863923417193,0.868112195148,-0.00418877795543,-0.36580769583,1.36569503844,-0.999938852599,0.0169841997382,0.0175170778137,1.51084999574
0.02365,-0.87326245481,-0.87326245481,0.85860221428,0.85860221428,0.0146602405296,0.0146602405296,-0.880907616931,-0.515099921102,0.850595117335,-1.5150387737,-0.880907616931,0.850595117335,-1.5150387737,-0.515099921102,-0.87326245481,0.85860221428,0.0146602405296,-0.36580769583,1.36569503844,-0.999938852599,0.00764516212113,0.00800709694576,1.52969901423
0.0237,-0.882291226435,-0.882291226435,0.848787176134,0.848787176134,0.033504050301,0.033504050301,-0.880907616931,-0.515099921102,0.850595117335,-1.5150387737,-0.880907616931,0.850595117335,-1.5150387737,-0.515099921102,-0.882291226435,0.848787176134,0.033504050301,-0.36580769583,1.36569503844,-0.999938852599,-0.00138360950392,-0.00180794120063,1.548542824
0.02375,-0.891006524188,-0.891006524188,0.838670567945,0.838670567945,0.0523359562429,0.0523359562429,-0.880907616931,-0.515099921102,0.850595117335,-1.5150387737,-0.880907616931,0.850595117335,-1.5150387737,-0.515099921102,-0.891006524188,0.838670567945,0.0523359562429,-0.36580769583,1.36569503844,-0.999938852599,-0.0100989072573,-0.0119245493891,1.56737472994
0.0238,-0.899405251566,-0.899405251566,0.828255984098,0.828255984098,0.0711492674687,0.0711492674687,-0.880907616931,-0.515099921102,0.850595117335,-1.5150387737,-0.880907616931,0.850595117335,-1.5150387737,-0.515099921102,-0.899405251566,0.828255984098,0.0711492674687,-0.36580769583,1.36569503844,-0.999938852599,-0.0184976346353,-0.0223391332369,1.58618804117
0.02385,-0.907484424541,-0.907484424541,0.817547124843,0.817547124843,0.0899372996985,0.0899372996985,-0.880907616931,-0.515099921102,0.850595117335,-1.5150387737,-0.880907616931,0.850595117335,-1.5150387737,-0.515099921102,-0.907484424541,0.817547124843,0.0899372996985,-0.36580769583,1.36569503844,-0.999938852599,-0.0265768076101,-0.033047992492,1.6049760734
0.0239,-0.915241172621,-0.915241172621,0.806547794987,0.806547794987,0.108693377634,0.108693377634,-0.880907616931,-0.515099921102,0.850595117335,-1.5150387737,-0.880907616931,0.850595117335,-1.5150387737,-0.515099921102,-0.915241172621,0.806547794987,0.108693377634,-0.36580769583,1.36569503844,-0.999938852599,-0.0343335556899,-0.0440473223478,1.62373215133
0.02395,-0.92267273987,-0.92267273987,0.79526190254,0.79526190254,0.12741083733,0.12741083733,-0.880907616931,-0.515099921102,0.850595117335,-1.5150387737,-0.880907616931,0.850595117335,-1.5150387737,-0.515099921102,-0.92267273987,0.79526190254,0.12741083733,-0.36580769583,1.36569503844,-0.999938852599,-0.0417651229391,-0.0553332147946,1.64244961103
0.024,-0.929776485888,-0.929776485888,0.783693457326,0.783693457326,0.146083028562,0.146083028562,-0.880907616931,-0.515099921102,0.850595117335,-1.5150387737,-0.880907616931,0.850595117335,-1.5150387737,-0.515099921102,-0.929776485888,0.783693457326,0.146083028562,-0.36580769583,1.36569503844,-0.999938852599,-0.0488688689572,-0.0669016600087,1.66112180226
0.02405,-0.936549886748,-0.936549886748,0.771846569558,0.771846569558,0.16470331719,0.16470331719,-0.880907616931,-0.515099921102,0.850595117335,-1.5150387737,-0.880907616931,0.850595117335,-1.5150387737,-0.515099921102,-0.936549886748,0.771846569558,0.16470331719,-0.36580769583,1.36569503844,-0.999938852599,-0.0556422698172,-0.0787485477765,1.67974209089
0.0241,-0.942990535893,-0.942990535893,0.759725448379,0.759725448379,0.183265087514,0.183265087514,-0.880907616931,-0.515099921102,0.850595117335,-1.5150387737,-0.880907616931,0.850595117335,-1.5150387737,-0.515099921102,-0.942990535893,0.759725448379,0.183265087514,-0.36580769583,1.36569503844,-0.999938852599,-0.0620829189618,-0.0908696689552,1.69830386121
