time_s,SRCE A_v_pu,BUS  A_v_pu,SRCE B_v_pu,BUS  B_v_pu,SRCE C_v_pu,BUS  C_v_pu,STP1 A_v_pu,CAP1 A_v_pu,STP1 B_v_pu,CAP1 B_v_pu,STP1 C_v_pu,CAP1 C_v_pu,STP2 A_v_pu,CAP2 A_v_pu,STP2 B_v_pu,CAP2 B_v_pu,STP2 C_v_pu,CAP2 C_v_pu,CAP1 S_v_pu,CAP2 8_v_pu,output_fixed_1_pu,output_fixed_2_pu,output_fixed_3_pu,output_fixed_4_pu,output_fixed_5_pu,output_fixed_6_pu,output_fixed_7_pu,output_fixed_8_pu,output_fixed_9_pu,switch_voltage_switch_fixed_1_pu,switch_voltage_switch_fixed_2_pu,switch_voltage_switch_fixed_3_pu,switch_voltage_switch_fixed_4_pu,switch_voltage_switch_fixed_5_pu,switch_voltage_switch_fixed_6_pu,switch_current_switch_fixed_1_pu,switch_current_switch_fixed_2_pu,switch_current_switch_fixed_3_pu,switch_current_switch_fixed_4_pu,switch_current_switch_fixed_5_pu,switch_current_switch_fixed_6_pu
0.00088,-0.754801175987,-0.918796564435,0.945473108493,1.34383013502,-0.190671932506,-0.425033570587,-0.918796564052,-0.946305792025,1.34383013492,1.38433402386,-0.425033570869,-0.438028231832,0,0,0,0,0,0,-0.438028231832,0,-0.918796564435,1.34383013502,-0.425033570587,-0.946305792025,1.38433402386,-0.438028231832,0,0,0,-3.83752141175e-10,1.02601926955e-10,2.81150214221e-10,-0.918796564435,1.34383013502,-0.425033570587,-0.383752141175,0.102601926955,0.281150214221,-0,0,-0
0.0009,-0.759725448379,-0.968679165725,0.942990535893,1.33093849719,-0.183265087514,-0.362259331465,-0.968679165366,-1.0002085352,1.33093849712,1.36826452083,-0.362259331753,-0.368055985625,0,0,0,0,0,0,-0.368055985625,0,-0.968679165725,1.33093849719,-0.362259331465,-1.0002085352,1.36826452083,-0.368055985625,0,0,0,-3.59714147358e-10,7.17550463492e-11,2.87958934475e-10,-0.968679165725,1.33093849719,-0.362259331465,-0.359714147358,0.0717550463492,0.287958934475,-0,0,-0
0.00092,-0.764606531404,-1.01528506555,0.940454355552,1.30950244865,-0.175847824148,-0.2942173831,-1.01528506522,-1.0504067374,1.30950244861,1.34309190343,-0.294217383388,-0.292685166021,0,0,0,0,0,0,-0.292685166021,0,-1.01528506555,1.30950244865,-0.2942173831,-1.0504067374,1.34309190343,-0.292685166021,0,0,0,-3.32672334125e-10,4.37394565012e-11,2.88932933135e-10,-1.01528506555,1.30950244865,-0.2942173831,-0.332672334125,0.0437394565012,0.288932933135,-0,0,-0
0.00094,-0.769444147578,-1.05823398151,0.937864711649,1.28105834224,-0.168420564071,-0.222824360736,-1.0582339812,-1.09649074692,1.28105834222,1.31053766335,-0.22282436102,-0.214046916437,0,0,0,0,0,0,-0.214046916437,0,-1.05823398151,1.28105834224,-0.222824360736,-1.09649074692,1.31053766335,-0.214046916437,0,0,0,-3.02984082268e-10,1.89086524216e-11,2.8407515229e-10,-1.05823398151,1.28105834224,-0.222824360736,-0.302984082268,0.0189086524216,0.28407515229,-0,0,-0
0.00096,-0.774238021889,-1.09719332806,0.935221751401,1.24721720437,-0.160983729511,-0.15002387631,-1.09719332779,-1.13810422502,1.24721720437,1.27239222338,-0.150023876584,-0.134287998364,0,0,0,0,0,0,-0.134287998364,0,-1.09719332806,1.24721720437,-0.15002387631,-1.13810422502,1.27239222338,-0.134287998364,0,0,0,-2.71026756593e-10,-2.52797782707e-12,2.73554789931e-10,-1.09719332806,1.24721720437,-0.15002387631,-0.271026756593,-0.00252797782707,0.273554789931,-0,0,-0
0.00098,-0.778987881813,-1.13188075423,0.932525625057,1.20960576987,-0.153537743244,-0.0777250156336,-1.131880754,-1.17494681565,1.20960576989,1.23045048037,-0.0777250158913,-0.0555036647203,0,0,0,0,0,0,-0.0555036647203,0,-1.13188075423,1.20960576987,-0.0777250156336,-1.17494681565,1.23045048037,-0.0555036647203,0,0,0,-2.37195152408e-10,-2.05000461051e-11,2.57695378925e-10,-1.13188075423,1.20960576987,-0.0777250156336,-0.237195152408,-0.0205000461051,0.257695378925,-0,0,-0
0.001,-0.783693457326,-1.16206607957,0.929776485888,1.1698114932,-0.146083028563,-0.00774541363771,-1.16206607936,-1.20677614813,1.16981149324,1.18645211049,-0.00774541387467,0.0203240376381,0,0,0,0,0,0,0.0203240376381,0,-1.16206607957,1.1698114932,-0.00774541363771,-1.20677614813,1.18645211049,0.0203240376381,0,0,0,-2.01894501117e-10,-3.50639517421e-11,2.36958654087e-10,-1.16206607957,1.1698114932,-0.00774541363771,-0.201894501117,-0.0350639517421,0.236958654087,-0,0,-0
0.00102,-0.788354480922,-1.18757262096,0.92697449018,1.12933304112,-0.138620009258,0.0582395798422,-1.1875726208,-1.23340916611,1.12933304117,1.14202823965,0.0582395796303,0.0913809264634,0,0,0,0,0,0,0.0913809264634,0,-1.18757262096,1.12933304112,0.0582395798422,-1.23340916611,1.14202823965,0.0913809264634,0,0,0,-1.65537361596e-10,-4.63880045487e-11,2.11925296756e-10,-1.18757262096,1.12933304112,0.0582395798422,-0.165537361596,-0.0463880045487,0.211925296756,-0,0,0
0.00104,-0.792970687628,-1.20827790958,0.924119797221,1.08953749016,-0.131149109593,0.118740419419,-1.20827790945,-1.25472278348,1.08953749021,1.09865576528,0.118740419236,0.1560670182,0,0,0,0,0,0,0.1560670182,0,-1.20827790958,1.08953749016,0.118740419419,-1.25472278348,1.09865576528,0.1560670182,0,0,0,-1.28538069077e-10,-5.47346612478e-11,1.8327295237e-10,-1.20827790958,1.08953749016,0.118740419419,-0.128538069077,-0.0547346612478,0.18327295237,-0,0,0
0.00106,-0.79754181502,-1.22411380362,0.921212569297,1.05162515081,-0.123670754278,0.172488652812,-1.22411380353,-1.27065387511,1.05162515087,1.05762027881,0.17248865266,0.213033596303,0,0,0,0,0,0,0.213033596303,0,-1.22411380362,1.05162515081,0.172488652812,-1.27065387511,1.05762027881,0.213033596303,0,0,0,-9.13089603927e-11,-6.04434280405e-11,1.51752638233e-10,-1.22411380362,1.05162515081,0.172488652812,-0.0913089603927,-0.0604434280405,0.151752638233,-0,0,0
