time_s,receiving_voltage_phase_1_v,sending_current_phase_1_a,receiving_current_phase_1_a,receiving_voltage_phase_2_v,sending_current_phase_2_a,receiving_current_phase_2_a,receiving_voltage_phase_3_v,sending_current_phase_3_a,receiving_current_phase_3_a
0.00049,98268.2394509,1965.70531911,-1965.36478902,-33442.4940933,-668.158379539,668.849881867,-64874.4885247,-1298.58492599,1297.48977049
0.0005,98199.2743564,1964.32275173,-1963.98548713,-33087.1022212,-661.047116008,661.742044424,-65160.984604,-1304.31509164,1303.21969208
0.00051,98128.9136329,1962.91226698,-1962.57827266,-32731.2401081,-653.926457535,654.624802163,-65446.5546013,-1310.02672009,1308.93109203
0.00052,98057.1582804,1961.47388491,-1961.14316561,-32374.9128117,-646.796505318,647.498256234,-65731.1944583,-1315.71973016,1314.62388917
0.00053,97984.0093185,1960.00762594,-1959.68018637,-32018.1253961,-639.657360692,640.362507921,-66014.9001295,-1321.39404094,1320.29800259
0.00054,97909.467787,1958.51351093,-1958.18935574,-31660.882932,-632.509125119,633.21765864,-66297.6675829,-1327.04957178,1325.95335166
0.00055,97833.5347453,1956.99156111,-1956.67069491,-31303.1904967,-625.351900191,626.063809935,-66579.4927996,-1332.68624231,1331.58985599
0.00056,97756.2112724,1955.4417981,-1955.12422545,-30945.0531738,-618.185787629,618.901063476,-66860.3717744,-1338.30397242,1337.20743549
0.00057,97677.4984675,1953.86424394,-1953.54996935,-30586.4760532,-611.010889278,611.729521064,-67140.3005153,-1343.90268227,1342.80601031
0.00058,97597.397449,1952.25892104,-1951.94794898,-30227.4642311,-603.82730711,604.549284621,-67419.2750439,-1349.48229229,1348.38550088
0.00059,97515.9093555,1950.62585222,-1950.31818711,-29868.0228097,-596.635143219,597.360456195,-67697.2913954,-1355.04272318,1353.94582791
0.0006,97433.0353451,1948.96506069,-1948.6607069,-29508.1568977,-589.434499822,590.163137954,-67974.3456185,-1360.58389591,1359.48691237
0.00061,97348.7765956,1947.27657006,-1946.97553191,-29147.8716094,-582.225479256,582.957432189,-68250.4337758,-1366.10573173,1365.00867552
0.00062,97263.1343044,1945.56040431,-1945.26268609,-28787.1720654,-575.008183978,575.743441308,-68525.5519432,-1371.60815216,1370.51103886
0.00063,97176.1096889,1943.81658784,-1943.52219378,-28426.0633919,-567.78271656,568.521267839,-68799.6962109,-1377.09107901,1375.99392422
0.00064,97087.7039857,1942.04514544,-1941.75407971,-28064.5507212,-560.549179693,561.291014424,-69072.8626827,-1382.55443435,1381.45725365
0.00065,96997.9184514,1940.24610227,-1939.95836903,-27702.639191,-553.307676182,554.052783821,-69345.0474761,-1387.99814052,1386.90094952
0.00066,96906.7543619,1938.41948392,-1938.13508724,-27340.3339451,-546.058308943,546.806678902,-69616.246723,-1393.42212017,1392.32493446
