time_s,receiving_voltage_phase_1_minimum_v,receiving_voltage_phase_1_maximum_v,sending_current_phase_1_minimum_a,sending_current_phase_1_maximum_a,receiving_current_phase_1_minimum_a,receiving_current_phase_1_maximum_a,receiving_voltage_phase_2_minimum_v,receiving_voltage_phase_2_maximum_v,sending_current_phase_2_minimum_a,sending_current_phase_2_maximum_a,receiving_current_phase_2_minimum_a,receiving_current_phase_2_maximum_a,receiving_voltage_phase_3_minimum_v,receiving_voltage_phase_3_maximum_v,sending_current_phase_3_minimum_a,sending_current_phase_3_maximum_a,receiving_current_phase_3_minimum_a,receiving_current_phase_3_maximum_a,terminal_power_minimum_w,terminal_power_maximum_w,cumulative_supplied_energy_minimum_j,cumulative_supplied_energy_maximum_j,maximum_kcl_residual_a
0.0006,97433.0353451,97433.0359602,1948.96506069,1948.96613949,-1948.6607192,-1948.6607069,-29508.1568977,-29508.1562653,-589.434809006,-589.434499822,590.163125305,590.163137954,-67974.3456185,-67974.3449565,-1360.58462761,-1360.58389591,1359.48689913,1359.48691237,237347.701492,237511.906612,150.687295325,150.785818943,3.41060513165e-12
0.00061,97348.7765956,97348.7772039,1947.27657006,1947.27764779,-1946.97554408,-1946.97553191,-29147.8716094,-29147.870984,-582.225784635,-582.225479256,582.95741968,582.957432189,-68250.4337758,-68250.4331206,-1366.10646659,-1366.10573173,1365.00866241,1365.00867552,236823.386043,236987.591138,153.058150762,153.158316432,3.41060513165e-12
0.00062,97263.1343044,97263.134906,1945.56040431,1945.56148096,-1945.26269812,-1945.26268609,-28787.1720654,-28787.171447,-575.008485546,-575.008183978,575.743428939,575.743441308,-68525.5519432,-68525.551295,-1371.60889017,-1371.60815216,1370.5110259,1370.51103886,236296.364645,236460.569713,155.423749516,155.525557236,3.41060513165e-12
0.00063,97176.1096889,97176.1102837,1943.81658784,1943.8176634,-1943.52220567,-1943.52219378,-28426.0633919,-28426.0627805,-567.783014314,-567.78271656,568.52125561,568.521267839,-68799.6962109,-68799.6955697,-1377.09182015,-1377.09107901,1375.99391139,1375.99392422,235766.667256,235930.872299,157.784064675,157.887514446,3.41060513165e-12
0.00064,97087.7039857,97087.7045737,1942.04514544,1942.04621989,-1941.75409147,-1941.75407971,-28064.5507212,-28064.5501168,-560.549473629,-560.549179693,561.291002335,561.291014424,-69072.8626827,-69072.8620483,-1382.55517861,-1382.55443435,1381.45724097,1381.45725365,235234.32399,235398.529008,160.139069631,160.244161453,3.41060513165e-12
0.00065,96997.9184514,96997.9190325,1940.24610227,1940.2471756,-1939.95838065,-1939.95836903,-27702.639191,-27702.6385936,-553.307966295,-553.307676182,554.052771873,554.052783821,-69345.0474761,-69345.0468488,-1387.9988879,-1387.99814052,1386.90093698,1386.90094952,234699.36511,234863.570103,162.488738077,162.595471948,3.41060513165e-12
0.00066,96906.7543619,96906.7549363,1938.41948392,1938.42055611,-1938.13509873,-1938.13508724,-27340.3339451,-27340.3333547,-546.05859523,-546.058308943,546.806667094,546.806678902,-69616.246723,-69616.2461026,-1393.42287066,-1393.42212017,1392.32492205,1392.32493446,234161.821028,234326.025996,164.833044008,164.941419929,3.41060513165e-12
0.00067,96814.2130129,96814.2135805,1936.56531633,1936.56638737,-1936.28427161,-1936.28426026,-26977.6401325,-26977.6395491,-538.801463464,-538.801181008,539.552790983,539.552802649,-69886.4565688,-69886.4559554,-1398.82704979,-1398.82629621,1397.72911911,1397.72913138,233621.722302,233785.927245,167.171961724,167.281979695,3.41060513165e-12
0.00068,96720.2957197,96720.2962804,1934.68362587,1934.68469573,-1934.40592561,-1934.40591439,-26614.5629079,-26614.5623316,-531.536674136,-531.536395515,532.291246632,532.291258157,-70155.6731735,-70155.672567,-1404.21134849,-1404.21059183,1403.11345134,1403.11346347,233079.099635,233243.304554,169.505465834,169.617125854,3.41060513165e-12
0.00069,96625.003817,96625.0043709,1932.77443926,1932.77550794,-1932.50008742,-1932.50007634,-26251.1074314,-26251.1068622,-524.264330496,-524.264055713,525.022137244,525.022148628,-70423.8927107,-70423.8921113,-1409.57569024,-1409.57493051,1408.47784223,1408.47785421,232533.983877,232698.188771,171.833531252,171.946833321,3.41060513165e-12
0.0007,96528.3386591,96528.3392061,1930.83778366,1930.83885113,-1930.56678412,-1930.56677318,-25887.2788686,-25887.2783064,-516.984535899,-516.984264959,517.745566129,517.745577372,-70691.1113685,-70691.1107761,-1414.9199988,-1414.91923601,1413.82221552,1413.82222737,231986.406015,232150.610886,174.156133201,174.271077319,3.41060513165e-12
