time_s,maximum_receiving_voltage_difference_v,maximum_terminal_current_difference_a,maximum_terminal_power_difference_w,maximum_cumulative_energy_difference_j,coarse_maximum_kcl_residual_a,refined_maximum_kcl_residual_a
0.00036,0.0001800702521,3.60140450084e-06,0.0797524601221,5.48453216709e-05,3.41060513165e-12,2.50111042988e-12
0.00037,0.000180387272849,3.60774504315e-06,0.0793572664261,5.61672228656e-05,3.41060513165e-12,2.50111042988e-12
0.00038,0.000180701783393,3.6140352222e-06,0.0789582878351,5.74770178048e-05,3.41060513165e-12,2.50111042988e-12
0.00039,0.000181013681868,3.62027356005e-06,0.0785569399595,5.877461588e-05,3.41060513165e-12,2.50111042988e-12
0.0004,0.000181323048309,3.62646142094e-06,0.0781525075436,6.00599269376e-05,3.41060513165e-12,2.50111042988e-12
0.00041,0.00018162982451,3.63259573533e-06,0.0777448862791,6.13328670056e-05,3.41060513165e-12,2.50111042988e-12
0.00042,0.000181933981366,3.63868014119e-06,0.0773345082998,6.25933457599e-05,3.41060513165e-12,2.50111042988e-12
0.00043,0.000182235606189,3.64471134162e-06,0.0769211053848,6.38412774379e-05,3.41060513165e-12,2.50111042988e-12
0.00044,0.000182534604392,3.65069229247e-06,0.0765048116446,6.50765781103e-05,3.41060513165e-12,2.50111042988e-12
0.00045,0.000182831026905,3.65661924207e-06,0.0760857313871,6.6299161503e-05,3.41060513165e-12,2.50111042988e-12
0.00046,0.000183124844625,3.66249685158e-06,0.0756633728743,6.75089449089e-05,3.41060513165e-12,2.50111042988e-12
0.00047,0.000183416072105,3.66832136933e-06,0.0752387344837,6.87058444413e-05,3.41060513165e-12,2.50111042988e-12
0.00048,0.000183704672963,3.67409325008e-06,0.0748109966516,6.98897756024e-05,3.41060513165e-12,2.50111042988e-12
0.00049,0.000183990654477,3.6798127212e-06,0.074380889535,7.10606569214e-05,3.41060513165e-12,2.50111042988e-12
0.0005,0.00018427404575,3.68548001006e-06,0.0739478766918,7.22184050659e-05,3.41060513165e-12,2.50111042988e-12
0.00051,0.000184554781299,3.69109591247e-06,0.0735117793083,7.33629409808e-05,3.41060513165e-12,2.50111042988e-12
0.00052,0.000184832919331,3.6966589505e-06,0.0730733275414,7.44941871176e-05,3.41060513165e-12,2.50111042988e-12
0.00053,0.000185108448932,3.70216969259e-06,0.0726320892572,7.5612061039e-05,3.41060513165e-12,2.50111042988e-12
0.00054,0.000185381333722,3.70762700186e-06,0.0721879452467,7.67164857223e-05,3.41060513165e-12,2.50111042988e-12
0.00055,0.00018565161372,3.71303224256e-06,0.0717417597771,7.78073840877e-05,3.41060513165e-12,2.50111042988e-12
0.00056,0.000185919227079,3.71838427782e-06,0.0712924599648,7.88846783735e-05,3.41060513165e-12,2.50111042988e-12
0.00057,0.000186184188351,3.72368333501e-06,0.0708408206701,7.99482946832e-05,3.41060513165e-12,2.50111042988e-12
0.00058,0.000186446490261,3.72892998257e-06,0.0703866481781,8.09981545729e-05,3.41060513165e-12,2.50111042988e-12
0.00059,0.000186706169188,3.73412331101e-06,0.0699297934771,8.20341861925e-05,3.41060513165e-12,2.50111042988e-12
0.0006,0.000186963170563,3.73926377506e-06,0.0694707632065,8.30563150487e-05,3.41060513165e-12,2.50111042988e-12
0.00061,0.000187217563507,3.74435103367e-06,0.069008871913,8.40644675577e-05,3.41060513165e-12,2.50111042988e-12
0.00062,0.000187469253433,3.74938497316e-06,0.0685447901487,8.50585720684e-05,3.41060513165e-12,2.50111042988e-12
0.00063,0.000187718262168,3.75436479771e-06,0.0680781006813,8.60385572139e-05,3.41060513165e-12,2.50111042988e-12
0.00064,0.000187964618817,3.75929209895e-06,0.0676090866327,8.70043534746e-05,3.41060513165e-12,2.50111042988e-12
0.00065,0.000188208337931,3.76416676318e-06,0.0671376138926,8.79558910185e-05,3.41060513165e-12,2.50111042988e-12
