time_s,SOURCE_v_pu,CAP_v_pu,output_fixed_1_pu,branch_current_branch_fixed_1_pu
0.00263,1,1.43178059268,1.43178059268,-0.0161408234544
0.00264,1,1.39872071544,1.39872071544,-0.0169190537906
0.00265,1,1.36417433409,1.36417433409,-0.0176273275566
0.00266,1,1.32828396694,1.32828396694,-0.0182630395981
0.00267,1,1.29119704486,1.29119704486,-0.0188238824774
0.00268,1,1.25306530764,1.25306530764,-0.0193078547402
0.00269,1,1.21404418497,1.21404418497,-0.0197132679358
0.0027,1,1.17429216467,1.17429216467,-0.0200387523661
0.00271,1,1.13397015076,1.13397015076,-0.0202832615453
0.00272,1,1.09324081385,1.09324081385,-0.0204460753554
0.00273,1,1.05226793661,1.05226793661,-0.0205268018896
0.00274,1,1.01121575674,1.01121575674,-0.0205253779814
0.00275,1,0.970248310338,0.970248310338,-0.0204420684189
0.00276,1,0.929528778064,0.929528778064,-0.0202774638549
0.00277,1,0.889218836788,0.889218836788,-0.0200324774216
0.00278,1,0.849478019295,0.849478019295,-0.0197083400711
0.00279,1,0.810463084562,0.810463084562,-0.0193065946617
0.0028,1,0.772327401083,0.772327401083,-0.0188290888182
0.00281,1,0.735220345665,0.735220345665,-0.0182779665996
0.00282,1,0.699286720055,0.699286720055,-0.0176556590099
0.00283,1,0.664666187652,0.664666187652,-0.0169648733938
0.00284,1,0.631492732494,0.631492732494,-0.016208581764
0.00285,1,0.599894142621,0.599894142621,-0.0153900081086
0.00286,1,0.569991519779,0.569991519779,-0.0145126147341
0.00287,1,0.541898817345,0.541898817345,-0.0135800876994
0.00288,1,0.515722408241,0.515722408241,-0.0125963214045
0.00289,1,0.491560684441,0.491560684441,-0.0115654023957
0.0029,1,0.46950368959,0.46950368959,-0.0104915924552
0.00291,1,0.44963278609,0.44963278609,-0.00937931104534
0.00292,1,0.432020357865,0.432020357865,-0.00823311717903
0.00293,1,0.416729549896,0.416729549896,-0.00705769079031
0.00294,1,0.403814045424,0.403814045424,-0.00585781368151
0.00295,1,0.393317881619,0.393317881619,-0.00463835012396
0.00296,1,0.385275304304,0.385275304304,-0.00340422719089
0.00297,1,0.379710662211,0.379710662211,-0.00216041490179
0.00298,1,0.376638341051,0.376638341051,-0.000911906258066
0.00299,1,0.376062737543,0.376062737543,0.000336302750046
0.003,1,0.377978273379,0.377978273379,0.00157923308541
0.00301,1,0.38236944894,0.38236944894,0.00281194247542
0.00302,1,0.389210936429,0.389210936429,0.00402954501418
0.00303,1,0.398467711921,0.398467711921,0.0052272304781
0.00304,1,0.410095225678,0.410095225678,0.0064002832785
0.00305,1,0.424039609933,0.424039609933,0.00754410097694
0.00306,1,0.440237923201,0.440237923201,0.0086542122907
0.00307,1,0.45861843001,0.45861843001,0.00972629451817
0.00308,1,0.479100914845,0.479100914845,0.0107561903165
0.00309,1,0.501597028928,0.501597028928,0.0117399237668
0.0031,1,0.526010668359,0.526010668359,0.0126737156642
0.00311,1,0.552238381999,0.552238381999,0.0135539979758
0.00312,1,0.580169807385,0.580169807385,0.0143774274097
0.00313,1,0.609688132839,0.609688132839,0.0151408980451
0.00314,1,0.64067058386,0.64067058386,0.0158415529751
0.00315,1,0.672988931755,0.672988931755,0.0164767949197
0.00316,1,0.706510022443,0.706510022443,0.017044295769
0.00317,1,0.741096323235,0.741096323235,0.0175420050231
0.00318,1,0.776606485356,0.776606485356,0.0179681570972
0.00319,1,0.81289591992,0.81289591992,0.0183212774669
0.0032,1,0.84981738502,0.84981738502,0.0186001876335
0.00321,1,0.887221581546,0.887221581546,0.0188040088918
0.00322,1,0.924957755328,0.924957755328,0.0189321648906
0.00323,1,0.962874303197,0.962874303197,0.0189843829782
0.00324,1,1.00081938051,1.00081938051,0.0189606943328
0.00325,1,1.03864150772,1.03864150772,0.0188614328792
0.00326,1,1.0761901736,1.0761901736,0.0186872330023
0.00327,1,1.11331643267,1.11331643267,0.0184390260678
0.00328,1,1.14987349451,1.14987349451,0.0181180357701
0.00329,1,1.18571730261,1.18571730261,0.017725772328
0.0033,1,1.22070710049,1.22070710049,0.0172640255555
0.00331,1,1.25470598289,1.25470598289,0.0167348568392
0.00332,1,1.28758142978,1.28758142978,0.0161405900574
0.00333,1,1.31920582132,1.31920582132,0.0154838014809
0.00334,1,1.3494569315,1.3494569315,0.0147673086977
0.00335,1,1.37821839881,1.37821839881,0.0139941586115
0.00336,1,1.40538017198,1.40538017198,0.0131676145611
0.00337,1,1.43083892916,1.43083892916,0.012291142619
0.00338,1,1.4544984689,1.4544984689,0.0113683971226
0.00339,1,1.47627007153,1.47627007153,0.0104032055013
0.0034,1,1.49607282949,1.49607282949,0.00939955245968
0.00341,1,1.51383394553,1.51383394553,0.00836156358408
0.00342,1,1.52948899755,1.52948899755,0.00729348843824
0.00343,1,1.54298216921,1.54298216921,0.00619968321777
0.00344,1,1.55426644546,1.55426644546,0.00508459303392
0.00345,1,1.56330377239,1.56330377239,0.00395273389845
0.00346,1,1.57006518077,1.57006518077,0.00280867448249
0.00347,1,1.57453087298,1.57453087298,0.00165701772279
0.00348,1,1.57669027305,1.57669027305,0.000502382349305
0.00349,1,1.57654203981,1.57654203981,-0.000650615591977
0.0035,1,1.57409404307,1.57409404307,-0.00179738114721
0.00351,1,1.5693633032,1.5693633032,-0.00293335872068
0.00352,1,1.56237589436,1.56237589436,-0.00405405012611
0.00353,1,1.55316681188,1.55316681188,-0.00515503235204
0.00354,1,1.54177980455,1.54177980455,-0.00623197497119
0.00355,1,1.52826717246,1.52826717246,-0.00728065712559
0.00356,1,1.51268953131,1.51268953131,-0.00829698402095
0.00357,1,1.49511554442,1.49511554442,-0.00927700286601
0.00358,1,1.47562162336,1.47562162336,-0.0102169181952
0.00359,1,1.45429159865,1.45429159865,-0.0111131065152
0.0036,1,1.43121636192,1.43121636192,-0.0119621302189
0.00361,1,1.40649348098,1.40649348098,-0.0127607507148
0.00362,1,1.38022678955,1.38022678955,-0.0135059407195
0.00363,1,1.35252595316,1.35252595316,-0.0141948956698
0.00364,1,1.32350601328,1.32350601328,-0.0148250442093
0.00365,1,1.29328691136,1.29328691136,-0.0153940577119
0.00366,1,1.26199299484,1.26199299484,-0.0158998588067
0.00367,1,1.22975250716,1.22975250716,-0.0163406288736
0.00368,1,1.19669706381,1.19669706381,-0.0167148144831
0.00369,1,1.16296111656,1.16296111656,-0.0170211327573
0.0037,1,1.12868140817,1.12868140817,-0.0172585756351
0.00371,1,1.09399641951,1.09399641951,-0.0174264130272
0.00372,1,1.05904581163,1.05904581163,-0.0175241948522
0.00373,1,1.02396986483,1.02396986483,-0.0175517519492
0.00374,1,0.988908917014,0.988908917014,-0.0175091958664
0.00375,1,0.954002803616,0.954002803616,-0.0173969175312
0.00376,1,0.919390301276,0.919390301276,-0.0172155848086
0.00377,1,0.885208577504,0.885208577504,-0.0169661389639
0.00378,1,0.851592648495,0.851592648495,-0.0166497900446
0.00379,1,0.818674847246,0.818674847246,-0.0162680112048
0.0038,1,0.786584304043,0.786584304043,-0.0158225319982
0.00381,1,0.755446441376,0.755446441376,-0.015315330669
0.00382,1,0.725382485232,0.725382485232,-0.0147486254745
0.00383,1,0.696508994679,0.696508994679,-0.0141248650785
0.00384,1,0.668937411546,0.668937411546,-0.0134467180546
0.00385,1,0.642773631946,0.642773631946,-0.0127170615462
0.00386,1,0.61811760127,0.61811760127,-0.0119389691293
0.00387,1,0.59506293421,0.59506293421,-0.0111156979307
0.00388,1,0.573696561225,0.573696561225,-0.0102506750538
0.00389,1,0.554098402802,0.554098402802,-0.00934748336956
0.0039,1,0.536341072702,0.536341072702,-0.00840984673044
0.00391,1,0.520489611303,0.520489611303,-0.00744161466883
0.00392,1,0.506601249992,0.506601249992,-0.00644674664206
0.00393,1,0.494725207461,0.494725207461,-0.00542929588866
0.00394,1,0.484902518611,0.484902518611,-0.0043933929614
0.00395,1,0.477165896646,0.477165896646,-0.00334322900366
0.00396,1,0.471539628805,0.471539628805,-0.00228303883703
0.00397,1,0.468039506041,0.468039506041,-0.00121708392777
0.00398,1,0.466672786812,0.466672786812,-0.000149635300855
0.00399,1,0.467438195041,0.467438195041,0.00091504353034
0.004,1,0.470325952122,0.470325952122,0.00197271355046
0.00401,1,0.47531784275,0.47531784275,0.00301917707731
0.00402,1,0.482387314206,0.482387314206,0.00405029437904
0.00403,1,0.491499608593,0.491499608593,0.00506200000758
0.00404,1,0.502611927385,0.502611927385,0.00605031878436
0.00405,1,0.515673627545,0.515673627545,0.00701138137531
0.00406,1,0.530626448314,0.530626448314,0.00794143939453
0.00407,1,0.547404767687,0.547404767687,0.00883687997777
0.00408,1,0.565935887434,0.565935887434,0.00969423976922
