time_s,T5-PH_v_pu,T5-GW_v_pu,T1GRND_v_pu,T2GRND_v_pu,T3GRND_v_pu,T4GRND_v_pu,T5GRND_v_pu,T1-GW_v_pu,T2-GW_v_pu,T2GRNO_v_pu,T3-GW_v_pu,T3GRNO_v_pu,T4-GW_v_pu,T4GRNO_v_pu,T1-PH_v_pu,T2-PH_v_pu,T3-PH_v_pu,T4-PH_v_pu,output_fixed_1_pu,output_fixed_2_pu,output_fixed_3_pu,output_fixed_4_pu,output_fixed_5_pu,output_fixed_6_pu,output_fixed_7_pu,output_fixed_8_pu,output_fixed_9_pu,output_fixed_10_pu,switch_voltage_switch_fixed_1_pu
3.5598e-06,0,0,-38.4370786999,0,0,0,0,-34.3832255088,-34.4061342913,-32.4600852409,-40.0654101832,-39.97876329,-9.6013562804,-8.40763073737,-10.1694884316,-10.1762641367,-11.8501018835,-2.83978248625,-34.3832255088,-10.1694884316,-34.4061342913,-10.1762641367,-40.0654101832,-11.8501018835,-9.6013562804,-2.83978248625,0,0,-24.2137370772
3.57e-06,0,0,-38.3314639959,0,0,0,0,-34.474061567,-34.390093687,-32.7303879977,-39.9236182893,-39.6671615218,-10.0906140821,-9.07253501376,-10.1963549116,-10.171519825,-11.8081642525,-2.98448972301,-34.474061567,-10.1963549116,-34.390093687,-10.171519825,-39.9236182893,-11.8081642525,-10.0906140821,-2.98448972301,0,0,-24.2777066554
3.5802e-06,0,0,-38.225849292,0,0,0,0,-34.6227381427,-34.3740530826,-33.0006912419,-39.7913700842,-39.3555597537,-10.5798718838,-9.73743958913,-10.2403288174,-10.1667755132,-11.7690493477,-3.12919695977,-34.6227381427,-10.2403288174,-34.3740530826,-10.1667755132,-39.7913700842,-11.7690493477,-10.5798718838,-3.12919695977,0,0,-24.3824093254
3.5904e-06,0,0,-38.120234588,0,0,0,0,-34.7740856604,-34.3580124782,-33.2709944868,-39.6595255912,-39.0439579856,-11.0691296855,-10.4023441649,-10.2850927046,-10.1620312015,-11.7300538484,-3.27390419653,-34.7740856604,-10.2850927046,-34.3580124782,-10.1620312015,-39.6595255912,-11.7300538484,-11.0691296855,-3.27390419653,0,0,-24.4889929558
3.6006e-06,0,0,-38.014619884,0,0,0,0,-34.9254689968,-34.3419718739,-33.5412977317,-39.5276785039,-38.7323562175,-11.5583874871,-11.0672487407,-10.3298671859,-10.1572868898,-11.6910575818,-3.41861143329,-34.9254689968,-10.3298671859,-34.3419718739,-10.1572868898,-39.5276785039,-11.6910575818,-11.5583874871,-3.41861143329,0,0,-24.5956018108
3.6108e-06,0,0,-37.90900518,0,0,0,0,-35.0768526181,-34.3259312695,-33.8116017553,-39.3958310486,-38.4207544493,-12.0476452888,-11.7321533164,-10.3746417515,-10.152542578,-11.6520612064,-3.56331867005,-35.0768526181,-10.3746417515,-34.3259312695,-10.152542578,-39.3958310486,-11.6520612064,-12.0476452888,-3.56331867005,0,0,-24.7022108666
3.621e-06,0,0,-37.803390476,0,0,0,0,-35.2282362423,-34.3098906652,-34.0819061313,-39.2639835835,-38.1091526812,-12.5369030905,-12.3970578922,-10.419416318,-10.1477982663,-11.613064828,-3.70802590681,-35.2282362423,-10.419416318,-34.3098906652,-10.1477982663,-39.2639835835,-11.613064828,-12.5369030905,-3.70802590681,0,0,-24.8088199244
3.6312e-06,0,0,-37.697775772,0,0,0,0,-35.3796198666,-34.3481207183,-34.3522105382,-39.1321361183,-37.7975509131,-13.063068874,-13.061962468,-10.4641908844,-10.1591055266,-11.5740684496,-3.86364937637,-35.3796198666,-10.4641908844,-34.3481207183,-10.1591055266,-39.1321361183,-11.5740684496,-13.063068874,-3.86364937637,0,0,-24.9154289822
3.6414e-06,0,0,-37.592161068,0,0,0,0,-35.5310034909,-34.4444436464,-34.6225149463,-39.000288653,-37.485949145,-13.6287420243,-13.7268670437,-10.5089654509,-10.1875948521,-11.5350720712,-4.03095789595,-35.5310034909,-10.5089654509,-34.4444436464,-10.1875948521,-39.000288653,-11.5350720712,-13.6287420243,-4.03095789595,0,0,-25.02203804
3.6516e-06,0,0,-37.486546364,0,0,0,0,-35.6823871152,-34.5618017799,-34.8928193545,-38.8684411877,-37.1743473769,-14.2087206394,-14.3917716195,-10.5537400174,-10.222305737,-11.4960756928,-4.20249752696,-35.6823871152,-10.5537400174,-34.5618017799,-10.222305737,-38.8684411877,-11.4960756928,-14.2087206394,-4.20249752696,0,0,-25.1286470978
