sample_index,margin_v,failed
477,5530.28861699,0
478,229226.168645,0
479,135418.526559,0
480,48701.2665015,0
481,242215.810223,0
482,140336.978955,0
483,349157.94413,0
484,-139194.398583,1
485,126373.888373,0
486,26638.8185333,0
487,260831.191265,0
488,-33600.0288853,1
489,34471.8186291,0
490,-294.30396633,1
491,284694.420378,0
492,333603.317709,0
493,378920.75002,0
494,471434.013638,0
495,321542.413556,0
496,72820.3751478,0
497,301060.837461,0
498,174986.65377,0
499,177427.014,0
500,160209.105569,0
501,173656.201253,0
502,352112.680739,0
503,396544.562156,0
504,381370.024023,0
505,337312.06242,0
506,186659.305379,0
507,113613.911671,0
508,-21522.0864344,1
509,194231.891633,0
510,151641.757604,0
511,347862.866466,0
512,-3964.58723932,1
513,222433.092485,0
514,75226.7529593,0
515,327865.755164,0
516,289228.818948,0
517,198547.629523,0
518,9548.89960013,0
519,298989.677423,0
520,180465.818399,0
521,241139.023452,0
522,274293.712641,0
523,180503.589223,0
524,283306.398121,0
525,146754.973581,0
526,155694.112437,0
527,5530.57712173,0
528,296877.333906,0
529,327206.194038,0
530,-8516.54452464,1
531,135837.626386,0
532,253028.252277,0
533,35274.446544,0
534,213960.34107,0
535,141701.084738,0
536,258857.908601,0
537,79095.9913685,0
538,97715.0776533,0
539,197369.454612,0
540,140672.645309,0
541,298304.810927,0
542,236332.705379,0
543,222380.581681,0
544,399669.233743,0
545,122673.850272,0
546,209595.887352,0
547,232477.974489,0
548,108667.311326,0
549,23970.3192069,0
550,53690.8996797,0
551,331116.577208,0
552,77221.6153782,0
553,190141.840534,0
554,281772.11006,0
555,454175.827595,0
556,246930.083041,0
557,170913.661276,0
558,111933.63577,0
559,274714.789554,0
560,236888.06502,0
561,58478.1749976,0
562,205179.314994,0
563,255455.03103,0
564,270900.463863,0
565,166836.983531,0
566,263699.534658,0
567,153554.319785,0
568,248024.48841,0
569,235336.279514,0
570,70944.1413942,0
571,-25394.0021109,1
572,91852.2303073,0
573,158299.181656,0
574,186672.53013,0
575,312895.688942,0
576,186086.595661,0
577,198878.723667,0
578,136864.458865,0
579,214393.335642,0
580,93774.5966506,0
581,170217.478045,0
582,59581.5011366,0
583,172649.011101,0
584,116927.188891,0
585,360166.111368,0
586,340353.058779,0
587,237074.162132,0
588,222886.38058,0
589,7148.66192611,0
590,139907.020402,0
591,146061.619878,0
592,190475.78147,0
593,167170.178403,0
594,161607.391996,0
595,253013.144959,0
596,112791.784482,0
597,251744.798281,0
598,288920.127818,0
599,208558.480815,0
600,138704.267049,0
601,237725.604886,0
602,337985.621989,0
603,247059.426891,0
604,201095.853304,0
605,134064.37416,0
606,258859.304919,0
607,217342.894275,0
608,130885.51174,0
609,63291.6256273,0
610,314113.486489,0
611,235480.740794,0
612,299741.789781,0
613,136978.219418,0
614,260171.498126,0
615,291124.656817,0
616,250017.295367,0
617,76195.4960334,0
618,149672.652978,0
619,321062.129825,0
620,131001.691577,0
621,170112.52241,0
622,321946.374767,0
623,128111.338889,0
624,229719.682663,0
625,82211.7886299,0
626,249803.14138,0
627,273331.337244,0
628,28256.2988715,0
629,74171.2530968,0
630,15476.3071118,0
631,292927.605022,0
632,222506.568289,0
633,163609.814662,0
634,-9517.48856713,1
635,209627.250849,0
636,211721.01581,0
637,108520.678516,0
638,-57042.3285267,1
639,129393.224676,0
640,215236.652731,0
641,156851.43746,0
642,35692.2762957,0
643,187798.723188,0
644,228019.760313,0
645,156950.733946,0
646,310652.877356,0
647,144321.913989,0
648,345798.446171,0
649,102386.048497,0
650,212222.020363,0
651,295054.888097,0
652,65490.0670744,0
653,204109.000319,0
654,276664.109591,0
655,147178.525751,0
656,267180.365831,0
657,-19503.4336859,1
658,330787.038395,0
659,117651.062915,0
660,205861.935674,0
661,255926.511249,0
662,81674.5764069,0
663,188796.118192,0
664,122547.491539,0
665,188894.33208,0
666,110984.283191,0
667,266831.072281,0
668,7041.46990126,0
669,160257.917017,0
670,174680.665519,0
671,363716.296334,0
672,310788.406102,0
673,371369.782242,0
674,50112.7168905,0
675,325850.949879,0
676,379582.356409,0
677,155888.123934,0
678,109198.450217,0
679,325778.569615,0
680,120789.930025,0
681,222734.269859,0
682,350147.03988,0
683,263528.422264,0
684,293013.01407,0
685,389263.276539,0
686,140647.740611,0
687,103767.295819,0
688,231796.979698,0
689,-8882.19532289,1
690,-26935.0896673,1
691,177241.839577,0
692,319398.621073,0
693,415420.024858,0
694,225236.421945,0
695,316166.505424,0
696,87153.2577572,0
697,92467.1237123,0
698,318524.100918,0
699,97924.3346851,0
700,263850.711639,0
701,329723.734132,0
702,221071.10102,0
703,264056.272786,0
704,419740.979031,0
705,386623.059893,0
