time_s,lightning_current_a,tower_top_voltage_v,ground_potential_rise_v,insulator_stress_v,flashover_state
3.9e-05,14552.5260187,263873.776959,263860.56499,0.0131987696078,1
3.95e-05,14407.7259654,261244.749873,261231.669369,0.0130674371622,1
4e-05,14264.3666968,258641.851611,258628.901267,0.0129374066018,1
4.05e-05,14122.4338767,256064.832268,256052.010794,0.0128086655438,1
4.1e-05,13981.9133117,253513.443232,253500.749349,0.0126812016675,1
4.15e-05,13842.7909498,250987.437311,250974.869753,0.0125550027209,1
4.2e-05,13705.0528785,248486.568848,248474.126362,0.0124300565266,1
4.25e-05,13568.6853238,246010.59382,245998.275162,0.0123063509859,1
4.3e-05,13433.6746491,243559.2699,243547.073842,0.0121838740835,1
4.35e-05,13300.007353,241132.356536,241120.281859,0.0120626138902,1
4.4e-05,13167.6700687,238729.614991,238717.66049,0.0119425585655,1
4.45e-05,13036.6495623,236350.80839,236338.97287,0.0118236963597,1
4.5e-05,12906.9327318,233995.701756,233983.984034,0.0117060156163,1
4.55e-05,12778.5066054,231664.062035,231652.460941,0.0115895047725,1
4.6e-05,12651.3583402,229355.658118,229344.172491,0.0114741523609,1
4.65e-05,12525.4752214,227070.26086,227058.889553,0.0113599470107,1
4.7e-05,12400.8446606,224807.643096,224796.384971,0.0112468774477,1
4.75e-05,12277.4541946,222567.579644,222556.433577,0.0111349324953,1
4.8e-05,12155.2914842,220349.84732,220338.812195,0.0110241010748,1
4.85e-05,12034.3443131,218154.224936,218143.29965,0.0109143722056,1
4.9e-05,11914.6005865,215980.493309,215969.676769,0.0108057350055,1
4.95e-05,11796.0483298,213828.435254,213817.726377,0.0106981786906,1
5e-05,11678.6756878,211697.835587,211687.233302,0.0105916925753,1
5.05e-05,11562.4709232,209588.481118,209577.984366,0.0104862660721,1
5.1e-05,11447.4224152,207500.160652,207489.768382,0.0103818886916,1
5.15e-05,11333.518659,205432.664976,205422.376148,0.010278550042,1
5.2e-05,11220.7482642,203385.78686,203375.600444,0.010176239829,1
5.25e-05,11109.0999535,201359.321039,201349.236016,0.010074947855,1
5.3e-05,10998.562562,199353.064213,199343.079574,0.00997466401933,1
5.35e-05,10889.125036,197366.815031,197356.929777,0.00987537831725,1
5.4e-05,10780.7764316,195400.374082,195390.587224,0.0097770808396,1
5.45e-05,10673.5059138,193453.543885,193443.854443,0.00967976177222,1
5.5e-05,10567.3027555,191526.128875,191516.53588,0.00958341139563,1
5.55e-05,10462.1563362,189617.935391,189608.437883,0.00948802008405,1
5.6e-05,10358.0561413,187728.771664,187719.368692,0.00939357830494,1
5.65e-05,10254.9917607,185858.447801,185849.138424,0.00930007661846,1
5.7e-05,10152.9528878,184006.77577,183997.559057,0.00920750567652,1
5.75e-05,10051.9293186,182173.569395,182164.444423,0.00911585622249,1
5.8e-05,9951.91095074,180358.644328,180349.610184,0.00902511909014,1
5.85e-05,9852.88778227,178561.818046,178552.873825,0.00893528520305,1
5.9e-05,9754.84991078,176782.909825,176774.054633,0.008846345574,1
5.95e-05,9657.78753242,175021.740735,175012.973686,0.00875829130391,1
6e-05,9561.69094086,173278.133619,173269.453834,0.00867111358157,1
6.05e-05,9466.55052636,171551.913078,171543.31969,0.00858480368251,1
6.1e-05,9372.3567748,169842.905459,169834.397607,0.00849935296835,1
6.15e-05,9279.10026673,168150.938832,168142.515665,0.00841475288615,1
6.2e-05,9186.77167641,166475.842983,166467.503657,0.00833099496745,1
6.25e-05,9095.36177093,164817.449393,164809.193074,0.00824807082775,1
6.3e-05,9004.86140919,163175.591224,163167.417085,0.00816597216553,1
6.35e-05,8915.26154111,161550.103301,161542.010525,0.00808469076163,1
6.4e-05,8826.5532066,159940.822101,159932.809878,0.00800421847834,1
6.45e-05,8738.72753477,158347.585733,158339.653261,0.00792454725881,1
6.5e-05,8651.77574298,156770.233924,156762.380409,0.00784566912624,1
6.55e-05,8565.68913598,155208.608005,155200.832661,0.00776757618295,1
6.6e-05,8480.45910502,153662.550893,153654.852942,0.00769026060995,1
6.65e-05,8396.07712704,152131.907078,152124.285749,0.0076137146659,1
6.7e-05,8312.53476377,150616.522604,150608.977135,0.00753793068649,1
6.75e-05,8229.82366091,149116.245057,149108.774693,0.00746290108367,1
6.8e-05,8147.93554727,147630.923552,147623.527545,0.00738861834502,1
6.85e-05,8066.86223397,146160.408713,146153.086323,0.00731507503275,1
6.9e-05,7986.59561362,144704.552658,144697.303152,0.00724226378327,1
6.95e-05,7907.12765949,143263.208992,143256.031645,0.00717017730633,1
7e-05,7828.45042471,141836.232781,141829.126874,0.00709880838422,1
7.05e-05,7750.55604149,140423.480545,140416.445367,0.00702814987116,1
