time_s,source_voltage_v,load_voltage_v,series_current_a,control_output_a,cubic_power_w
0.00071,3.22371420058,2.5280000541,0.158711808683,0.481083228741,0.401223460937
0.00072,3.20583996135,2.54816245608,0.160499232606,0.481083228741,0.408978118938
0.00073,3.75436514158,2.58121717311,0.16345651754,0.538893031698,0.421916770131
0.00074,3.71435685285,2.62534554398,0.167457346413,0.538893031698,0.439633398213
0.00075,3.67869148268,2.66412552514,0.17102388343,0.538893031698,0.455629093255
0.00076,3.64687416789,2.6982885371,0.174205614909,0.538893031698,0.470057013809
0.00077,3.61847151609,2.728448085,0.177045880089,0.538893031698,0.483060492486
0.00078,3.593102854,2.75512254848,0.179582746299,0.538893031698,0.494772473646
0.00079,3.57043296585,2.77875278271,0.181849735113,0.538893031698,0.50531545748
0.0008,3.55016601609,2.79971587826,0.18387643009,0.538893031698,0.51480176122
0.00081,3.53204042386,2.81833603371,0.185688989313,0.538893031698,0.523333969807
0.00082,3.51582451108,2.83489325026,0.18731058059,0.538893031698,0.531005500723
0.00083,3.96340653367,2.86096604909,0.189883041842,0.586223695208,0.543248936007
0.00084,3.92915898152,2.89531570237,0.193307797057,0.586223695208,0.559687100208
0.00085,3.89847871643,2.92574415085,0.196375823565,0.586223695208,0.574545417164
0.00086,3.87097962997,2.95274762554,0.199125732211,0.586223695208,0.587968032972
0.00087,3.84632042577,2.97674949249,0.201591652631,0.586223695208,0.600087849662
0.00088,3.82419878161,2.9981130093,0.203803817047,0.586223695208,0.611026875234
0.00089,3.80434640664,3.01715143682,0.205789054544,0.586223695208,0.620896741807
0.0009,3.78652482837,3.03413613363,0.207571212371,0.586223695208,0.629799315889
0.00091,3.77052178064,3.04930310717,0.209171517144,0.586223695208,0.637827357244
0.00092,3.75614809045,3.06285834957,0.210608886164,0.586223695208,0.645065185534
0.00093,4.12154891064,3.08358602714,0.212819873924,0.624974764988,0.656248389833
0.00094,4.09248048631,3.11061321619,0.215726716357,0.624974764988,0.671042374984
0.00095,4.06634597327,3.13469895393,0.21834016766,0.624974764988,0.684430695166
0.00096,4.04284014782,3.1561923131,0.220690750206,0.624974764988,0.696542449373
0.00097,4.02169136531,3.17539514233,0.222805628457,0.624974764988,0.707495910522
0.00098,4.0026574946,3.19256960112,0.224709015528,0.624974764988,0.717399172224
0.00099,3.98552242059,3.20794427688,0.226422522929,0.624974764988,0.726350836684
0.001,3.97009302028,3.22171917993,0.22796546296,0.624974764988,0.734440704442
