time_s,node_BUSA2_voltage,node_BUSAS2_voltage,node_BUSB2_voltage,node_BUSBS2_voltage,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSFD_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,node_UM1TLA_voltage,node_UM1TLB_voltage,node_UM1TLC_voltage,node_UM1MCC_voltage,output_fixed_1,output_fixed_2,output_fixed_3,output_fixed_4,branch_current_branch_fixed_1,branch_current_branch_fixed_8,branch_current_branch_fixed_10,branch_current_branch_fixed_11,torque_Nm,mechanical_speed_rad_s,synchronous_torque_angle_rad,phase_a_current_A,phase_b_current_A,phase_c_current_A,field_current_A,q_axis_damper_current_A
0.0566,-2052.69297403,-2381.97119594,2379.419018,2770.43484257,-326.726043967,-388.46364663,-36.0993931003,188.553526987,94.2767634934,188.553734216,-2013.17881481,2332.49769867,-319.318883859,188.553526987,-2381.97119594,-2052.69297403,-36.0993931003,188.553526987,-64.3824659357,207.29279572,97.4975849092,207.22906649,-97.5613137911,188.495559215,-4.61852778244e-14,-64.3824659357,-48.3018790434,112.684344979,-209.865073294,-4.94897913328
0.0568,-2162.67497527,-2512.58412013,2294.55750854,2675.86621433,-131.882533269,-163.282094205,-38.0788659428,188.553723645,94.2768618224,188.553930874,-2120.6851868,2248.80113614,-128.115949342,188.553723645,-2512.58412013,-2162.67497527,-38.0788659428,188.553723645,-57.5904702951,207.293011923,95.2274133861,207.22906649,-95.2913585386,188.495559215,-4.26325641456e-14,-57.5904702951,-56.0250200202,113.615490315,-208.729089043,-4.82346986154
0.057,-2259.86731992,-2628.92004013,2196.72861582,2566.09278048,63.1387041012,62.82725965,-39.8419670731,188.553915994,94.2769579971,188.554123223,-2215.58038869,2152.40567844,63.1747102469,188.553915994,-2628.92004013,-2259.86731992,-39.8419670731,188.553915994,-50.4007436532,207.293223388,93.2748323977,207.229066461,-93.3389889899,188.495559215,-4.61852778244e-14,-50.4007436532,-63.5316291681,113.932372821,-207.565686009,-4.7168161266
0.0572,-2343.76808021,-2730.31791205,2086.57098622,2441.73829557,257.197093996,288.579616483,-41.3786781989,188.554104694,94.2770523471,188.554311923,-2297.38158626,2043.95175842,253.429827841,188.554104694,-2730.31791205,-2343.76808021,-41.3786781989,188.554104694,-42.8446248873,207.293430842,91.6512270868,207.22906649,-91.7155911913,188.495559215,-4.26325641456e-14,-42.8446248873,-70.7768095998,113.621434487,-206.378613104,-4.62971367754
0.0574,-2413.95997425,-2816.20157296,1964.79141495,2303.50936659,449.168559306,512.69220637,-42.6802674209,188.554290426,94.277145213,188.554497655,-2365.69056293,1924.14619333,441.544369593,188.554290426,-2816.20157296,-2413.95997425,-42.6802674209,188.554290426,-34.9566327805,207.293635033,90.3659900129,207.22906649,-90.4305582529,188.495559215,-4.61852778244e-14,-34.9566327805,-77.7155137175,112.672146498,-205.17175757,-4.56274839997
0.0576,-2470.11158885,-2886.08301476,1832.15916767,2152.19143789,637.952421181,733.891576869,-43.7393388497,188.554473888,94.2772369439,188.554681117,-2420.19469645,1793.75630688,626.43838957,188.554473888,-2886.08301476,-2470.11158885,-43.7393388497,188.554473888,-26.7744408032,207.293836728,89.4264823198,207.229066461,-89.4912522305,188.495559215,-4.97379915032e-14,-26.7744408032,-84.3028539178,111.077294721,-203.949122778,-4.5163927194
0.0578,-2511.97791708,-2939.56515715,1689.4999866,1988.64432812,822.477930481,950.920829032,-44.5498746301,188.55465579,94.2773278951,188.554863019,-2460.6672282,1653.60375155,807.063476656,188.55465579,-2939.56515715,-2511.97791708,-44.5498746301,188.55465579,-18.3388090302,207.294036709,88.8380104601,207.229066433,-88.9029803302,188.495559215,-4.61852778244e-14,-18.3388090302,-90.4944452379,108.833254268,-202.714805381,-4.49100264955
0.058,-2539.40027988,-2976.34410394,1537.68991246,1813.79734459,1001.71036742,1162.54675936,-45.1072691361,188.554836853,94.2774184267,188.555044082,-2486.96690467,1504.55817556,982.408729109,188.554836853,-2976.34410394,-2539.40027988,-45.1072691361,188.554836853,-9.69347035652,207.294235767,88.6038159728,207.22906649,-88.6689849499,188.495559215,-4.97379915032e-14,-9.69347035652,-96.2467762332,105.94024659,-201.472971957,-4.48681549351
0.0582,-2552.30561853,-2996.21086982,1377.64893044,1628.64400273,1174.65668809,1367.56686709,-45.4083551409,188.555017801,94.2775089006,188.55522503,-2499.03697775,1347.53073998,1151.50623778,188.555017801,-2996.21086982,-2552.30561853,-45.4083551409,188.555017801,-0.884969024552,207.294434698,88.7250793874,207.229066461,-88.7904473009,188.495559215,-5.3290705182e-14,-0.884969024552,-101.517603513,102.402572538,-200.227835288,-4.50394822318
0.0584,-2550.70524599,-2999.05256785,1210.33456539,1434.23638076,1340.37068061,1564.81618709,-45.4514218138,188.555199358,94.2775996792,188.555406587,-2496.90366382,1183.46762274,1313.43604108,188.555199358,-2999.05256785,-2550.70524599,-45.4514218138,188.555199358,8.03754955434,207.294634299,89.200936377,207.229066461,-89.2665038687,188.495559215,-4.97379915032e-14,8.03754955434,-106.266364606,98.2288150514,-198.983630379,-4.54239653678
