time_s,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSD2_voltage,node_BUSDS2_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSHG_voltage,node_BUSHR_voltage,node_BUSMS_voltage,node_BUSHS_voltage,output_fixed_1,output_fixed_2,output_fixed_3,output_fixed_4,output_fixed_5,output_fixed_6,branch_current_branch_fixed_5,branch_current_branch_fixed_7,branch_current_branch_fixed_8,branch_current_branch_fixed_10,branch_current_branch_fixed_11,branch_current_branch_fixed_12
0.00072,10,10,12,12,9.9929927837e-13,4.99649639185e-13,1.19966609725e-12,5.99833048623e-13,9.99999999299e-13,1.19999999967e-12,10,10,9.9929927837e-13,12,12,1.19966609725e-12,1.09861398238e-12,6.99622315629e-10,1.17154892309e-12,3.32730870224e-10,7.00720929612e-10,3.33902419145e-10
0.00074,10,10,12,12,9.99428838057e-13,4.99714419028e-13,1.19973470155e-12,5.99867350775e-13,9.99999999429e-13,1.19999999973e-12,10,10,9.99428838057e-13,12,12,1.19973470155e-12,1.09875641827e-12,5.70062615866e-10,1.17161591948e-12,2.64126568524e-10,5.71161372285e-10,2.65298184445e-10
0.00076,10,10,12,12,9.99534405207e-13,4.99767202603e-13,1.19978916064e-12,5.99894580318e-13,9.99999999534e-13,1.19999999979e-12,10,10,9.99534405207e-13,12,12,1.19978916064e-12,1.09887247714e-12,4.64495455257e-10,1.17166910218e-12,2.09667483375e-10,4.65594327737e-10,2.10839152479e-10
0.00078,10,10,12,12,9.99620422883e-13,4.99810211441e-13,1.19983239105e-12,5.99916195523e-13,9.9999999962e-13,1.19999999983e-12,10,10,9.99620422883e-13,12,12,1.19983239105e-12,1.09896704363e-12,3.78477770603e-10,1.17171131938e-12,1.66437075342e-10,3.79576737647e-10,1.67608786661e-10
0.0008,10,10,12,12,9.99690511358e-13,4.99845255679e-13,1.19986670797e-12,5.99933353984e-13,9.99999999691e-13,1.19999999987e-12,10,10,9.99690511358e-13,12,12,1.19986670797e-12,1.0990440978e-12,3.08389288244e-10,1.171744832e-12,1.3212015331e-10,3.09488332342e-10,1.33291898144e-10
0.00082,10,10,12,12,9.99747620485e-13,4.99873810243e-13,1.19989394924e-12,5.99946974619e-13,9.99999999748e-13,1.19999999989e-12,10,10,9.99747620485e-13,12,12,1.19989394924e-12,1.09910688268e-12,2.51280155641e-10,1.1717714348e-12,1.04878885162e-10,2.52379262524e-10,1.06050656595e-10
0.00084,10,10,12,12,9.99794153847e-13,4.99897076923e-13,1.19991557375e-12,5.99957786875e-13,9.99999999794e-13,1.19999999992e-12,10,10,9.99794153847e-13,12,12,1.19991557375e-12,1.09915804073e-12,2.04746789288e-10,1.17179255249e-12,8.32543732102e-11,2.0584594733e-10,8.44261657633e-11
0.00086,10,10,12,12,9.99832069919e-13,4.99916034959e-13,1.1999327396e-12,5.999663698e-13,9.99999999832e-13,1.19999999993e-12,10,10,9.99832069919e-13,12,12,1.1999327396e-12,1.09919972506e-12,1.66830713777e-10,1.17180931602e-12,6.6088523424e-11,1.67929913505e-10,6.72603327412e-11
0.00088,10,10,12,12,9.99862964495e-13,4.99931482247e-13,1.1999463661e-12,5.9997318305e-13,9.99999999863e-13,1.19999999995e-12,10,10,9.99862964495e-13,12,12,1.1999463661e-12,1.09923369008e-12,1.35936134368e-10,1.17182262314e-12,5.2462024037e-11,1.37035368058e-10,5.36338466598e-11
0.0009,10,10,12,12,9.99888137853e-13,4.99944068926e-13,1.19995718301e-12,5.99978591506e-13,9.99999999888e-13,1.19999999996e-12,10,10,9.99888137853e-13,12,12,1.19995718301e-12,1.09926136527e-12,1.10762773882e-10,1.17183318654e-12,4.16451120906e-11,1.11862035247e-10,4.28169452782e-11
0.00092,10,10,12,12,9.99908649477e-13,4.99954324739e-13,1.19996576963e-12,5.99982884816e-13,9.99999999909e-13,1.19999999997e-12,10,10,9.99908649477e-13,12,12,1.19996576963e-12,1.09928391543e-12,9.02511472386e-11,1.17184157191e-12,3.30584912218e-11,9.13504311542e-11,3.42303327942e-11
0.00094,10,10,12,12,9.99925362653e-13,4.99962681326e-13,1.19997258582e-12,5.99986292908e-13,9.99999999925e-13,1.19999999997e-12,10,10,9.99925362653e-13,12,12,1.19997258582e-12,1.09930228964e-12,7.3537970318e-11,1.17184822834e-12,2.62423076094e-11,7.46372726066e-11,2.74141558369e-11
0.00096,10,10,12,12,9.99938980795e-13,4.99969490398e-13,1.1999779966e-12,5.99988998301e-13,9.99999999939e-13,1.19999999998e-12,10,10,9.99938980795e-13,12,12,1.1999779966e-12,1.09931726121e-12,5.99198264367e-11,1.17185351231e-12,2.08315226488e-11,6.10191436985e-11,2.20033761605e-11
0.00098,10,10,12,12,9.99950077059e-13,4.9997503853e-13,1.19998229176e-12,5.99991145881e-13,9.9999999995e-13,1.19999999998e-12,10,10,9.99950077059e-13,12,12,1.19998229176e-12,1.09932946027e-12,4.88235612811e-11,1.1718577068e-12,1.65363634312e-11,4.99228907419e-11,1.77082211358e-11
