time_s,phase_a_input_v,phase_b_input_v,phase_c_input_v,phase_a_held_v
0.00392,92.4500525385,-74.482887096,-17.9671654425,89.12
0.00393,92.5521043276,-74.2822451877,-18.2698591399,89.12
0.00394,92.6532426647,-74.0808701435,-18.5723725211,89.12
0.00395,92.7534665517,-73.8787639511,-18.8747026006,89.76
0.00396,92.8527749995,-73.6759286052,-19.1768463943,89.76
0.00397,92.9511670278,-73.4723661075,-19.4788009203,89.76
0.00398,93.0486416657,-73.2680784673,-19.7805631984,89.76
0.00399,93.1451979511,-73.0630677007,-20.0821302504,89.76
0.004,93.2408349309,-72.8573358311,-20.3834990998,90.36
0.00401,93.3355516613,-72.6508848891,-20.6846667723,90.36
0.00402,93.4293472076,-72.4437169121,-20.9856302955,90.36
0.00403,93.5222206439,-72.2358339449,-21.286386699,90.36
0.00404,93.6141710536,-72.0272380392,-21.5869330144,90.36
0.00405,93.7051975292,-71.8179312537,-21.8872662756,90.94
0.00406,93.7952991724,-71.6079156542,-22.1873835182,90.94
0.00407,93.8844750939,-71.3971933135,-22.4872817804,90.94
0.00408,93.9727244135,-71.1857663113,-22.7869581021,90.94
0.00409,94.0600462602,-70.9736367344,-23.0864095258,90.94
0.0041,94.1464397722,-70.7608066763,-23.3856330959,91.5
0.00411,94.2319040969,-70.5472782376,-23.6846258593,91.5
0.00412,94.3164383908,-70.3330535258,-23.983384865,91.5
0.00413,94.4000418195,-70.1181346551,-24.2819071643,91.5
0.00414,94.4827135578,-69.9025237468,-24.5801898111,91.5
0.00415,94.56445279,-69.6862229287,-24.8782298613,92.04
0.00416,94.6452587091,-69.4692343358,-25.1760243734,92.04
0.00417,94.7251305178,-69.2515601096,-25.4735704083,92.04
0.00418,94.8040674277,-69.0332023984,-25.7708650293,92.04
0.00419,94.8820686597,-68.8141633574,-26.0679053023,92.04
0.0042,94.959133444,-68.5944451484,-26.3646882956,92.54
0.00421,95.03526102,-68.3740499399,-26.6612110801,92.54
0.00422,95.1104506363,-68.1529799071,-26.9574707292,92.54
0.00423,95.1847015509,-67.9312372319,-27.2534643189,92.54
0.00424,95.2580130309,-67.7088241029,-27.549188928,92.54
0.00425,95.3303843527,-67.4857427151,-27.8446416376,93.04
0.00426,95.4018148022,-67.2619952702,-28.1398195319,93.04
0.00427,95.4723036742,-67.0375839766,-28.4347196976,93.04
0.00428,95.5418502732,-66.8125110492,-28.729339224,93.04
0.00429,95.6104539127,-66.5867787092,-29.0236752035,93.04
0.0043,95.6781139156,-66.3603891846,-29.317724731,93.5
0.00431,95.7448296141,-66.1333447097,-29.6114849044,93.5
0.00432,95.8106003498,-65.9056475254,-29.9049528244,93.5
0.00433,95.8754254736,-65.677299879,-30.1981255946,93.5
0.00434,95.9393043456,-65.4483040242,-30.4910003214,93.5
0.00435,96.0022363355,-65.218662221,-30.7835741145,93.96
0.00436,96.064220822,-64.988376736,-31.075844086,93.96
0.00437,96.1252571934,-64.7574498419,-31.3678073515,93.96
0.00438,96.1853448474,-64.5258838179,-31.6594610295,93.96
0.00439,96.2444831908,-64.2936809495,-31.9508022413,93.96
0.0044,96.3026716401,-64.0608435284,-32.2418281116,94.38
0.00441,96.3599096208,-63.8273738527,-32.5325357681,94.38
0.00442,96.4161965682,-63.5932742266,-32.8229223416,94.38
0.00443,96.4715319266,-63.3585469605,-33.1129849661,94.38
0.00444,96.5259151499,-63.1231943711,-33.4027207788,94.38
0.00445,96.5793457014,-62.8872187813,-33.6921269202,94.78
0.00446,96.6318230538,-62.65062252,-33.9812005338,94.78
0.00447,96.6833466891,-62.4134079224,-34.2699387667,94.78
0.00448,96.7339160988,-62.1755773296,-34.5583387692,94.78
0.00449,96.7835307838,-61.937133089,-34.8463976948,94.78
0.0045,96.8321902544,-61.6980775539,-35.1341127005,95.14
0.00451,96.8798940304,-61.4584130837,-35.4214809467,95.14
0.00452,96.926641641,-61.2181420437,-35.7084995972,95.14
